Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Google,Google Pixel 10a,https://www.gsmarena.com/google_pixel_10a_5g-14474.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10a.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, February 18","Available. Released 2026, March 05",153.9 x 73 x 9 mm (6.06 x 2.87 x 0.35 in),183.0,Glass,IP68,Nano-SIM + eSIM,"P-OLED, HDR, 120Hz, 2000 nits (HBM), 3000 nits (peak)",120,6.3,1080x2424,422,84.3,Gorilla Glass 7i,"Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),4,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Mali-G715 MP7,8,8,128,256,UFS 3.1,48.0,2,1.7,Yes,1/2.0,Yes,"Dual-LED flash, Pixel Shift, Ultra HDR, panorama, Best Take","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS",13.0,Yes,"HDR, panorama","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e, dual/tri-band (market/region dependent)",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",5100,30,10,No,Active use score 15:13h,449.0,434.0,449.0,47898,1269880,4545,2683,2169,-26.8,"Obsidian, Fog, Berry, Lavender","GE1GQ, GV0BP, G4H7L",,,No
Google,Google Pixel 10 Pro Fold,https://www.gsmarena.com/google_pixel_10_pro_fold-14014.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-fold--.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 20","Available. Released 2025, October 09",Unfolded: 155.2 x 150.4 x 5.2 mm Folded: 155.2 x 76.3 x 10.8 mm,258.0,Glass,IP68,Nano-SIM + eSIM,"Foldable LTPO OLED, 120Hz, HDR10+, 1800 nits (HBM), 3000 nits (peak)",120,8.0,2076x2152,374,88.4,Mohs level 5,"Android 16, up to 7 major Android upgrades",Google Tensor G5 (3 nm),3,Octa-core (1x3.78 GHz Cortex-X4 & 5x3.05 GHz Cortex-A725 & 2x2.25 GHz Cortex-A520),PowerVR DXT-48-1536,16,16,256,512,,48.0,3,1.7,Yes,1/2.0,Yes,"Multi-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take, Zoom Enhance","4K@24/30/60fps, 1080p@24/30/60/120/240fps, 10-bit HDR, gyro-EIS, OIS",10.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",5015,30,15,No,,1499.0,1424.05,864.97,,,,,,,"Moonstone, Jade","GU0NP, GM66V",0.99 W/kg (head) 0.99 W/kg (body),0.99 W/kg (head) 1.39 W/kg (body),No
Google,Google Pixel 10 Pro XL,https://www.gsmarena.com/google_pixel_10_pro_xl_5g-13988.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-xl-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 20","Available. Released 2025, August 28",162.8 x 76.6 x 8.5 mm (6.41 x 3.02 x 0.33 in),232.0,Glass,IP68,"· Nano-SIM + eSIM · eSIM + eSIM (8 or more, max 2 at a time; USA)","LTPO OLED, 120Hz, HDR10+, 2200 nits (HBM), 3300 nits (peak)",120,6.8,1344x2992,486,88.0,Gorilla Glass Victus,"Android 16, up to 7 major Android upgrades",Google Tensor G5 (3 nm),3,Octa-core (1x3.78 GHz Cortex-X4 & 5x3.05 GHz Cortex-A725 & 2x2.25 GHz Cortex-A520),PowerVR DXT-48-1536,16,16,256,512,UFS 4.0,50.0,3,1.7,Yes,1/1.31,Yes,"Multi-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take, Zoom Enhance","8K@30fps (via cloud-based upscaling), 4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",42.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, thermometer (skin temperature)",5200,45,25,No,Active use score 12:29h,544.85,816.0,769.8,118900,1423216,6497,3332,2340,-25.3,"Moonstone, Jade, Porcelain, Obsidian","G45RY, GUL82, GYPW4",0.99 W/kg (head) 0.99 W/kg (body),0.99 W/kg (head) 1.39 W/kg (body),No
Google,Google Pixel 10 Pro,https://www.gsmarena.com/google_pixel_10_pro_5g-13987.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-pro-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 20","Available. Released 2025, August 28",152.8 x 72 x 8.5 mm (6.02 x 2.83 x 0.33 in),207.0,Glass,IP68,"· Nano-SIM + eSIM · eSIM + eSIM (8 or more, max 2 at a time; USA)","LTPO OLED, 120Hz, HDR10+, 2200 nits (HBM), 3300 nits (peak)",120,6.3,1280x2856,495,87.6,Gorilla Glass Victus,"Android 16, up to 7 major Android upgrades",Google Tensor G5 (3 nm),3,Octa-core (1x3.78 GHz Cortex-X4 & 5x3.05 GHz Cortex-A725 & 2x2.25 GHz Cortex-A520),PowerVR DXT-48-1536,16,16,128,512,UFS 3.1 - 128GB only UFS 4.0,50.0,3,1.7,Yes,1/1.31,Yes,"Multi-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take, Zoom Enhance","8K@30fps (via cloud-based upscaling), 4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",42.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, thermometer (skin temperature)",4870,30,15,No,Active use score 12:06h,609.88,860.0,827.55,108999,1107978,6195,3400,,-25.7,"Moonstone, Jade, Porcelain, Obsidian","GEHN3, G4QUR, GN4F5",0.99 W/kg (head) 0.99 W/kg (body),0.99 W/kg (head) 1.39 W/kg (body),No
Google,Google Pixel 10,https://www.gsmarena.com/google_pixel_10_5g-13979.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-10-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 20","Available. Released 2025, August 28",152.8 x 72 x 8.6 mm (6.02 x 2.83 x 0.34 in),204.0,Glass,IP68,"· Nano-SIM + eSIM · eSIM + eSIM (8 or more, max 2 at a time; USA)","OLED, 120Hz, HDR10+, 2000 nits (HBM), 3000 nits (peak)",120,6.3,1080x2424,422,86.1,Gorilla Glass Victus,"Android 16, up to 7 major Android upgrades",Google Tensor G5 (3 nm),3,Octa-core (1x3.78 GHz Cortex-X4 & 5x3.05 GHz Cortex-A725 & 2x2.25 GHz Cortex-A520),PowerVR DXT-48-1536,12,12,128,256,UFS 3.1 - 128GB UFS 4.0 - 256GB,48.0,3,1.7,Yes,1/2.0,Yes,"Single-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take","4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",10.5,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",Yes,6.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",4970,30,15,No,Active use score 12:08h,433.62,527.68,490.49,61990,1173841,5857,3232,2030,-25.7,"Indigo, Frost, Lemongrass, Obsidian","GK2MP, GLBW0, GL066",1.18 W/kg (head) 0.99 W/kg (body),0.99 W/kg (head) 1.39 W/kg (body),No
Google,Google Pixel Watch 4,https://www.gsmarena.com/google_pixel_watch_4-14088.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch4.jpg,GSM / HSPA / LTE,No,"2025, August 20","Available. Released 2025, October 09",45 x 45 x 12.3 mm (1.77 x 1.77 x 0.48 in),31.0,Glass,IP68,eSIM,"LTPO AMOLED, 3000 nits (peak)",,1.4,456x456,320,,Gorilla Glass 5,Android Wear OS 6,Qualcomm Snapdragon W5 Gen 2 (4 nm),4,Quad-core (4x1.7 GHz Cortex-A53),Adreno A702,2,2,32,32,eMMC,,,,No,,No,,,,No,,,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,6.0,No,No,"GPS (L1+L5), GLONASS, GALILEO (E1+E5a)","Accelerometer, gyro, heart rate, altimeter, compass, SpO2, thermometer (skin temperature), skin conductance",455,,,No,,359.99,298.9,,,,,,,,"Matte Black, Polished Silver, Champagne Gold, Satin Moonstone",,,,No
Google,Google Pixel 9a,https://www.gsmarena.com/google_pixel_9a-13478.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9a.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, March 19","Available. Released 2025, April 10",154.7 x 73.3 x 8.9 mm (6.09 x 2.89 x 0.35 in),186.0,Glass,IP68,Nano-SIM + eSIM,"P-OLED, HDR, 120Hz, 1800 nits (HBM), 2700 nits (peak)",120,6.3,1080x2424,422,83.5,Gorilla Glass 3,"Android 15, upgradable to Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),4,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.9 GHz Cortex-A520),Mali-G715 MP7,8,8,128,256,UFS 3.1,48.0,2,1.7,Yes,1/2.0,Yes,"Dual-LED flash, Pixel Shift, Ultra HDR, panorama, Best Take","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS",13.0,Yes,"HDR, panorama","4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e, dual/tri-band (market/region dependent)",Yes,5.3,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",5100,23,5,No,Active use score 12:42h,303.76,364.0,279.99,43499,1254417,4527,2630,1930,-27.2,"Obsidian, Porcelain, Iris, Peony","GXQ96, GTF7P, G3Y12",,0.99 W/kg (head) 1.39 W/kg (body),No
Google,Google Pixel 9 Pro XL,https://www.gsmarena.com/google_pixel_9_pro_xl-13217.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-pro-xl-.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, August 13","Available. Released 2024, August 22",162.8 x 76.6 x 8.5 mm (6.41 x 3.02 x 0.33 in),221.0,Glass,IP68,Nano-SIM + eSIM,"LTPO OLED, 120Hz, HDR10+, 2000 nits (HBM), 3000 nits (peak)",120,6.8,1344x2992,486,88.0,Gorilla Glass Victus,"Android 14, upgradable to Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),4,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.92 GHz Cortex-A520),Mali-G715 MC7,16,16,128,512,UFS 3.1,50.0,3,1.7,Yes,1/1.31,Yes,"Multi-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take, Zoom Enhance","8K@30fps (via cloud-based upscaling), 4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",42.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,5.3,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, thermometer (skin temperature)",5060,37,23,Yes,Active use score 12:32h,426.99,519.89,414.5,89398,1380138,4854,2540,2365,-25.5,"Porcelain, Rose Quartz, Hazel, Obsidian","GGX8B, GZC4K, GQ57S",,0.99 W/kg (head) 1.40 W/kg (body),No
Google,Google Pixel 9 Pro,https://www.gsmarena.com/google_pixel_9_pro-13218.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-pro-.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, August 13","Available. Released 2024, September 09",152.8 x 72 x 8.5 mm (6.02 x 2.83 x 0.33 in),199.0,Glass,IP68,Nano-SIM + eSIM,"LTPO OLED, 120Hz, HDR10+, 2000 nits (HBM), 3000 nits (peak)",120,6.3,1280x2856,495,87.6,Gorilla Glass Victus,"Android 14, upgradable to Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),4,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.92 GHz Cortex-A520),Mali-G715 MC7,16,16,128,512,UFS 3.1,50.0,3,1.7,Yes,1/1.31,Yes,"Multi-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take, Zoom Enhance","8K@30fps (via cloud-based upscaling), 4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",42.0,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,5.3,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer, thermometer (skin temperature)",4700,27,21,Yes,Active use score 13:11h,398.94,556.62,395.0,109999,838931,3850,2574,2331,-24.3,"Porcelain, Rose Quartz, Hazel, Obsidian","GR83Y, GEC77, GWVK6",,0.99 W/kg (head) 1.37 W/kg (body),No
Google,Google Pixel 9,https://www.gsmarena.com/google_pixel_9-13219.php,https://fdn2.gsmarena.com/vv/bigpic/google-pixel-9-.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, August 13","Available. Released 2024, August 22",152.8 x 72 x 8.5 mm (6.02 x 2.83 x 0.33 in),198.0,Glass,IP68,Nano-SIM + eSIM,"OLED, 120Hz, HDR10+, 1800 nits (HBM), 2700 nits (peak)",120,6.3,1080x2424,422,86.1,Gorilla Glass Victus,"Android 14, upgradable to Android 16, up to 7 major Android upgrades",Google Tensor G4 (4 nm),4,Octa-core (1x3.1 GHz Cortex-X4 & 3x2.6 GHz Cortex-A720 & 4x1.92 GHz Cortex-A520),Mali-G715 MC7,12,12,128,256,UFS 3.1,50.0,2,1.7,Yes,1/1.31,Yes,"Single-zone Laser AF, LED flash, Pixel Shift, Ultra-HDR, panorama, Best Take","4K@24/30/60fps, 1080p@24/30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR",10.5,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,5.3,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS, NavIC","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",4700,27,15,Yes,Active use score 13:05h,290.0,393.36,339.7,74999,1224020,4489,2587,2232,-25.0,"Obsidian, Porcelain, Wintergreen, Peony","G2YBB, GUR25, G1B60",,0.99 W/kg (head) 1.40 W/kg (body),No
