Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Oukitel,Oukitel C17,https://www.gsmarena.com/oukitel_c17-14482.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c17.jpg,GSM / HSPA / LTE,No,"2025, December","Available. Released 2026, January",163.6 x 75.9 x 9.3 mm (6.44 x 2.99 x 0.37 in),198.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 450 nits",,6.52,540x1200,202,82.7,Sharp glass,Android 16,Unisoc T310 (12 nm),12,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),PowerVR GE8300,4,4,128,128,,13.0,1,2.2,No,1/3.06,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,,,,,,,,,"Orange, White, Blue",,,,FM radio
Oukitel,Oukitel RT10 Industry,https://www.gsmarena.com/oukitel_rt10_industry_5g-14462.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-rt10-industry.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2025, September 29","Available. Released 2026, February 02",266.5 x 178 x 22.5 mm (10.49 x 7.01 x 0.89 in),1280.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits",120,11.0,1200x1920,206,74.0,Gorilla Glass 5,Android 15,Mediatek Dimensity 7400X (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,12,12,512,512,,64.0,1,,No,1/2.0,No,"LED flash, HDR, panorama",1080p@30fps,32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",Yes,5.4,Type-C,Yes,"GPS (L1+L5), GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",25000,33,,No,,,70.0,,,,,,,,Black,,,,FM radio
Oukitel,Oukitel C7,https://www.gsmarena.com/oukitel_c7-14331.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c7.jpg,GSM / HSPA / LTE,No,"2025, July","Available. Released 2025, July",164 x 75.8 x 8.6 mm (6.46 x 2.98 x 0.34 in),,,,Nano-SIM + Nano-SIM,"IPS LCD, 450 nits",,6.52,540x1200,202,82.6,"Sharp glass, Mohs level 5",Android 16,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,3,64,256,,13.0,2,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band",No,4.2,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,,,,,,,,,"Gold, Purple, Blue, Gray",,,,FM radio
Oukitel,Oukitel C68,https://www.gsmarena.com/oukitel_c68-14332.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c68.jpg,GSM / HSPA / LTE,No,"2025, October","Available. Released 2025, October",176.2 x 83 x 9.5 mm (6.94 x 3.27 x 0.37 in),245.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits",120,7.2,720x1560,239,87.0,Panda Glass,Android 15,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,8,128,512,,64.0,2,1.8,No,1/2,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer",6000,18,,No,,,,,,,,,,,"Gold, Purple, Blue, Gray",,,,FM radio
Oukitel,Oukitel WP55 S,https://www.gsmarena.com/oukitel_wp55_s-14333.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp55s.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2025, May","Available. Released 2025, September",172.2 x 81 x 15.3 mm (6.78 x 3.19 x 0.60 in),360.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits",120,6.6,1080x2408,400,75.2,"Boe glass, Mohs level 5",Android 15,Mediatek Helio G100 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,64.0,3,1.8,No,1/2.0,No,"LED flash, HDR, panorama",1080p@30fps,32.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",11000,33,,No,,,,,,,,,,,"Black, Orange",,,,FM radio
Oukitel,Oukitel WP58,https://www.gsmarena.com/oukitel_wp58_5g-14334.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp58.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, April","Available. Released 2025, September",175.7 x 82.4 x 17.2 mm (6.92 x 3.24 x 0.68 in),370.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 480 nits",120,6.7,720x1600,262,74.9,"Inx glass, Mohs level 6",Android 15,Spreadtrum UMS9621S (12 nm),12,Octa-core (2x Cortex-A76 & 6x Cortex-A55),Mali-G57 MP2,8,8,256,512,,64.0,3,1.8,No,1/2.0,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",10000,33,,No,,,,,,,,,,,"Black, Green, Orange",,,,FM radio
Oukitel,Oukitel WP60,https://www.gsmarena.com/oukitel_wp60_5g-14335.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp60.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, January","Available. Released 2025, September",184 x 87 x 14.9 mm (7.24 x 3.43 x 0.59 in),360.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits",120,7.2,720x1560,239,79.5,"Boe glass, Mohs level 6",Android 15,Mediatek Dimensity 7025 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,12,16,256,512,,108.0,3,1.9,No,1/1.8,Yes,"LED flash, HDR, panorama",4K@30fps,32.0,No,,1440p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",10000,33,,No,,,260.0,,,,,,,,"Black, Yellow, Silver",,,,FM radio
Oukitel,Oukitel WP62,https://www.gsmarena.com/oukitel_wp62_5g-14336.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-wp62.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, July","Available. Released 2025, September",172.2 x 81 x 15.3 mm (6.78 x 3.19 x 0.60 in),364.5,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits",120,6.6,1080x2408,400,75.2,"Boe glass, Mohs level 6",Android 15,Mediatek Dimensity 7025 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,8,16,256,512,,108.0,3,1.9,No,1/1.8,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",11000,33,,No,,,,,,,,,,,"Black, Silver",,,,FM radio
Oukitel,Oukitel C69,https://www.gsmarena.com/oukitel_c69-14254.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-c69.jpg,GSM / HSPA / LTE,No,"2025, September","Available. Released 2025, September",176.2 x 83 x 9.5 mm (6.94 x 3.27 x 0.37 in),243.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits",120,7.2,720x1560,239,87.0,Panda Glass,Android 15,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,8,128,512,,64.0,1,1.8,No,1/2,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer",6000,18,,No,,,250.0,,,,,,,,"Gold, Purple, Green, Black",,,,FM radio
Oukitel,Oukitel P1 Pro,https://www.gsmarena.com/oukitel_p1_pro-14255.php,https://fdn2.gsmarena.com/vv/bigpic/oukitel-p1-pro.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2025, July","Available. Released 2025, September",162.4 x 76.2 x 8.2 mm (6.39 x 3.00 x 0.32 in),186.8,,,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 500 nits",120,6.7,1080x2412,394,87.3,Gorilla Glass 5,Android 15,Mediatek Helio G100 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,256,512,,50.0,3,1.9,No,1/1.56,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (under display, optical), accelerometer, gyro, proximity",5150,18,,No,,,230.0,,,,,,,,"Black, White, Purple",,,,FM radio
