Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Plum,Plum Ram 10 LTE,https://www.gsmarena.com/plum_ram_10_lte-11345.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram10.jpg,GSM / HSPA / LTE,No,"2022, January 18","Available. Released 2022, January 18",133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),109.0,,IP68,Nano-SIM + Nano-SIM,"TFT LCD, 256K colors",,2.4,240x320,167,20.8,,,Unisoc T107,,,,,,,,,2.0,1,,No,,No,LED flash,Yes,1.3,No,,,No,No,,Micro-USB,Yes,No,,1700,,,No,,,,,,,,,,,"Black, Black/Orange",,,,"FM radio, built-in antenna"
Plum,Plum Ram Plus LTE,https://www.gsmarena.com/plum_ram_plus_lte-11346.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram-plus-.jpg,GSM / HSPA / LTE,No,"2022, February 02","Available. Released 2022, February 02",111.5 x 57.5 x 22 mm (4.39 x 2.26 x 0.87 in),108.4,,IP68,Nano-SIM + Nano-SIM,"TFT LCD, 256K colors",,2.4,240x320,167,27.8,,,Unisoc T107,,,,,,,,,2.0,1,,No,,No,LED flash,Yes,,No,,,No,No,,Micro-USB,Yes,No,,1200,,,No,,,,,,,,,,,"Black, Black/Orange",,,,"FM radio, built-in antenna"
Plum,Plum Flipper LTE,https://www.gsmarena.com/plum_flipper_lte-11347.php,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper.jpg,GSM / HSPA / LTE,No,"2022, February 02","Available. Released 2022, February 02",103 x 53 x 21.2 mm (4.06 x 2.09 x 0.83 in),80.0,,,Nano-SIM + Nano-SIM,"TFT LCD, 256K colors",,2.4,240x320,167,32.7,,,,,,,,,,,,0.3,1,,No,,No,LED flash,Yes,,No,,,No,No,,Micro-USB,Yes,No,,1000,,,No,,,,,,,,,,,"Black, Pink, Blue",,,,"FM radio, built-in antenna"
Plum,Plum Gator 6,https://www.gsmarena.com/plum_gator_6-11132.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator-6.jpg,GSM / HSPA / LTE,No,"2020, February 01. Released 2020, March 01",Discontinued,152.2 x 75.5 x 14 mm (5.99 x 2.97 x 0.55 in),225.0,,IP68,Nano-SIM + Nano-SIM,IPS LCD,,5.5,720x1440,293,67.9,Gorilla Glass 3,Android 10 (Go edition),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400 MP2,3,3,16,16,eMMC 5.1,8.0,1,,No,,No,LED flash,720p@30fps,2.0,No,,480p@30fps,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",4400,,,No,,,,,,,,,,,"Black, Yellow",,,,FM radio
Plum,Plum Ram 9,https://www.gsmarena.com/plum_ram_9-11131.php,https://fdn2.gsmarena.com/vv/bigpic/plum-ram9.jpg,GSM / HSPA / LTE,No,"2020, February 10. Released 2020, April",Discontinued,133.4 x 64.4 x 15.8 mm (5.25 x 2.54 x 0.62 in),109.0,,IP68,Nano-SIM + Nano-SIM,"TFT LCD, 256K colors",,2.4,240x320,167,20.8,,KaiOS 2.5,Mediatek MT6572M,,Dual-core,,,,4,4,,5.0,1,,No,,No,LED flash,480p,1.3,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,,1700,,,No,,,,,,,,,,,"Black, Black/Orange",,,,FM radio
Plum,Plum Gator 7,https://www.gsmarena.com/plum_gator_7-11076.php,https://fdn2.gsmarena.com/vv/bigpic/plum-gator7.jpg,GSM / HSPA / LTE,No,"2021, September 01. Released 2021, September 01",Discontinued,157.5 x 78.1 x 13.7 mm (6.20 x 3.07 x 0.54 in),261.0,Glass,IP69,Nano-SIM + Nano-SIM,IPS LCD,,5.7,720x1440,282,68.2,Dragontrail Glass,Android 11,Mediatek MT6761V/WE (14 nm),14,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8300,3,3,32,32,eMMC 5.1,8.0,1,,No,,No,"LED flash, panorama",1080p@30fps,5.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.0,Micro-USB,Yes,"GPS, GLONASS, GALILEO, BDS","Accelerometer, gyro, proximity, compass",5580,,,No,,,,,,,,,,,"Black, Orange",,,,FM radio
Plum,Plum Tag 2 3G,https://www.gsmarena.com/plum_tag_2_3g-9503.php,https://fdn2.gsmarena.com/vv/bigpic/plum-tag2-3g.jpg,GSM / HSPA,No,"2019, January. Released 2019, January",Discontinued,123 x 53 x 13.7 mm (4.84 x 2.09 x 0.54 in),85.0,,,"Dual SIM (Mini-SIM/Micro-SIM, dual stand-by)","TFT, 256K colors",,2.4,240x320,167,27.4,,,Spreadtrum 7715A,,1.2 GHz Cortex-A7,Mali-400,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,No,2.0,Micro-USB,Yes,No,,800,,,No,,,,,,,,,,,"Red, Blue, Orange",,,,"FM Radio, built-in antenna"
Plum,Plum Phantom 2,https://www.gsmarena.com/plum_phantom_2-9495.php,https://fdn2.gsmarena.com/vv/bigpic/plum-z621-phantom-2.jpg,GSM / HSPA,No,"2018, December. Released 2019, January",Discontinued,155.9 x 75.8 x 10.4 mm (6.14 x 2.98 x 0.41 in),195.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.72,480x960,188,71.5,,Android 8.0 Oreo (Go edition),Mediatek MT6580A (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,1,1,8,8,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,720p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,Accelerometer,2700,,,No,,,,,,,,,,,"Black, Gold",,,,FM radio
Plum,Plum Optimax 13,https://www.gsmarena.com/plum_optimax_13-9494.php,https://fdn2.gsmarena.com/vv/bigpic/plum-optimax13.jpg,GSM / HSPA,No,"2018, December. Released 2019, January",Discontinued,250.8 x 158.8 x 10.2 mm (9.87 x 6.25 x 0.40 in),510.0,,,"Dual SIM (Mini-SIM, dual stand-by)",IPS LCD,,10.1,800x1280,149,74.3,,Android 8.0 Oreo (Go edition),Spreadtrum SC7731,,Quad-core 1.3 GHz Cortex-A7,Mali-400,1,1,8,8,,5.0,1,,No,,No,LED flash,720p@30fps,2.0,No,,480p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,Accelerometer,4700,,,No,,,,,,,,,,,"Black, White, Gold",,,,FM radio
Plum,Plum Flipper 2,https://www.gsmarena.com/plum_flipper_2-9493.php,https://fdn2.gsmarena.com/vv/bigpic/plum-flipper-2.jpg,GSM,No,"2018, December. Released 2018, December",Discontinued,99.9 x 52 x 14.9 mm (3.93 x 2.05 x 0.59 in),76.0,,,Dual SIM,"TFT, 65K colors",,2.4,240x320,167,34.3,,,Mediatek MT6261D,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,No,2.0,Micro-USB,No,No,,750,,,No,,,,,,,,,,,"Black, Red, Blue",,,,FM radio
