Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Wiko,Wiko T30,https://www.gsmarena.com/wiko_t30_5g-14279.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t30.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2025, October 15","Available. Released 2025, October",168.8 x 78.1 x 8.5 mm (6.65 x 3.07 x 0.33 in),199.6,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1600,260,83.4,,Android 15,Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,,50.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (side-mounted), accelerometer",5000,18,,No,,,,,,,,,,,"Black, White",,,,Unspecified
Wiko,Wiko T40,https://www.gsmarena.com/wiko_t40-14051.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t40.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,164.2 x 75.3 x 8.8 mm (6.46 x 2.96 x 0.35 in),183.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,83.6,,Android 14,Mediatek Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,,,128,256,,50.0,1,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (side-mounted), accelerometer",5000,18,,No,,,,,,,,,,,"Sunrise Violet, Champagne Gold, Sky Mirror, Dark Blue",,,,Unspecified
Wiko,Wiko T20,https://www.gsmarena.com/wiko_t20-13118.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t20.jpg,GSM / HSPA / LTE,No,"2024, May","Available. Released 2024, May",164.5 x 75.9 x 8.9 mm (6.48 x 2.99 x 0.35 in),186.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.56,720x1612,269,82.8,Corning Gorilla Glass,Android 13,Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,128,,8.0,1,2.0,No,1/4.0,No,LED flash,1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer",5000,10,,No,,,120.0,,,,,,,,"Black, Green, Blue",,,,Unspecified
Wiko,Wiko Hi Enjoy 60s,https://www.gsmarena.com/wiko_hi_enjoy_60s-12688.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-hi-enjoy-60s.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, November 07","Available. Released 2023, November 07",168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),199.0,,,Nano-SIM + Nano-SIM,TFT LCD,,6.75,720x1600,260,84.1,,HarmonyOS 3.0,Mediatek Dimensity 700 (7 nm),7,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,,,128,256,,13.0,2,1.8,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.1,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",6000,5,,No,,,200.0,,,,,,,,"Black, Blue, White",GAR-AN60,,,Unspecified
Wiko,Wiko T60,https://www.gsmarena.com/wiko_t60-12477.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t60.jpg,GSM / HSPA / LTE,No,"2023, June 23","Available. Released 2023, June 23",165.8 x 75.8 x 9.8 mm (6.53 x 2.98 x 0.39 in),217.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.58,1080x2408,401,83.0,Corning Gorilla Glass,Android 13,Mediatek MT8788V/WA (12 nm),12,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),,8,8,256,256,,48.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,24.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5200,,,No,,,,,,,,,,,"Black, Purple, Blue",,,,Unspecified
Wiko,Wiko 5G,https://www.gsmarena.com/wiko_5g-12049.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-5g.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,"2022, December 27","Available. Released 2022, December 27",164.6 x 75.6 x 7.9 mm (6.48 x 2.98 x 0.31 in),191.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,1080x2388,387,89.5,,HarmonyOS 3.0,Qualcomm SM6375 Snapdragon 695 5G (6 nm),6,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,8,8,128,256,UFS 2.2,108.0,4,1.9,No,1/1.52,No,"LED flash, HDR, panorama","1080p@30fps, gyro-EIS",16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.1,Type-C,No,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, compass",4000,66,,No,,,270.0,,,,,,,,"Black, Silver",,,,No
Wiko,Wiko 10,https://www.gsmarena.com/wiko_10-12034.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-10.jpg,GSM / HSPA / LTE,No,"2022, September 22","Available. Released 2022, October 10",168.3 x 77.6 x 9 mm (6.63 x 3.06 x 0.35 in),199.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.75,720x1600,260,84.2,,Android 12,Mediatek MT6765 Helio G37 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,6,128,128,,50.0,3,1.8,No,1/2.76,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,5,,No,,,140.0,,,,,,,,"Klein Blue, Black, Silver",,,,No
Wiko,Wiko T50,https://www.gsmarena.com/wiko_t50-11607.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t50.jpg,GSM / HSPA / LTE,No,"2022, May 26","Available. Released 2022, May 26",160.7 x 73.3 x 8.4 mm (6.33 x 2.89 x 0.33 in),179.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.6,1080x2400,399,89.3,,Android 11,Mediatek MT6769Z Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,6,128,128,,64.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.1,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, compass",4000,40,,No,,,,,,,,,,,"Black, Green, Pink","W-P861-01, W-P861-02",,,FM radio
Wiko,Wiko T10,https://www.gsmarena.com/wiko_t10-11606.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t10.jpg,GSM / HSPA / LTE,No,"2022, May 26","Available. Released 2022, May 26",163.9 x 75.8 x 9 mm (6.45 x 2.98 x 0.35 in),192.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.5,720x1600,270,82.1,,Android 11 (Go edition),Mediatek MT6761 Helio A22 (12 nm),12,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8300,2,2,64,64,,13.0,1,,No,,No,"LED flash, panorama",1080p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,5.0,Yes,Yes,"GPS, GLONASS, GALILEO, BDS","Accelerometer, proximity",5000,,,No,,,,,,,,,,,"Black, Green","W-V673-01, W-V673-02",,,FM radio
Wiko,Wiko T3,https://www.gsmarena.com/wiko_t3-11601.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-t3.jpg,GSM / HSPA / LTE,No,"2021, December","Available. Released 2021, December",165.3 x 76 x 9.2 mm (6.51 x 2.99 x 0.36 in),188.0,,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,6.6,720x1600,266,83.7,,Android 11,Mediatek MT6765 Helio P35 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,4,128,128,,48.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,Wi-Fi 802.11 b/g/n,No,5.0,Yes,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,,,No,,,,,,,,,,,"Black, Gold",,,,FM radio
Wiko,Wiko Y62 Plus,https://www.gsmarena.com/wiko_y62_plus-11676.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-y62plus-thumb2.jpg,GSM / HSPA / LTE,No,"2021, Q3","Available. Released 2021, Q3",157 x 75.8 x 9.1 mm (6.18 x 2.98 x 0.36 in),172.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.1,720x1560,282,76.8,,Android 11 (Go edition),Mediatek MT6761D Helio A20 (12 nm),12,Quad-core 1.8 GHz Cortex-A53,PowerVR GE8320,2,2,32,32,,8.0,1,,No,,No,"LED flash, HDR",1080p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,"GPS, GLONASS, GALILEO, BDS","Accelerometer, proximity",3000,,,No,,,70.0,,,,,,,,"Dark Blue, Light Blue, Mint",W-K610-FRA,0.42 W/kg (head) 1.61 W/kg (body),,No
Wiko,Wiko Y82,https://www.gsmarena.com/wiko_y82-11681.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-y82-new.jpg,GSM / HSPA / LTE,No,"2021, Q3","Available. Released 2021, Q3",155.5 x 73.3 x 9.3 mm (6.12 x 2.89 x 0.37 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,6.1,720x1560,282,80.1,,Android 11,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,3,32,32,,13.0,1,,No,,No,"LED flash, HDR",720p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, proximity",3600,,,No,,,90.0,,,,,,,,"Black, Dark Blue, Light Blue",W-K630-EEA,0.27 W/kg (head) 1.39 W/kg (body),,No
Wiko,Wiko Power U30,https://www.gsmarena.com/wiko_power_u30-11678.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-u30-new.jpg,CDMA / HSPA / LTE,No,"2021, June","Available. Released 2021, June",173.8 x 78.6 x 9.5 mm (6.84 x 3.09 x 0.37 in),214.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.82,720x1640,263,80.9,,Android 11,Mediatek MT6765G Helio G35 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,4,64,128,,13.0,3,,No,,No,"LED flash, HDR",1080p@30fps,8.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, proximity, compass",6000,15,,No,,,150.0,,,,,,,,"Carbon Blue, Midnight Blue, Mint",,0.58 W/kg (head) 1.36 W/kg (body),,No
Wiko,Wiko Y52,https://www.gsmarena.com/wiko_y52-11679.php,https://fdn2.gsmarena.com/vv/bigpic/wiko-y52-new.jpg,GSM / HSPA / LTE,No,"2021, November","Available. Released 2021, November",143.2 x 73.5 x 10.2 mm (5.64 x 2.89 x 0.40 in),153.0,,,Nano-SIM + Micro-SIM,TN LCD,,5.0,480x854,196,65.5,,Android 11 (Go edition),Unisoc SC9832E (28 nm),28,Quad-core 1.4 GHz,Mali-T820 MP1,1,1,16,16,,5.0,1,,No,,No,"LED flash, HDR",720p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, proximity",2020,,,No,,,50.0,,,,,,,,"Grey, Deep Blue, Green",W-K521-EEA,0.75 W/kg (head) 0.94 W/kg (body),,No
