Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Yezz,Yezz Art 3S,https://www.gsmarena.com/yezz_art_3s-12101.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3s.jpg,GSM / HSPA / LTE,No,"2022, September","Available. Released 2023, January",165.3 x 77 x 9.2 mm (6.51 x 3.03 x 0.36 in),190.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,80.6,Asahi Glass,Android 12,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,128,,16.0,3,,No,,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",8.0,No,HDR,Yes,Wi-Fi 802.11 b/g/n,No,5.0,Type-C,No,GPS,Fingerprint (rear-mounted),5000,10,,No,,,110.0,,,,,,,,"Sunrise White, Graphite, Aqua Green, Artic Blue",,,,"Stereo FM radio, recording"
Yezz,Yezz Max 3 Ultra,https://www.gsmarena.com/yezz_max_3_ultra-12097.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-ultra.jpg,GSM / HSPA / LTE,No,"2022, September","Available. Released 2023, January",159.7 x 77.3 x 9.9 mm (6.29 x 3.04 x 0.39 in),182.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.26,720x1520,269,79.2,INX Glass,Android 12,Unisoc SC9832E (28 nm),28,Quad-core 1.4 GHz,Mali-T820 MP1,2,2,32,32,eMMC 5.1,13.0,2,,No,,No,Dual-LED flash,1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,GPS,Fingerprint (rear-mounted),3700,10,,No,,,100.0,,,,,,,,"Artic Blue, Aqua Green, Turquoise Green",,,,"Stereo FM radio, recording"
Yezz,Yezz Max 3 Plus,https://www.gsmarena.com/yezz_max_3_plus-12098.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3-plus.jpg,GSM / HSPA / LTE,No,"2022, October","Available. Released 2023, January",159.8 x 77.2 x 9.5 mm (6.29 x 3.04 x 0.37 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,6.1,480x1010,183,75.4,INX Glass,Android 12,Unisoc SC9832E (28 nm),28,Quad-core 1.4 GHz,Mali-T820 MP1,2,2,32,32,eMMC 5.1,13.0,3,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,Fingerprint (rear-mounted),3700,,,No,,,90.0,,,,,,,,"Midnight Black, Glacier Blue, Cosmic Blue, Carbon Grey",,,,"Stereo FM radio, recording"
Yezz,Yezz Max 3,https://www.gsmarena.com/yezz_max_3-12099.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-3.jpg,GSM / HSPA / LTE,No,"2022, September","Available. Released 2023, January",149.3 x 77.2 x 9.7 mm (5.88 x 3.04 x 0.38 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,5.45,720x1440,295,66.5,,Android 12,Unisoc SC9832E (28 nm),28,Quad-core 1.3 GHz,Mali-T820 MP1,2,2,32,32,eMMC 5.1,13.0,3,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,Fingerprint (rear-mounted),2600,,,No,,,70.0,,,,,,,,"Denim Blue, Aurora Green, Glacier Blue, Space Gray, Coral Red",,,,"Stereo FM radio, recording"
Yezz,Yezz Liv 3S LTE,https://www.gsmarena.com/yezz_liv_3s_lte-12100.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-liv-3s-lte.jpg,GSM / HSPA / LTE,No,"2022, October","Available. Released 2023, January",144.5 x 73.4 x 10.7 mm (5.69 x 2.89 x 0.42 in),,,,Nano-SIM + Nano-SIM,TN TFT,,5.0,480x854,196,65.0,Asahi Glass,Android 12 (Go edition),Unisoc SC9832E (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T820 MP1,2,2,16,16,eMMC 5.1,8.0,2,,No,,No,"LED flash, HDR, panorama",1080p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,,2000,,,No,,,60.0,,,,,,,,"Graphite, Forrest Green, Cosmos Blue, Sunset Blue",,,,"Stereo FM radio, recording"
Yezz,Yezz Art 3 Pro,https://www.gsmarena.com/yezz_art_3_pro-12087.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-pro.jpg,GSM / HSPA / LTE,No,"2022, September","Available. Released 2023, January",162 x 75.2 x 9 mm (6.38 x 2.96 x 0.35 in),201.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.49,1080x2400,406,83.5,Asahi Glass,Android 12,Mediatek MT6769Z Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,6,6,128,256,,48.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,HDR,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band",No,5.0,Type-C,No,GPS,Fingerprint (rear-mounted),5000,10,,No,,,160.0,,,,,,,,"Snow White, Space Black",,,,"Stereo FM radio, recording"
Yezz,Yezz C32,https://www.gsmarena.com/yezz_c32-12012.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-c32.jpg,GSM / HSPA / LTE,No,"2022, August","Available. Released 2022, August",121 x 50 x 12.8 mm (4.76 x 1.97 x 0.50 in),,,,Nano-SIM + Nano-SIM,"TFT, 256K colors",,1.77,128x160,116,16.3,,,Unisoc T107 (22 nm),22,1.0 GHz Cortex-A7,,,,,,,0.08,1,,No,,No,,QVGA,,No,,,No,No,5.1,Micro-USB,Yes,No,,1000,,,No,,,,,,,,,,,"Black, Green, Red, Blue",,,,Stereo FM radio
Yezz,Yezz Art 3 Lite,https://www.gsmarena.com/yezz_art_3_lite-11921.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-art-3-lite.jpg,GSM / HSPA / LTE,No,"2022, June","Available. Released 2022, September",167.9 x 76.8 x 10.5 mm (6.61 x 3.02 x 0.41 in),154.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,79.6,Panda Glass,Android 11 (Go edition),Unisoc SC9832E (28 nm),28,Quad-core 1.4 GHz,Mali-T820 MP1,2,2,64,64,,13.0,2,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,GPS,Fingerprint (rear-mounted),5000,10,,No,,,120.0,,,,,,,,"Onyx Black, Majestic Blue, Emerald Green",,,,"Stereo FM radio, recording"
Yezz,Yezz EPIC 3,https://www.gsmarena.com/yezz_epic_3-11763.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-epic3.jpg,No cellular connectivity,No,"2022, May","Available. Released 2022, August",189.5 x 107.5 x 10.6 mm (7.46 x 4.23 x 0.42 in),250.0,,,No,TN LCD,,7.0,600x1024,170,67.7,Asahi Glass,Android 12 (Go Edition),Allwinner A133,,Quad-core 1.5 GHz Cortex-A53,PowerVR GE8300,2,2,32,32,,5.0,1,2.0,No,,No,LED flash,720p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,No,Accelerometer,2500,,,No,,,70.0,,,,,,,,Blue,,,,"FM radio, recording"
Yezz,Yezz Max 2 Ultra,https://www.gsmarena.com/yezz_max_2_ultra-11682.php,https://fdn2.gsmarena.com/vv/bigpic/yezz-max-2-ultra.jpg,GSM / HSPA / LTE,No,"2022, May","Available. Released 2022, July",155.2 x 72.9 x 9.7 mm (6.11 x 2.87 x 0.38 in),175.0,,,Nano-SIM + Micro-SIM,IPS LCD,,6.1,600x1280,232,81.5,Asahi Glass,Android 11,Mediatek MT6737M (28 nm),28,Quad-core 1.45 GHz Cortex-A53,Mali-T720MP2,2,2,32,32,eMMC 5.1,13.0,2,,No,,No,Dual-LED dual-tone flash,1080p@30fps,8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,4.0,Micro-USB,Yes,GPS,Fingerprint (rear-mounted),3000,,,No,,,,,,,,,,,"Ocean Green, Midnight Blue",,,,"Stereo FM radio, recording"
