Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Gionee,Gionee G13 Pro,https://www.gsmarena.com/gionee_g13_pro-11339.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-g13-pro.jpg,GSM / HSPA / LTE,No,"2022, January 28","Available. Released 2022, January 30",158 x 76 x 9.2 mm (6.22 x 2.99 x 0.36 in),195.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.26,720x1600,280,78.8,,HarmonyOS 2.0,Unisoc Tiger T310 (12 nm),12,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),PowerVR GE8300,4,4,32,32,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,,Yes,No,,Type-C,Yes,GPS,"Accelerometer, proximity",3500,,,No,,,80.0,,,,,,,,"Black, Blue, Silver, Purple",GNV5221,,,Unspecified
Gionee,Gionee P15,https://www.gsmarena.com/gionee_p15-11027.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15.jpg,GSM / HSPA / LTE,No,"2021, July 26. Released 2021, July 30",Discontinued,164.7 x 76.3 x 9 mm (6.48 x 3.00 x 0.35 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,81.7,,Android 11 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,2,2,32,32,eMMC 5.1,13.0,1,,No,,No,LED flash,Unspecified,8.0,No,,Unspecified,Yes,No,,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",5000,,,No,,,100.0,,,,,,,,"Black, Blue, Light Blue",,,,Unspecified
Gionee,Gionee Smartwatch 7,https://www.gsmarena.com/gionee_smartwatch_7-10957.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-smartwatch-7.jpg,No cellular connectivity,No,"2021, June 09. Released 2021, June 13",Discontinued,50 x 45 x 9.6 mm (1.97 x 1.77 x 0.38 in),35.0,,IP67,No,TFT LCD,,1.3,240x240,261,,,Proprietary OS,,,,,,,,,eMMC 4.5,,,,No,,No,,,,No,,,No,No,4.0,No,No,No,"Accelerometer, heart rate, SpO2",130,,,No,,,50.0,,,,,,,,"Teal Green, Mimi Pink, Matte Black",,,,No
Gionee,Gionee M15,https://www.gsmarena.com/gionee_m15-10931.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m15.jpg,GSM / HSPA / LTE,No,"2021, May 24. Released 2021, May 28",Discontinued,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,6.67,1080x2400,395,84.4,,Android 11,Mediatek MT6785 Helio G90 (12 nm),12,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G76 MC4,6,8,128,128,,48.0,4,,No,,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,,1080p@30fps,Yes,No,,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",5100,18,,No,,,180.0,,,,,,,,Gray,,,,Unspecified
Gionee,Gionee M3,https://www.gsmarena.com/gionee_m3-10835.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m3.jpg,GSM / HSPA / LTE,No,"2021, April 07. Released 2021, April 14",Discontinued,163.2 x 75.9 x 9.3 mm (6.43 x 2.99 x 0.37 in),201.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.53,720x1600,269,83.1,,Android,Mediatek MT6771 Helio P60 (12 nm),12,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,6,8,128,256,eMMC 5.1,16.0,4,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",No,,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,120.0,,,,,,,,"Black, Green, Sky, Gray",,,,Unspecified
Gionee,Gionee P15 Pro,https://www.gsmarena.com/gionee_p15_pro-10814.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p15-pro.jpg,GSM / HSPA / LTE,No,"2021, March 26. Released 2021, March 29",Discontinued,173.8 x 78.5 x 9.5 mm (6.84 x 3.09 x 0.37 in),208.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.82,720x1640,263,81.0,,Android 11,Mediatek MT6765G Helio G35 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,3,3,64,64,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 b/g/n,No,5.0,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",6000,,,No,,,120.0,,,,,,,,"Fjord, Petrol Blue",,,,FM radio
Gionee,Gionee Max Pro,https://www.gsmarena.com/gionee_max_pro-10757.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-max-pro.jpg,GSM / HSPA / LTE,No,"2021, March 01. Released 2021, March 08",Discontinued,165 x 75 x 10 mm (6.50 x 2.95 x 0.39 in),212.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1560,264,84.3,,Android 10,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,3,32,32,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,,Wi-Fi 802.11 a/b/g/n/ac,No,4.2,Micro-USB,Yes,GPS,"Accelerometer, proximity",6000,,,No,,,80.0,,,,,,,,"Black, Red, Blue",,0.34 W/kg (head) 0.97 W/kg (body),,FM radio
Gionee,Gionee K30 Pro,https://www.gsmarena.com/gionee_k30_pro-10628.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg,GSM / HSPA / LTE,No,"2020, December 08. Released 2020, December",Discontinued,165 x 76 x 8 mm (6.50 x 2.99 x 0.31 in),165.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.53,720x1560,263,83.5,,Android,Mediatek,,Octa-core 2.0 GHz,,6,8,128,256,eMMC 5.1,16.0,3,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n, hotspot",No,,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",4000,20,,No,,,100.0,,,,,,,,"Black, Blue, White",GSE1020,,,FM radio
Gionee,Gionee P12,https://www.gsmarena.com/gionee_p12-10638.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg,GSM / HSPA / LTE,No,"2020, November 09. Released 2020, November 09",Discontinued,156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in),178.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.1,720x1600,288,78.1,,Android 10,Mediatek MT6761 Helio A20 (12 nm),12,Quad-core 1.8 GHz Cortex-A53,PowerVR GE8320,2,2,16,16,eMMC 5.1,13.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",3200,,,No,,,80.0,,,,,,,,"Black, Purple",,,,FM radio
Gionee,Gionee M12,https://www.gsmarena.com/gionee_m12-10600.php,https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg,GSM / HSPA / LTE,No,"2020, November 16. Released 2020, November 16",Discontinued,163.9 x 76.8 x 9.3 mm (6.45 x 3.02 x 0.37 in),196.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.55,720x1600,268,82.3,,Android 10,Mediatek MT6762D Helio A25 (12 nm) - model 1 Mediatek MT6762 Helio P22 (12 nm) - model 2,12,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - model 1 Octa-core 2.0 GHz Cortex-A53 - model 2,PowerVR GE8320,4,6,64,128,eMMC 5.1,48.0,4,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band",No,5.0,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",5100,,,No,,,150.0,,,,,,,,"Magic Green, Dazzling Black",,,,FM radio
