Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Siemens,Siemens AL21,https://www.gsmarena.com/siemens_al21-1379.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-al21.gif,GSM,No,"2005, November",Discontinued,86.8 x 45.8 x 19.2 mm (3.42 x 1.80 x 0.76 in),78.0,,,Mini-SIM,"TFT, 65K colors",,,130x130,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,"Red Temptation, Black Magic",,,,No
Siemens,Siemens A31,https://www.gsmarena.com/siemens_a31-1378.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-a31.gif,GSM,No,"2005, November",Discontinued,"102 x 46 x 17.6 mm, 75 cc (4.02 x 1.81 x 0.69 in)",85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,No,No,No,,820,,,No,,,,,,,,,,,"Anthracite, Ruby Red",,,,No
Siemens,Siemens AF51,https://www.gsmarena.com/siemens_af51-1377.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-af51.gif,GSM,No,"2005, November",Discontinued,79 x 41 x 19.6 mm (3.11 x 1.61 x 0.77 in),80.0,,,Mini-SIM,"CSTN, 65K colors",,,130x130,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,620,,,No,,,,,,,,,,,"Panther Black, Dolphin Grey",,,,No
Siemens,Siemens ME75,https://www.gsmarena.com/siemens_me75-1324.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-me75.gif,GSM,No,"2005, October",Discontinued,105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in),95.0,,,Mini-SIM,"TFT, 65K colors",,,132x176,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,1000,,,No,,,,,,,,,,,"Amazon Green, Atlas Grey",,,,No
Siemens,Siemens AP75,https://www.gsmarena.com/siemens_ap75-1326.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-ap75.gif,GSM,No,"2005, October",Discontinued,102 x 44 x 18 mm (4.02 x 1.73 x 0.71 in),86.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,500 KB free memory,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,860,,,No,,,,,,,,,,,Cosmic Grey,,,,No
Siemens,Siemens AX72,https://www.gsmarena.com/siemens_ax72-1327.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-ax72.gif,GSM,No,"2005, October",Discontinued,105.6 x 46.8 x 17.5 mm (4.16 x 1.84 x 0.69 in),79.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,1.5 MB free memory,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,Basalt Black,,,,No
Siemens,Siemens SG75,https://www.gsmarena.com/siemens_sg75-1288.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sg75.gif,GSM / UMTS,No,"2005, Sep",Cancelled,"98 x 49.5 x 23 mm, 104 cc (3.86 x 1.95 x 0.91 in)",123.0,,,Mini-SIM,"TFD, 256K colors",,2.0,176x220,141,26.0,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,920,,,No,,,,,,,,,,,Metallic White,,,,No
Siemens,Siemens SFG75,https://www.gsmarena.com/siemens_sfg75-1289.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-sfg75.gif,GSM / UMTS,No,"2005, Sep",Discontinued,"90 x 45 x 24 mm, 97 cc (3.54 x 1.77 x 0.94 in)",110.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,31.1,,,,,,,,,,,,1.3,1,,No,,No,LED flash,Yes,,No,,,No,,,Proprietary,No,No,,840,,,No,,,,,,,,,,,Silver Black,,,,No
Siemens,Siemens CC75,https://www.gsmarena.com/siemens_cc75-1247.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cc75.gif,GSM,No,"2005, August",Cancelled,"111 x 44 x 12.6 mm, 65 cc (4.37 x 1.73 x 0.50 in)",80.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,800,,,No,,,,,,,,,,,Aluminium Silver,,,,No
Siemens,Siemens CF110,https://www.gsmarena.com/siemens_cf110-1248.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-cf110.gif,GSM,No,"2005, August",Discontinued,"83 x 45 x 18 mm, 68 cc (3.27 x 1.77 x 0.71 in)",76.5,,,Mini-SIM,"TFT, 65K colors",,,130x130,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,600,,,No,,,,,,,,,,,"Moonlight Silver, Midnight Blue",,,,No
Siemens,Siemens C72,https://www.gsmarena.com/siemens_c72-1259.php,https://fdn2.gsmarena.com/vv/bigpic/siemens-c72.gif,GSM,No,"2005, August",Discontinued,105 x 47 x 18 mm (4.13 x 1.85 x 0.71 in),86.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,750,,,No,,,,,,,,,,,Liquid Silver,,,,No
