Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Blackberry,BlackBerry KEY2 LE,https://www.gsmarena.com/blackberry_key2_le-9292.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,GSM / HSPA / LTE,No,"2018, August. Released 2018, October",Discontinued,150.3 x 71.8 x 8.4 mm (5.92 x 2.83 x 0.33 in),156.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,4.5,1080x1620,434,55.6,Corning Gorilla Glass (unspecified versi,Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),14,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,4,4,32,64,eMMC 5.1,13.0,2,2.2,No,1/3.1,Yes,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps",8.0,No,,1080p@30fps,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.0,Type-C,Yes,"GPS, GLONASS","Fingerprint (front-mounted), accelerometer, proximity, compass",3000,,,No,,,440.0,,,116764,4965,,,,"Slate, Champagne, Atomic","BBE100-4, BBE100-5, BBE100-1, BBE100-2",1.01 W/kg (head) 1.17 W/kg (body),0.78 W/kg (head) 1.61 W/kg (body),FM radio
Blackberry,BlackBerry Evolve X,https://www.gsmarena.com/blackberry_evolve_x-9282.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-x-5.jpg,GSM / HSPA / LTE,No,"2018, August. Released 2018, August",Discontinued,159.1 x 76.8 x 8.8 mm (6.26 x 3.02 x 0.35 in),170.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,5.99,1080x2160,403,75.8,Gorilla Glass 5,Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),14,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,6,6,64,64,eMMC 5.1,12.0,2,1.8,No,1/2.8,No,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,16.0,No,LED flash,1080p@30/60fps,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",4000,18,,No,,,350.0,,,,,,,,Black,,,,FM radio
Blackberry,BlackBerry Evolve,https://www.gsmarena.com/blackberry_evolve-9281.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-exolve-6.jpg,GSM / HSPA / LTE,No,"2018, August. Released 2018, October",Discontinued,158.9 x 76.1 x 8.4 mm (6.26 x 3.00 x 0.33 in),170.0,,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,5.99,1080x2160,403,76.6,Gorilla Glass 5,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),14,Octa-core 1.8 GHz Cortex-A53,Adreno 506,4,4,64,64,eMMC 5.1,13.0,2,,No,1/3.1,No,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,16.0,No,LED flash,1080p@30/60fps,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct",No,4.2,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",4000,18,,No,,,300.0,,,,,,,,Black,BBG100-1,,,FM radio
Blackberry,BlackBerry KEY2,https://www.gsmarena.com/blackberry_key2-9187.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-new.jpg,GSM / HSPA / LTE,No,"2018, June. Released 2018, June",Discontinued,151.4 x 71.8 x 8.5 mm (5.96 x 2.83 x 0.33 in),168.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM - BBF100-6 only,IPS LCD,,4.5,1080x1620,434,55.2,Gorilla Glass 3,Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),14,Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Adreno 512,6,6,64,128,eMMC 5.1,12.0,2,1.8,No,1/2.3,Yes,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.0,Type-C,Yes,"GPS, GLONASS, BDS2","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",3500,18,,No,,,500.0,,,140984,5830,,,,"Black, Silver, Red","BBF100-6, BBF100-1, BBF100-2, BBF100-4",,0.72 W/kg (head) 1.68 W/kg (body),FM radio
Blackberry,BlackBerry Motion,https://www.gsmarena.com/blackberry_motion-8891.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-motion.jpg,GSM / HSPA / LTE,No,"2017, October. Released 2017, December",Discontinued,155.8 x 75.5 x 8.1 mm (6.13 x 2.97 x 0.32 in),167.0,Glass,IP67,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,5.5,1080x1920,403,70.2,Scratch-resistant glass,Android 7.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),14,Octa-core 2.0 GHz Cortex-A53,Adreno 506,4,4,32,32,eMMC 5.1,12.0,1,2.0,No,,Yes,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@30fps",8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",Yes,4.2,Type-C,Yes,"GPS, GLONASS, BDS2","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",4000,18,,No,,,390.0,,,75057,3567,,,,Black,"BBD100-1, BBD100-6, BBD100-2",,,FM radio
Blackberry,BlackBerry Aurora,https://www.gsmarena.com/blackberry_aurora-8612.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-aurora.jpg,GSM / HSPA / LTE,No,"2017, March. Released 2017, March",Discontinued,152 x 76.8 x 8.5 mm (5.98 x 3.02 x 0.33 in),178.0,Glass,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.5,720x1280,267,71.4,,Android 7.0 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),28,Quad-core 1.4 GHz Cortex-A53,Adreno 308,4,4,32,32,eMMC 5.1,13.0,1,,No,,No,"Dual-LED flash, HDR, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, proximity, compass",3000,,,No,,,200.0,,,,,,,,"Black, Silver, Gold",BBC100-1,,,No
Blackberry,BlackBerry Keyone,https://www.gsmarena.com/blackberry_keyone-8508.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-keyone-mercury.jpg,GSM / HSPA / LTE,No,"2017, February. Released 2017, April",Discontinued,149.1 x 72.4 x 9.4 mm (5.87 x 2.85 x 0.37 in),180.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM - BBB100-4 only,IPS LCD,,4.5,1080x1620,434,55.6,Corning Gorilla Glass 4,"Android 7.1 (Nougat), upgradable to Android 8.1 (Oreo)",Qualcomm MSM8953 Snapdragon 625 (14 nm),14,Octa-core 2.0 GHz Cortex-A53,Adreno 506,3,4,32,64,eMMC 5.1,12.0,1,2.0,No,1/2.3,Yes,"Dual-LED dual-tone flash, HDR, panorama",4K@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,4.2,Type-C,Yes,"GPS, GLONASS, BDS2","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",3500,18,,No,,,290.0,,,,,,,,"Black/Silver, Black, Bronze","BBB100-2, BBB100-7, BBB100-1, BBB100-5, BBB100-3, BBB100-4",,,FM radio
Blackberry,BlackBerry DTEK60,https://www.gsmarena.com/blackberry_dtek60-8351.php,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek-60r.jpg,GSM / HSPA / LTE,No,"2016, October. Released 2016, October",Discontinued,153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),165.0,,,Nano-SIM,AMOLED,,5.5,1440x2560,534,71.9,"Scratch-resistant glass, oleophobic coat",Android 6.0 (Marshmallow),Qualcomm MSM8996 Snapdragon 820 (14 nm),14,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Adreno 530,4,4,32,32,,21.0,1,2.0,No,,Yes,"Dual-LED dual-tone flash, HDR, panorama","4K@30fps, 720p@120fps",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,4.2,Type-C,Yes,"GPS, GLONASS, BDS","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",3000,18,,No,,,250.0,,,,,,,,Black,"BBA100-2, BBA100-1",,,No
Blackberry,BlackBerry DTEK50,https://www.gsmarena.com/blackberry_dtek50-8229.php,https://fdn2.gsmarena.com/vv/bigpic/bb-dtek.jpg,GSM / HSPA / LTE,No,"2016, July. Released 2016, August",Discontinued,147 x 72.5 x 7.4 mm (5.79 x 2.85 x 0.29 in),135.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.2,1080x1920,424,69.9,"Scratch-resistant glass, oleophobic coat",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),28,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,3,3,16,16,eMMC 5.1,13.0,1,2.0,No,,No,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,4.2,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, gyro, proximity, compass",2610,18,,No,,,200.0,,,,,,,,Black,"STH100-2, STH100-1",,,FM radio
Blackberry,BlackBerry Priv,https://www.gsmarena.com/blackberry_priv-7587.php,https://fdn2.gsmarena.com/vv/bigpic/blackberry-priv.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, November",Discontinued,147 x 77.2 x 9.4 mm (5.79 x 3.04 x 0.37 in),192.0,Glass,,Nano-SIM,AMOLED,,5.4,1440x2560,540,71.9,Corning Gorilla Glass 4,"Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8992 Snapdragon 808 (20 nm),20,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,3,3,32,32,eMMC 5.0,18.0,1,2.2,Yes,1/2.4,Yes,"Schneider-Kreuznach optics, dual-LED dual-tone flash, HDR, panorama","4K@30fps, 1080p@60fps",2.0,No,,720p,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",Yes,4.1,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, altimeter, gyro, ToF proximity, compass",3410,18,,No,,,270.0,,,,,,,,Black,"STV100-4, STV100-3, STV100-1, V100, STV100-2",,,No
