Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Meizu,Meizu 22,https://www.gsmarena.com/meizu_22_5g-14150.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-22.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 16","Available. Released 2025, September 19",152 x 71 x 8.2 mm (5.98 x 2.80 x 0.32 in),190.0,Glass,IP66,Nano-SIM + Nano-SIM,"LTPO OLED, 120Hz, HDR10+, 1800 nits (HBM), 6000 nits (peak)",120,6.3,1200x2670,465,88.7,,"Android 15, Flyme AIOS 2",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),4,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,12,16,256,512,UFS 4.0,50.0,3,1.7,Yes,1/1.3,Yes,"Ring-LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60fps, gyro-EIS",50.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps, gyro-EIS","Wi-Fi 802.11 а/b/g/n/ac/6e/7, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",5510,80,66,Yes,,,360.0,,,,,,,,"Black, White, Pink",,,,No
Meizu,Meizu Note 22 Pro,https://www.gsmarena.com/meizu_note_22_pro_5g-13884.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-note16-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 20","Available. Released 2025, May 20",163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5,,IP66,Nano-SIM + Nano-SIM,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",144,6.78,1224x2720,440,88.9,,Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),4,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,16,256,512,,50.0,3,1.8,No,,No,"LED flash, panorama, HDR","Yes, gyro-EIS",8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO, QZSS, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6200,80,,No,,,300.0,,,,,,,,"Lake Glide, Cloud White, Star Ash",,,,Unspecified
Meizu,Meizu Note 22,https://www.gsmarena.com/meizu_note_22_5g-13883.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-note16.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 20","Available. Released 2025, May 20",167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217.0,,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 1050 nits (HBM), 5000 nits (peak)",120,6.78,1080x2460,396,85.9,,Flyme AIOS 2,Unisoc T8200 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,8,12,128,256,,50.0,2,1.8,No,,No,"LED flash, panorama, HDR",Yes,8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",6600,40,,No,,,210.0,,,,,,,,"Pure Flame, Stonehold Black, Snow White",,,,Unspecified
Meizu,Meizu Mblu 22 Pro,https://www.gsmarena.com/meizu_mblu_22_pro-13700.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-mblu-22-pro.jpg,GSM / HSPA / LTE,No,"2025, March 04","Available. Released 2025, May 20",170.8 x 77.5 x 8.5 mm (6.72 x 3.05 x 0.33 in),212.0,,,Nano-SIM + Nano-SIM,"TFT LCD, 120Hz, 400 nits (HBM)",120,6.79,720x1640,264,82.7,,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,8,128,256,eMMC 5.1,50.0,2,1.8,No,,No,"LED flash, panorama, HDR",Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,120.0,,,,,,,,"Titan Black, Deep Sea Blue, Snow White",M2512,,,Unspecified
Meizu,Meizu Mblu 22,https://www.gsmarena.com/meizu_mblu_22-13699.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-mblu-22.jpg,GSM / HSPA / LTE,No,"2025, March 04","Available. Released 2025, May 20",170.8 x 77.5 x 8.9 mm (6.72 x 3.05 x 0.35 in),200.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.79,720x1640,264,82.7,,Android 15 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,4,64,128,eMMC 5.1,13.0,1,1.8,No,,No,"LED flash, panorama, HDR",Yes,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,80.0,,,,,,,,"Titan Black, Snow White, Sea Blue",M2511,,,No
Meizu,Meizu Note 22 4G,https://www.gsmarena.com/meizu_note_22-13698.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-note-22.jpg,GSM / HSPA / LTE,No,"2025, March 04","Available. Released 2025, May 20",165.2 x 75.5 x 8.4 mm (6.50 x 2.97 x 0.33 in),204.0,,IP54,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 550 nits (typ), 1200 nits (HBM), 1800 nits (peak)",120,6.78,1080x2436,393,88.1,,"Android 15, Flyme OS",Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,128,512,UFS 2.2,108.0,3,1.7,No,,No,"LED flash, panorama, HDR",Yes,32.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,6.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,40,,No,,,180.0,,,,,,,,"Eclipse Black, Titanium Lux, Steel Blue, Graphite Mist",M2513,,,FM radio
Meizu,Meizu Note 16,https://www.gsmarena.com/meizu_note_16_5g-13862.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-note16.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 13","Available. Released 2025, May 16",167.6 x 75.8 x 9.2 mm (6.60 x 2.98 x 0.36 in),217.0,,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 1050 nits (peak)",120,6.78,1080x2460,396,85.9,,Flyme AIOS 2,Unisoc T8200 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,8,12,128,256,,50.0,2,1.8,No,,No,"LED flash, panorama, HDR",Yes,8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,Yes,"GPS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",6600,40,,No,,,100.0,,,,,,,,"Black, White, Red",,,,Unspecified
Meizu,Meizu Note 16 Pro,https://www.gsmarena.com/meizu_note_16_pro_5g-13861.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-note16-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 13","Available. Released 2025, May 16",163.8 x 76.2 x 8.4 mm (6.45 x 3.00 x 0.33 in),197.5,,IP66,Nano-SIM + Nano-SIM,"OLED, 1B colors, 144Hz, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",144,6.78,1224x2720,440,88.9,,Flyme AIOS 2,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),4,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,16,256,512,,50.0,3,1.8,No,,No,"LED flash, panorama, HDR",Yes,8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,"GPS (L1+L5), BDS (B1I+B1C+B2a), GALILEO, QZSS, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6200,80,,No,,,190.0,,,,,,,,"Gray, Blue, White",,,,Unspecified
Meizu,Meizu mblu 21,https://www.gsmarena.com/meizu_mblu_21-13530.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-mblu-21.jpg,GSM / HSPA / LTE,No,"2024, November 27","Available. Released 2024, November",-,,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.79,720x1640,264,,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,64,64,,13.0,1,,No,,No,"LED flash, panorama, HDR",Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,No,GPS,Fingerprint (side-mounted); unspecified sensors,4900,,,No,,,,,,,,,,,"Black, Blue, White",M2416,,,No
Meizu,Meizu Lucky 08,https://www.gsmarena.com/meizu_lucky_08-13365.php,https://fdn2.gsmarena.com/vv/bigpic/meizu-lucky-08.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, September 25","Available. Released 2024, September 20",163 x 77.5 x 8.6 mm (6.42 x 3.05 x 0.34 in),202.0,,,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 144Hz, HDR, 800 nits (typ), 5000 nits (peak)",144,6.78,1264x2780,450,88.5,,Flyme AIOS,Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),4,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,8,12,256,512,,108.0,2,1.7,No,1/1.67,No,"LED flash, panorama, HDR",Yes,8.0,No,HDR,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.1,Type-C,No,"GPS (L1+L5), BDS (B1I+B1C+B2a), GLONASS, GALILEO, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6000,45,,No,,,210.0,,,,,,,,"Black, White",,,,No
