Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Qmobile,QMobile Noir A1,https://www.gsmarena.com/qmobile_noir_a1-8757.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, July",Discontinued,154.5 x 76.5 x 8.3 mm (6.08 x 3.01 x 0.33 in),182.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.5,1080x1920,401,70.6,Corning Gorilla Glass (unspecified versi,"Android 7 (Nougat), Amigo OS 4",Mediatek MT6755 Helio P10 (28 nm),28,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,4,4,64,64,eMMC 5.1,13.0,1,2.0,No,1/3.1,No,"LED flash, panorama, HDR",1080p@30fps,16.0,No,,,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",4010,10,,No,,,,,27500,,,,,,"Black, Gray, Gold",Noir A1,,,FM radio
Qmobile,QMobile Noir E2,https://www.gsmarena.com/qmobile_noir_e2-8758.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, June",Discontinued,148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),,,,Hybrid Dual SIM,IPS LCD,,5.2,720x1280,282,69.2,,Android 7.0 (Nougat),Mediatek MT6755 Helio P10 (28 nm),28,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,3,3,16,16,eMMC 5.1,13.0,1,2.2,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (front-mounted), accelerometer, proximity, compass",4000,,,No,,,,,15500,,,,,,Gold,E2 Noir,,,FM radio
Qmobile,QMobile J7 Pro,https://www.gsmarena.com/qmobile_j7_pro-8759.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg,GSM / HSPA / LTE,No,"2017, May. Released 2017, May",Discontinued,154 x 76.6 x 9.2 mm (6.06 x 3.02 x 0.36 in),175.0,,,"Hybrid Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.5,720x1280,267,70.7,Gorilla Glass 3,Android 6.0 (Marshmallow),Mediatek MT6737T (28 nm),28,Quad-core 1.4 GHz Cortex-A53,Mali-T720,3,3,32,32,eMMC 5.0,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",3150,,,No,,,,,18000,,,,,,"Gold, Blue",,,,FM radio
Qmobile,QMobile M6,https://www.gsmarena.com/qmobile_m6-8760.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg,GSM / HSPA / LTE,No,"2017, March. Released 2017, March",Discontinued,152.3 x 75.3 x 8.2 mm (6.00 x 2.96 x 0.32 in),180.0,,,"Dual SIM (Micro-SIM, dual stand-by)",AMOLED,,5.5,1080x1920,401,72.7,,"Android 6.0 (Marshmallow), Amigo 3.5",Mediatek MT6755 Helio P10 (28 nm),28,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,4,4,64,64,eMMC 5.1,13.0,1,2.0,No,1/3.1,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",5000,10,,No,,,,,29500,,,,,,"Gold, Coffee",,,,"FM radio, recording"
Qmobile,QMobile M6 Lite,https://www.gsmarena.com/qmobile_m6_lite-8761.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg,GSM / HSPA / LTE,No,"2017, March. Released 2017, March",Discontinued,144 x 71 x 10 mm (5.67 x 2.80 x 0.39 in),184.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,67.4,,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,3,3,16,16,eMMC 5.0,13.0,1,2.2,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",4000,,,No,,,,,16500,,,,,,Gold,M6 Lite,,,FM radio
Qmobile,QMobile King Kong Max,https://www.gsmarena.com/qmobile_king_kong_max-8762.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg,GSM / HSPA / LTE,No,"2017, January. Released 2017, January",Discontinued,149 x 73.2 x 8.2 mm (5.87 x 2.88 x 0.32 in),162.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.3,720x1280,277,71.0,,Android 6.0 (Marshmallow),Mediatek MT6750 (28 nm),28,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,3,3,32,32,eMMC 5.1,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",4000,,,No,,,,,18500,,,,,,Gold,,,,FM radio
Qmobile,QMobile M350 Pro,https://www.gsmarena.com/qmobile_m350_pro-8764.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_M350_Pro.jpg,GSM / HSPA,No,"2017, February. Released 2017, February",Discontinued,145.5 x 71 x 9.4 mm (5.73 x 2.80 x 0.37 in),179.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,66.7,,"Android 6 (Marshmallow), Amigo 3",Mediatek MT6580M (28 nm),28,Quad-core 1.3 GHz Cortex-7,Mali-400MP2,2,2,16,16,,8.0,1,2.2,No,1/4.0,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity",5000,,,No,,,,,,,,,,,"Black, Gold, White","M350, M350 Pro",,,FM radio
Qmobile,QMobile Energy X2,https://www.gsmarena.com/qmobile_energy_x2-8763.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_Energy_X2.jpg,GSM / HSPA,No,"2017, February. Released 2017, February",Discontinued,143 x 73 x 9.9 mm (5.63 x 2.87 x 0.39 in),184.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,66.0,,Android 6.0 (Marshmallow),Mediatek MT6580M (28 nm),28,Quad-core 1.3 GHz Cortex-7,Mali-400MP2,2,2,16,16,,8.0,1,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",5000,,,No,,,,,,,,,,,"Gold, Silver, Gray",ENERGY X2,,,FM radio
Qmobile,QMobile E1,https://www.gsmarena.com/qmobile_e1-8765.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_E1.jpg,GSM / HSPA / LTE,No,"2017, January. Released 2017, January",Discontinued,143.8 x 72 x 8.9 mm (5.66 x 2.83 x 0.35 in),,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,66.6,,Android 6.0 (Marshmallow),Mediatek MT6735P (28 nm),28,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,3,3,16,16,,8.0,1,2.2,No,,No,LED flash,1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",4000,,,No,,,,,,,,,,,"Black, Gold",E1,,,FM radio
Qmobile,QMobile Noir S6 Plus,https://www.gsmarena.com/qmobile_noir_s6_plus-8766.php,https://fdn2.gsmarena.com/vv/bigpic/QMobile_S6_Plus.jpg,GSM / HSPA,No,"2016, June. Released 2016, June",Discontinued,144.4 x 72.5 x 8.7 mm (5.69 x 2.85 x 0.34 in),150.0,,,Dual SIM,IPS LCD,,5.5,720x1280,267,79.7,,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,2,2,16,16,,8.0,1,2.0,No,1/4.0,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",2500,,,No,,,,,,,,,,,Gold,"S6, S6S, S6 PLUS",,,FM radio
