Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Vodafone,Vodafone Smart V10,https://www.gsmarena.com/vodafone_smart_v10-9726.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v10.jpg,GSM / HSPA / LTE,No,"2019, May. Released 2019, June",Discontinued,151.3 x 69.9 x 8.2 mm (5.96 x 2.75 x 0.32 in),145.0,,,Nano-SIM,IPS LCD,,5.9,720x1560,291,80.8,Asahi Dragontrail Glass,Android 9.0 (Pie),Qualcomm SDM429 Snapdragon 429 (12 nm),12,Quad-core 2.0 GHz Cortex-A53,Adreno 504,3,3,32,32,eMMC 5.1,13.0,2,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,"Accelerometer, proximity",3400,,,No,,,180.0,,,,,,,,Chrome Pewter,,,,FM radio
Vodafone,Vodafone Smart N10,https://www.gsmarena.com/vodafone_smart_n10-9725.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n10.jpg,GSM / HSPA / LTE,No,"2019, May. Released 2019, May",Discontinued,148.8 x 69.9 x 8.4 mm (5.86 x 2.75 x 0.33 in),160.0,,,Nano-SIM,IPS LCD,,5.67,720x1500,293,77.8,Asahi Dragontrail Glass,Android 9.0 (Pie),Mediatek MT6761V/WA Helio A22 (12 nm),12,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,2,2,16,16,eMMC 5.1,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity",2920,,,No,,,150.0,,,,,,,,Blue Borealis,"VFD 630, 5048Y",,,FM radio
Vodafone,Vodafone Smart E9,https://www.gsmarena.com/vodafone_smart_e9-9484.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e9.jpg,GSM / HSPA / LTE,No,"2018, December. Released 2018, December",Discontinued,137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134.0,,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,5.0,480x960,215,71.4,,Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),28,Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,1,1,8,8,eMMC 5.1,5.0,1,,No,,No,LED flash,720p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,70.0,,,,,,,,Anthracite,"VFD 527, VFD 528",,0.91 W/kg (head) 1.63 W/kg (body),FM radio
Vodafone,Vodafone Smart X9,https://www.gsmarena.com/vodafone_smart_x9-9483.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-x9.jpg,GSM / HSPA / LTE,No,"2018, December. Released 2018, December",Discontinued,148.2 x 71.3 x 8 mm (5.83 x 2.81 x 0.31 in),153.0,,,Nano-SIM,IPS LCD,,5.7,1080x2160,427,78.2,Asahi Dragontrail Glass,Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),14,Octa-core 1.8 GHz Cortex-A53,Adreno 506,3,3,32,32,eMMC 5.1,16.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.2,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",3100,,,No,,,110.0,,,,,,,,Black,VFD 820,,0.40 W/kg (head) 1.23 W/kg (body),FM radio
Vodafone,Vodafone Smart N9,https://www.gsmarena.com/vodafone_smart_n9-9235.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-.jpg,GSM / HSPA / LTE,No,"2018, June. Released 2018, June",Discontinued,147.1 x 68.8 x 8.7 mm (5.79 x 2.71 x 0.34 in),145.0,,,Nano-SIM,IPS LCD,,5.5,720x1440,293,77.1,,Android 8.1 (Oreo),Mediatek MT6739WA (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,2,2,16,16,eMMC 5.1,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro (market dependent), proximity, compass",2900,,,No,,,120.0,,,,,,,,"Silver Aluminium, Black Titanium",VFD 720,,0.96 W/kg (head) 1.56 W/kg (body),FM radio
Vodafone,Vodafone Smart N9 lite,https://www.gsmarena.com/vodafone_smart_n9_lite-9236.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n9-lite-.jpg,GSM / HSPA / LTE,No,"2018, June. Released 2018, June",Discontinued,148.2 x 68.9 x 9.4 mm (5.83 x 2.71 x 0.37 in),155.0,,,Nano-SIM,IPS LCD,,5.34,480x960,201,72.1,,Android 8.1 Oreo (Go edition),Mediatek MT6739WA (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,1,1,16,16,eMMC 5.1,8.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro (market dependent), proximity, compass",2460,,,No,,,100.0,,,,,,,,"White Pearl, Black Ice",VFD 620,,0.90 W/kg (head) 1.69 W/kg (body),FM radio
Vodafone,Vodafone Smart Tab N8,https://www.gsmarena.com/vodafone_smart_tab_n8-8751.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-tab-n8.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, June",Discontinued,260 x 155 x 9 mm (10.24 x 6.10 x 0.35 in),465.0,,,Micro-SIM,IPS LCD,,10.1,800x1280,149,73.4,,Android 7.0 (Nougat),Mediatek MT8735B,,Quad-core 1.1 GHz Cortex-A7,Mali-T720MP2,2,2,16,16,,5.0,1,,No,,No,,Yes,2.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,Accelerometer,4600,,,No,,,180.0,,,,,,,,Volcano Black,VFD 1300,,,No
Vodafone,Vodafone Smart E8,https://www.gsmarena.com/vodafone_smart_e8-8750.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-e8.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, July",Discontinued,145.6 x 72.1 x 9.2 mm (5.73 x 2.84 x 0.36 in),169.0,,,Nano-SIM,IPS LCD,,5.0,480x854,196,65.6,,Android 7.1 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),28,Quad-core 1.1 GHz Cortex-A7,Adreno 304,1,1,8,8,eMMC 4.5,5.0,1,,No,,No,LED flash,Yes,2.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2200,,,No,,,80.0,,,,,,,,Slate Blue,"VFD 510, VFD 513",,,No
Vodafone,Vodafone Smart V8,https://www.gsmarena.com/vodafone_smart_v8-8744.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-v8.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, June",Discontinued,155 x 76 x 7.9 mm (6.10 x 2.99 x 0.31 in),166.0,,,Nano-SIM,IPS LCD,,5.5,1080x1920,401,70.8,Asahi Dragontrail Glass,Android 7.1.1 (Nougat),Qualcomm MSM8940 Snapdragon 435 (28 nm),28,Octa-core 1.4 GHz Cortex-A53,Adreno 505,3,3,32,32,eMMC 5.1,16.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",3000,10,,No,,,230.0,,,,,,,,Black,VFD 710,,,FM radio
Vodafone,Vodafone Smart N8,https://www.gsmarena.com/vodafone_smart_n8-8723.php,https://fdn2.gsmarena.com/vv/bigpic/vodafone-smart-n8.jpg,GSM / HSPA / LTE,No,"2017, June. Released 2017, June",Discontinued,144.5 x 71.9 x 8.6 mm (5.69 x 2.83 x 0.34 in),151.0,,,Nano-SIM,IPS LCD,,5.0,720x1280,294,66.3,,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,5,5,5,16,eMMC 5.0,13.0,1,,No,,No,"LED flash, HDR",720p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",2400,,,No,,,100.0,,,,,,,,"Graphite, Gold",VFD 610,,,FM radio
