Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Sharp,Sharp Aquos sense10,https://www.gsmarena.com/sharp_aquos_sense10_5g-14289.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense10.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, October 31","Available. Released 2025, November",149 x 73 x 8.9 mm (5.87 x 2.87 x 0.35 in),166.0,Glass,IP68,Nano-SIM + eSIM,"LTPO IGZO OLED, 1B colors, 240Hz, 1500 nits (HBM), 2000 nits (peak)",240,6.1,1080x2340,422,84.0,,"Android 16, up to 3 major Android upgrades",Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),4,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,6,8,128,256,UFS 2.2,50.0,2,1.9,Yes,1/1.55,No,"LED flash, HDR, panorama","Yes, gyro-EIS",32.0,No,,"Yes, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",Yes,5.2,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,36,,No,,,350.0,,,,,,,,"Denim Navy, Khaki Green, Pale Pink, Pale Mint, Full Black, Light Silver",,,,No
Sharp,Sharp Aquos wish5,https://www.gsmarena.com/sharp_aquos_wish5_5g-13995.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish-5.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 29","Available. Released 2025, June 26",166 x 76 x 8.8 mm (6.54 x 2.99 x 0.35 in),187.0,Glass,IP68,Nano-SIM + eSIM,"IPS LCD, 120Hz",120,6.6,720x1612,267,82.9,,"Android 15, up to 2 major Android upgrades",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,64,256,UFS 2.1,50.0,2,1.8,No,,No,"LED flash, HDR, panorama","Yes, gyro-EIS",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.3,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,27,,No,,,200.0,,,,,,,,"Black, Blue, White, Green, Pink","SH-AC05, SH-M32",,,Unspecified
Sharp,Sharp Aquos R10,https://www.gsmarena.com/sharp_aquos_r10_5g-13934.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r10.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 29","Available. Released 2025, July",156 x 75 x 8.9 mm (6.14 x 2.95 x 0.35 in),197.0,Glass,IP68,Nano-SIM + eSIM,"PRO IGZO LTPO OLED, 240Hz, Dolby Vision, HDR, 1500 nits (HBM), 3000 nits (peak)",240,6.5,1080x2340,396,88.6,Gorilla Glass 5,"Android 15, up to 3 major Android upgrades",Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm),4,Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),Adreno 732,12,12,256,512,UFS 4.0,50.3,2,1.9,Yes,1/1.55,Yes,"Color spectrum sensor, Leica lens, LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",50.3,No,,"1080p@30/60fps, gyro-EIS",Wi-Fi 802.11 a/b/g/n/ac/6/7,Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,36,,No,,,,,,,,,,,"Cashmere White, Charcoal Black, Trench Beige","SH-51F, SH-M31",,,No
Sharp,Sharp Aquos sense9,https://www.gsmarena.com/sharp_aquos_sense9-13622.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense9.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, October 29","Available. Released 2024, November 07",149 x 73 x 8.9 mm (5.87 x 2.87 x 0.35 in),166.0,Glass,IP68,Nano-SIM + eSIM,"LTPO IGZO OLED, 1B colors, 240Hz, 1500 nits (HBM), 2000 nits (peak)",240,6.1,1080x2340,422,84.0,,"Android 14, up to 3 major Android upgrades",Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm),4,Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55),Adreno 710,6,8,128,256,,50.0,2,1.9,Yes,1/1.55,No,"LED flash, HDR, panorama","Yes, gyro-EIS",32.0,No,,"Yes, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.1,Type-C,No,GPS,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,36,,No,,,350.0,,,,,,,,"Black, White, Green, Coral, Greige, Blue","SH-M29SG, SH-53E, SH-M29",,,No
Sharp,Sharp Aquos R9 pro,https://www.gsmarena.com/sharp_aquos_r9_pro-13479.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, October 29","Available. Released 2025, February",162 x 78 x 9.3 mm (6.38 x 3.07 x 0.37 in),220.0,,IP66,Nano-SIM + eSIM,"PRO IGZO LTPO OLED, 1B colors, 240Hz, Dolby Vision, HDR, 1000 nits (HBM), 2000 nits (peak)",240,6.7,1440x3120,513,87.2,Gorilla Glass Victus,"Android 14, up to 3 major Android upgrades",Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),4,Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,12,12,512,512,UFS 4.0,50.3,3,1.8,Yes,1/0.98,Yes,"Leica lens, color spectrum sensor, LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS, Dolby Vision HDR",50.3,No,,"1080p@30/60fps, gyro-EIS",Wi-Fi 802.11 a/b/g/n/ac/6e/7,Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",5000,32,15,No,,,1000.0,,,,,,,,Black,"SH-54E, SH-M30",,,No
Sharp,Sharp Aquos R9,https://www.gsmarena.com/sharp_aquos_r9-13483.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r9.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, July 18","Available. Released 2024, September",156 x 75 x 8.9 mm (6.14 x 2.95 x 0.35 in),195.0,Glass,IP68,Nano-SIM + eSIM,"PRO IGZO LTPO OLED, 240Hz, Dolby Vision, HDR, 1500 nits (HBM), 2000 nits (peak)",240,6.5,1080x2340,396,88.6,Gorilla Glass 5,"Android 14, up to 3 major Android upgrades",Qualcomm SM7675-AB Snapdragon 7+ Gen 3 (4 nm),4,Octa-core (1x2.8 GHz Cortex-X4 & 4x2.6 GHz Cortex-A720 & 3x1.9 GHz Cortex-A520),Adreno 732,12,12,256,256,UFS 4.0,50.3,2,1.9,Yes,1/1.55,Yes,"Leica lens, LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",50.3,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac/6/7,Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,,,No,,,550.0,,,,,,,,"Snow White, Forest Green",SH-M28SG,,,No
Sharp,Sharp Aquos wish4,https://www.gsmarena.com/sharp_aquos_wish4-13484.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-wish4.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, July 29","Available. Released 2024, September",167 x 76 x 8.8 mm (6.57 x 2.99 x 0.35 in),190.0,Glass,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.6,720x1612,267,82.5,,"Android 14, up to 2 major Android upgrades",Mediatek Dimensity 700 (7 nm),7,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,6,128,128,,50.0,1,,No,,No,"LED flash, HDR, panorama","Yes, gyro-EIS",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.3,Type-C,No,GPS,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,,,No,,,150.0,,,,,,,,"Black, Blue, White",SH-M27SG,,,Unspecified
Sharp,Sharp Aquos sense8,https://www.gsmarena.com/sharp_aquos_sense8-12904.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-sense8.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, January 17","Available. Released 2024, January",153 x 71 x 8.4 mm (6.02 x 2.80 x 0.33 in),159.0,Glass,,Nano-SIM + eSIM,"IGZO OLED, 1B colors, 90Hz, 1300 nits (peak)",90,6.1,1080x2340,422,84.1,,"Android 13, upgradable to Android 15",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),4,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,8,8,256,256,UFS 2.2,50.0,2,1.9,Yes,1/1.55,No,"LED flash, HDR, panorama",Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.1,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,18,,No,,,310.0,,,,,,,,"Black, Green, Copper","SH-M26ID, SH-M26",,,No
Sharp,Sharp Aquos R8s,https://www.gsmarena.com/sharp_aquos_r8s-12903.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, December 06","Available. Released 2023, December",159 x 74 x 8.7 mm (6.26 x 2.91 x 0.34 in),179.0,Glass,IP68,Nano-SIM + eSIM,"PRO IGZO LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 1300 nits (peak)",120,6.4,1080x2340,403,85.5,Gorilla Glass 3,Android 13,Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,8,8,256,256,UFS 4.0,50.0,2,1.9,No,1/1.55,No,"LED flash, HDR, panorama",Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.3,Type-C,Yes,"GPS (L1+L5), GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",4750,15,,No,,,700.0,,,,,,,,"Blue, White",SH‑52D,,,No
Sharp,Sharp Aquos R8s pro,https://www.gsmarena.com/sharp_aquos_r8s_pro-12902.php,https://fdn2.gsmarena.com/vv/bigpic/sharp-aquos-r8s-pro-.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, December 06","Available. Released 2023, December",161 x 77 x 9.3 mm (6.34 x 3.03 x 0.37 in),203.0,Glass,IP68,Nano-SIM + eSIM,"PRO IGZO LTPO OLED, 1B colors, 120Hz, Dolby Vision, HDR, 2000 nits (peak)",120,6.6,1260x2730,456,86.3,Gorilla Glass Victus,"Android 13, upgradable to Android 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,12,12,256,256,UFS 4.0,47.2,2,1.9,No,,Yes,"Color spectrum sensor, LED flash, HDR, panorama","8K, 4K, 1080p; gyro-EIS",12.6,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",Yes,5.3,Type-C,Yes,"GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass, barometer",5000,27,,Yes,,,930.0,,,,,,,,Black,"SH-R80P, SH‑51D",,,No
