Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Umidigi,Umidigi G100 Pro,https://www.gsmarena.com/umidigi_g100_pro-14542.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100-pro.jpg,GSM / HSPA / LTE,No,2026,Available. Released 2026,171 x 77.6 x 8.1 mm (6.73 x 3.06 x 0.32 in),210.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.9,720x1640,260,85.2,,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,8,128,256,,50.0,3,,No,,No,Ring-LED flash,1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",6000,20,,No,,,,,,,,,,,"Sand Black, Sand Silver",,,,FM radio
Umidigi,Umidigi G100x,https://www.gsmarena.com/umidigi_g100x-14541.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100x.jpg,GSM / HSPA / LTE,No,2026,Available. Released 2026,171 x 78 x 8.1 mm (6.73 x 3.07 x 0.32 in),193.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.9,720x1640,260,84.8,,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,4,128,128,,32.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5200,20,,No,,,,,,,,,,,"Sand Black, Sand Silver, Sand Green",,,,FM radio
Umidigi,Umidigi A75x,https://www.gsmarena.com/umidigi_a75x-14543.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-a75x.jpg,GSM / HSPA / LTE,No,2026,Available. Released 2026,168.3 x 78 x 8.1 mm (6.63 x 3.07 x 0.32 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,83.8,,Android 16 (Go edition),Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,64,,13.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,10,,No,,,,,,,,,,,"Black, Titanium, Cyan, Green",,,,FM radio
Umidigi,Umidigi Note 100 4G,https://www.gsmarena.com/umidigi_note_100-14271.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100-4g.jpg,GSM / HSPA / LTE,No,"2025, October","Available. Released 2025, October",167.8 x 77.4 x 7.7 mm (6.61 x 3.05 x 0.30 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.8,720x1600,258,86.0,,Android 14,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,8,128,256,,50.0,3,,No,,No,LED flash,1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,20,,No,,,,,,,,,,,"Rock Black, Interstellar Blue, Starry White",,,,FM radio
Umidigi,Umidigi G9x,https://www.gsmarena.com/umidigi_g9x-13963.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9x.jpg,GSM / HSPA / LTE,No,"2025, June","Available. Released 2025, June",168.3 x 78 x 8.1 mm (6.63 x 3.07 x 0.32 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,83.8,,Android 14 (Go edition),Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,128,,13.0,2,,No,,No,LED flash,Yes,5.0,No,,Yes,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,100.0,,,,,,,,"Sand Black, Sand Silver, Sand Green",,,,FM radio
Umidigi,Umidigi Note 100,https://www.gsmarena.com/umidigi_note_100_5g-13725.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, February 13","Available. Released 2025, February",167.8 x 77.4 x 7.7 mm (6.61 x 3.05 x 0.30 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.8,720x1600,258,86.0,,Android 14,Unisoc T765 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,6,8,128,256,,50.0,3,,No,,No,LED flash,1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,20,,No,,,120.0,,,,,,,,"Rock Black, Interstellar Blue, Lake Green, Starry White",,,,Wireless FM radio
Umidigi,Umidigi Note 100A,https://www.gsmarena.com/umidigi_note_100a-13726.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-note-100a.jpg,GSM / HSPA / LTE,No,"2025, February 13","Available. Released 2025, February",167.8 x 77.4 x 7.7 mm (6.61 x 3.05 x 0.30 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.8,720x1600,258,86.0,,Android 14,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,256,256,,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,20,,No,,,120.0,,,,,,,,"Rock Black, Interstellar Blue, Lake Green, Starry White",,,,FM radio
Umidigi,Umidigi G100,https://www.gsmarena.com/umidigi_g100-13728.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100.jpg,GSM / HSPA / LTE,No,"2022, December","Available. Released 2024, December 28",171 x 77.6 x 8.1 mm (6.73 x 3.06 x 0.32 in),205.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.9,720x1640,260,85.2,,Android 14,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,8,128,256,,50.0,3,,No,,No,LED flash,1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, compass",6000,20,,No,,,110.0,,,,,,,,"Rock Black, Interstellar Blue, Lake Green, Starry White",,,,FM radio
Umidigi,Umidigi G100A,https://www.gsmarena.com/umidigi_g100a-13727.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g100a.jpg,GSM / HSPA / LTE,No,"2022, December","Available. Released 2024, December 27",171 x 77.6 x 8.1 mm (6.73 x 3.06 x 0.32 in),205.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.9,720x1640,260,85.2,,Android 14,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,128,256,,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, compass",6000,20,,No,,,130.0,,,,,,,,"Rock Black, Interstellar Blue, Lake Green, Starry White",,,,FM radio
Umidigi,Umidigi G9A,https://www.gsmarena.com/umidigi_g9a-13323.php,https://fdn2.gsmarena.com/vv/bigpic/umidigi-g9a.jpg,GSM / HSPA / LTE,No,"2024, September","Available. Released 2024, September",167.2 x 77 x 7.9 mm (6.58 x 3.03 x 0.31 in),189.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.75,720x1600,260,85.4,,Android 14 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,64,,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Accelerometer, compass",5000,10,,No,,,,,,,,,,,"Space Black, Lake Green",,,,FM radio
