Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Xolo,XOLO Era 2X,https://www.gsmarena.com/xolo_era_2x-8520.php,https://fdn2.gsmarena.com/vv/bigpic/lava-xolo-2x.jpg,GSM / HSPA / LTE,No,"2017, January. Released 2017, January",Discontinued,144 x 72.3 x 9.5 mm (5.67 x 2.85 x 0.37 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,66.2,,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),28,Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,2,3,16,16,eMMC 5.0,8.0,1,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",2500,,,No,,,,,,,,,,,"Black/Gun Metal, Latte Gold",,,,FM radio
Xolo,XOLO Era 2,https://www.gsmarena.com/xolo_era_2-8395.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-2.jpg,GSM / HSPA / LTE,No,"2016, October. Released 2016, October",Discontinued,146.5 x 73 x 9.2 mm (5.77 x 2.87 x 0.36 in),,,,Dual SIM,TFT,,5.0,480x854,196,64.4,,Android 6.0 (Marshmallow),Spreadtrum SC9832A,,Quad-core 1.3 GHz,Mali-400MP3,1,1,8,8,,5.0,1,2.0,No,,No,"Panorama, LED flash",720p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,2350,,,No,,,,,,,,,,,"Black, Blue, Gold",era 2,,,FM radio
Xolo,XOLO Era 1X,https://www.gsmarena.com/xolo_era_1x-8339.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-1x.jpg,GSM / HSPA / LTE,No,"2016, September. Released 2016, September",Discontinued,145.5 x 72 x 8.6 mm (5.73 x 2.83 x 0.34 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,65.8,,Android 6.0 (Marshmallow),Spreadtrum SC9832A,,Quad-core 1.3 GHz,Mali-400MP3,1,1,8,8,,8.0,1,,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,dual-LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2500,,,No,,,,,,,,,,,"Black, Brown/Gold",,,,FM radio
Xolo,XOLO Era X,https://www.gsmarena.com/xolo_era_x-7959.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-x.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, February",Discontinued,145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,65.8,Corning Gorilla Glass,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Spreadtrum SC9830A,,Quad-core 1.5 GHz,,2,2,8,8,,8.0,1,,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2500,,,No,,,,,,,,,,,Black,,,,FM radio
Xolo,XOLO Era 4K,https://www.gsmarena.com/xolo_era_4k-7958.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4k.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, February",Discontinued,143 x 71.8 x 9.2 mm (5.63 x 2.83 x 0.36 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,67.1,Gorilla Glass 3,Android 5.1.1 (Lollipop),Mediatek MT6735P (28 nm),28,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,2,2,8,8,,8.0,1,2.0,No,,No,"Dual-LED flash, panorama, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",4000,,,No,,,,,,,,,,,"Blue, White",,,,FM radio
Xolo,XOLO Era 4G,https://www.gsmarena.com/xolo_era_4g-7929.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-era-4g-.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, February",Discontinued,145.5 x 72 x 8.5 mm (5.73 x 2.83 x 0.33 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,65.8,Corning Gorilla Glass,"Android 5.1.1 (Lollipop), upgradable to 6.0 (Marshmallow)",Spreadtrum SC9830A,,Quad-core 1.5 GHz,Mali-400MP2,1,1,8,8,,5.0,1,,No,,No,"LED flash, panorama, HDR",1080p@30fps,2.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2500,,,No,,,,,,,,,,,Black,,,0.26 W/kg (head) 0.23 W/kg (body),FM radio
Xolo,XOLO One HD,https://www.gsmarena.com/xolo_one_hd-7872.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg,GSM / HSPA,No,"2015, December. Released 2016, January",Discontinued,143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,66.4,,Android 5.1 (Lollipop),Mediatek MT6580M (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,8.0,1,2.2,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2300,,,No,,,,,,,,,,,"Space Gray, White",,,0.22 W/kg (head) 0.48 W/kg (body),FM radio
Xolo,XOLO Black 3GB,https://www.gsmarena.com/xolo_black_3gb-7871.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-3gb.jpg,GSM / HSPA / LTE,No,"2015, December. Released 2015, December",Discontinued,155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),,Glass,,Dual SIM,IPS LCD,,5.5,1080x1920,401,70.0,Gorilla Glass 3,"Android 5.0 (Lollipop) , HIVE Atlas UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),28,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,3,3,16,16,eMMC 4.5,13.0,2,2.0,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, gyro, proximity, compass",3200,,,No,,,,,,,,,,,Black,,,0.13 W/kg (head) 0.27 W/kg (body),FM radio
Xolo,XOLO Black 1X,https://www.gsmarena.com/xolo_black_1x-7729.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-1x.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, October",Discontinued,144.6 x 72 x 7.6 mm (5.69 x 2.83 x 0.30 in),,,,Hybrid Dual SIM,IPS LCD,,5.0,1080x1920,441,66.2,Asahi Dragontrail Glass,"Android 5.1 (Lollipop), upgradable to 6.0 (Marshmallow), HIVE Atlas UI",Mediatek MT6753 (28 nm),28,Octa-core 1.3 GHz Cortex-A53,Mali-T720MP3,3,3,32,32,,13.0,1,,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, gyro, proximity, compass",2400,,,No,,,140.0,,,,,,,,Black,,,0.09 W/kg (head) 0.14 W/kg (body),FM radio
Xolo,XOLO Black,https://www.gsmarena.com/xolo_black-7399.php,https://fdn2.gsmarena.com/vv/bigpic/xolo-black-2015.jpg,GSM / HSPA / LTE,No,"2015, July. Released 2015, July",Discontinued,155.5 x 76.6 x 7.3 mm (6.12 x 3.02 x 0.29 in),,Glass,,Nano-SIM + Micro-SIM,IPS LCD,,5.5,1080x1920,403,69.3,Gorilla Glass 3,"Android 5.0 (Lollipop), HIVE Atlas UI",Qualcomm MSM8939 Snapdragon 615 (28 nm),28,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,2,2,16,16,eMMC 4.5,13.0,2,,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, gyro, proximity, compass",3200,,,No,,,180.0,,,,,,,,Black,,,0.13 W/kg (head) 0.27 W/kg (body),FM radio
