Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Gigabyte,Gigabyte GSmart Essence 4,https://www.gsmarena.com/gigabyte_gsmart_essence_4-7703.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence4.jpg,GSM / HSPA,No,"2015, October. Released 2015, November",Discontinued,124 x 62 x 9.6 mm (4.88 x 2.44 x 0.38 in),105.0,,,"Dual SIM (Mini-SIM, dual stand-by)",TFT,,4.0,480x800,233,59.2,,Android 4.4 (KitKat),Mediatek MT6572 (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,4,4,,2.0,1,,No,,No,,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1300,,,No,,,60.0,,,,,,,,Black,,,,FM radio
Gigabyte,Gigabyte GSmart Classic Lite,https://www.gsmarena.com/gigabyte_gsmart_classic_lite-7702.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic-lite.jpg,GSM / HSPA,No,"2015, October. Released 2015, November",Discontinued,143 x 73 x 9.2 mm (5.63 x 2.87 x 0.36 in),145.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,5.0,480x854,196,66.0,,Android 4.4 (KitKat),Spreadtrum SC7731,,Quad-core 1.2 GHz,Mali-400,,,8,8,,5.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",2100,,,No,,,80.0,,,,,,,,Black,,,,FM radio
Gigabyte,Gigabyte GSmart Essence,https://www.gsmarena.com/gigabyte_gsmart_essence-7701.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-essence.jpg,GSM / HSPA,No,"2015, October. Released 2015, October",Discontinued,134 x 67 x 8.8 mm (5.28 x 2.64 x 0.35 in),125.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,4.5,480x854,218,62.2,,Android 4.4 (KitKat),Spreadtrum SC7731,,Quad-core 1.2 GHz,Mali-400,,,8,8,,5.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",1600,,,No,,,70.0,,,,,,,,"Black, White",,,,FM radio
Gigabyte,Gigabyte GSmart Classic,https://www.gsmarena.com/gigabyte_gsmart_classic-7700.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-classic.jpg,GSM / HSPA,No,"2015, October. Released 2015, October",Discontinued,145 x 73 x 8.6 mm (5.71 x 2.87 x 0.34 in),150.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,65.1,,Android 5.1 (Lollipop),Spreadtrum SC7731,,Quad-core 1.2 GHz,Mali-400,1,1,8,8,,8.0,1,,No,,No,LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,100.0,,,,,,,,"Black, Gray",,,,FM radio
Gigabyte,Gigabyte GSmart Guru GX,https://www.gsmarena.com/gigabyte_gsmart_guru_gx-6985.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-guru-gx.jpg,GSM / HSPA / LTE,No,"2015, January. Released 2015, April",Discontinued,139 x 69 x 7 mm (5.47 x 2.72 x 0.28 in),115.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.0,1080x1920,441,71.9,Gorilla Glass 3,Android 4.4 (KitKat),Qualcomm MSM8939 Snapdragon 615 (28 nm),28,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,2,2,32,32,eMMC 4.5,13.0,1,,No,,No,LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, gyro, proximity, compass",2300,,,No,,,,,,,,,,,Black,,,,FM radio
Gigabyte,Gigabyte GSmart Mika MX,https://www.gsmarena.com/gigabyte_gsmart_mika_mx-6988.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-mika-mx.jpg,GSM / HSPA / LTE,No,"2015, January. Released 2015, February",Discontinued,143 x 72 x 9.8 mm (5.63 x 2.83 x 0.39 in),165.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,540x960,220,66.9,,Android 4.4 (KitKat),Qualcomm MSM8916 Snapdragon 410 (28 nm),28,Quad-core 1.2 GHz Cortex-A53,Adreno 306,1,1,8,8,eMMC 4.5,5.0,1,,No,,No,,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, proximity",3000,,,No,,,,,,,,,,,Black,,,,FM radio
Gigabyte,Gigabyte GSmart Roma RX,https://www.gsmarena.com/gigabyte_gsmart_roma_rx-6989.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-roma-rx.jpg,GSM / HSPA,No,"2015, January. Released 2015, April",Discontinued,142 x 73 x 9.5 mm (5.59 x 2.87 x 0.37 in),155.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,5.0,480x854,196,66.5,,Android 4.4 (KitKat),Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,,,4,4,,5.0,1,,No,,No,,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Black,,,,FM radio
Gigabyte,Gigabyte GSmart Akta A4,https://www.gsmarena.com/gigabyte_gsmart_akta_a4-6832.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Akta-A4.jpg,GSM / HSPA,No,"2014, November. Released 2014, November",Discontinued,147 x 73 x 9.6 mm (5.79 x 2.87 x 0.38 in),158.0,,,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD,,5.0,540x960,220,64.2,,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),28,Octa-core 1.4 GHz Cortex-A7,Mali-450MP4,1,1,8,8,,13.0,1,,No,,No,LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",1800,,,No,,,,,,,,,,,Navy Blue,,,,FM radio
Gigabyte,Gigabyte GSmart Mika M3,https://www.gsmarena.com/gigabyte_gsmart_mika_m3-6797.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-Mika-M4.jpg,GSM / HSPA,No,"2014, October. Released 2014, November",Discontinued,144 x 70.5 x 8.3 mm (5.67 x 2.78 x 0.33 in),146.0,,,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD,,5.0,720x1280,294,67.9,,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,13.0,1,,No,,No,LED flash,Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1900,,,No,,,,,,,,,,,Navy Blue,,,,FM radio
Gigabyte,Gigabyte GSmart GX2,https://www.gsmarena.com/gigabyte_gsmart_gx2-6587.php,https://fdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-arty-gx2.jpg,GSM / HSPA,No,"2014, August. Released 2014, September",Discontinued,146.5 x 73.4 x 8.7 mm (5.77 x 2.89 x 0.34 in),135.0,,,Dual SIM (Micro-SIM),IPS LCD,,5.0,1080x1920,441,64.1,,Android 4.4.2 (KitKat),Qualcomm MSM8228 Snapdragon 400 (28 nm),28,Quad-core 1.6 GHz Cortex-A7,Adreno 305,2,2,8,8,eMMC 4.5,13.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",2200,,,No,,,,,,,,,,,Black,,,,FM radio
