Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Nec,NEC Terrain,https://www.gsmarena.com/nec_terrain-5553.php,https://fdn2.gsmarena.com/vv/bigpic/nec-terrain.jpg,GSM / HSPA / LTE,No,"2013, June. Released 2013, June",Discontinued,127.5 x 64.5 x 14.5 mm (5.02 x 2.54 x 0.57 in),171.8,,IP67,Yes,TFT,,3.1,640x480,258,36.2,Corning Gorilla Glass 2,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,,Dual-core 1.5 GHz Krait,Adreno 225,1,1,8,8,,5.0,1,,No,,No,LED flash,720p@30fps,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",1900,,,No,,,330.0,,,,,,,,Black,,,,FM radio
Nec,NEC 804N,https://www.gsmarena.com/nec_804n-1611.php,https://fdn2.gsmarena.com/vv/bigpic/nec-804N.gif,GSM / UMTS,No,"2006, April",Discontinued,93 x 48 x 23 mm (3.66 x 1.89 x 0.91 in),115.0,,,Mini-SIM,"TFT, 65K colors",,2.2,240x320,182,33.6,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,2.0,No,No,,720,,,No,,,,,,,,,,,"Plumeria White, Coral Pink, Lapis Blue",,,,No
Nec,NEC e1108,https://www.gsmarena.com/nec_e1108-1927.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,GSM,No,2006,Discontinued,103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in),84.0,,,Mini-SIM,"TFT, 65K colors",,1.8,128x160,114,22.5,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,"Fluorescent Green, Metallic Orange",,,,No
Nec,NEC N344i,https://www.gsmarena.com/nec_n344i-1610.php,https://fdn2.gsmarena.com/vv/bigpic/nec-N344i.gif,GSM,No,2005,Cancelled,109 x 47 x 11.9 mm (4.29 x 1.85 x 0.47 in),95.0,,,Mini-SIM,"TFT, 65K colors",,1.8,128x160,114,19.9,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,720,,,No,,,,,,,,,,,Black,,,,No
Nec,NEC e373,https://www.gsmarena.com/nec_e373-1603.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e373.gif,GSM / UMTS,No,"2006, May",Discontinued,"92 x 44 x 19.2 mm, 78 cc (3.62 x 1.73 x 0.76 in)",90.0,,,Mini-SIM,"TFT, 65K colors",,1.9,176x220,148,28.1,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,1000,,,No,,,,,,,,,,,Black,,,,No
Nec,NEC e636,https://www.gsmarena.com/nec_e636-1476.php,https://fdn2.gsmarena.com/vv/bigpic/nec-e636.gif,GSM / UMTS,No,"2006, February",Discontinued,"102 x 48 x 13.9 mm, 65 cc (4.02 x 1.89 x 0.55 in)",110.0,,,Mini-SIM,"TFT, 256K colors",,2.2,240x320,182,30.6,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,900,,,No,,,,,,,,,,,Black,,,,No
Nec,NEC N500i,https://www.gsmarena.com/nec_n500i-1475.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n500i.gif,GSM,No,"2006, February",Discontinued,"93 x 46 x 25 mm, 80 cc (3.66 x 1.81 x 0.98 in)",99.0,,,Mini-SIM,"TFT, 65K colors",,1.9,176x220,148,26.6,,,,,,,,,,,,1.3,1,,No,,No,LED flash,Yes,,No,,,No,,,Proprietary,No,No,,850,,,No,,,,,,,,,,,Black,,,,No
Nec,NEC N500iS,https://www.gsmarena.com/nec_n500is-1428.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n500is.gif,GSM,No,"2006, February",Discontinued,101 x 48 x 13.6 mm (3.98 x 1.89 x 0.54 in),95.0,,,Mini-SIM,"TFT, 65K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,820,,,No,,,,,,,,,,,Black,,,,No
Nec,NEC N908,https://www.gsmarena.com/nec_n908-1719.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n908.gif,GSM,No,"2006, July",Discontinued,83.4 x 53.2 x 12.8 mm (3.28 x 2.09 x 0.50 in),84.0,,,Mini-SIM,"TFT resistive touchscreen, 256K colors",,2.2,240x320,182,33.8,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,1.2,,No,No,,,,,No,,,,,,,,,,,"Silver , Black",,,,No
Nec,NEC N938,https://www.gsmarena.com/nec_n938-1374.php,https://fdn2.gsmarena.com/vv/bigpic/nec-n938.gif,GSM,No,"2005, Q2",Discontinued,87 x 56 x 14 mm (3.43 x 2.20 x 0.55 in),79.0,,,Mini-SIM,"TFT resistive touchscreen, 65K colors",,,176x220,,,,,,,,,,,,,,,1,,No,,No,LED flash,No,,No,,,No,,1.1,,No,No,,550,,,No,,,,,,,,,,,White,,,,No
