Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Pantech,Pantech Breeze IV,https://www.gsmarena.com/pantech_breeze_iv-6504.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-breeze-4.jpg,GSM / HSPA,No,"2013, November. Released 2013, November",Discontinued,106.4 x 53.1 x 17.5 mm (4.19 x 2.09 x 0.69 in),102.0,,,Yes,"TFT, 256K colors",,3.0,240x400,155,45.3,,,Qualcomm QSC6270,,,,,,,,,3.15,1,,No,,No,LED flash,Yes,,No,,,No,No,2.1,Micro-USB,No,No,,1030,,,No,,,160.0,,,,,,,,Black,,,,No
Pantech,Pantech Vega No 6,https://www.gsmarena.com/pantech_vega_no_6-5268.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-no-6.jpg,GSM / CDMA / HSPA / EVDO / LTE,No,"2013, January. Released 2013, February",Discontinued,158.6 x 83.2 x 9.9 mm (6.24 x 3.28 x 0.39 in),210.5,,,Micro-SIM,Natural IPS Pro LCD,,5.9,1080x1920,373,72.7,,"Android 4.1.2 (Jelly Bean), Flux UX UI",Qualcomm APQ8064 Snapdragon S4 Pro,,Quad-core 1.5 GHz Krait,Adreno 320,2,2,32,32,,13.0,1,,No,,No,"LED flash, HDR",1080p@30fps,2.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",3140,,,No,,,,,,,,,,,"Black, White",IM-A860L,,0.72 W/kg (head),No
Pantech,Pantech Discover,https://www.gsmarena.com/pantech_discover-5238.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-discover.jpg,GSM / HSPA / LTE,No,"2013, January. Released 2013, January",Discontinued,134.2 x 68.6 x 9.1 mm (5.28 x 2.70 x 0.36 in),135.0,,,Micro-SIM,TFT,,4.8,720x1280,306,69.0,,Android 4.0.4 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,,Dual-core 1.5 GHz Krait,Adreno 225,1,1,1,16,,12.6,1,,No,,No,"LED flash, HDR",1080p@30fps,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",2100,,,No,,,370.0,,,,,,,,Gray,,,,No
Pantech,Pantech Vega R3 IM-A850L,https://www.gsmarena.com/pantech_vega_r3_im_a850l-5021.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg,GSM / CDMA / HSPA / EVDO / LTE,No,"2012, October. Released 2012, October",Discontinued,144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in),168.5,,,Micro-SIM,Natural IPS Pro LCD,,5.3,720x1280,277,72.0,,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)",Qualcomm APQ8064 Snapdragon S4 Pro,,Quad-core 1.5 GHz Krait,Adreno 320,2,2,16,16,,13.0,1,,No,,No,LED flash,1080p@30fps,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2600,,,No,,,550.0,,,,,,,,"Black, White",IM-A850S,,,No
Pantech,Pantech Flex  P8010,https://www.gsmarena.com/pantech_flex__p8010-5008.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-flex.jpg,GSM / HSPA / LTE,No,"2012, September. Released 2012, September",Discontinued,129.8 x 67.1 x 7.9 mm (5.11 x 2.64 x 0.31 in),132.0,,,Micro-SIM,Super AMOLED Advanced,,4.3,540x960,256,58.5,,"Android 4.0.4 (Ice Cream Sandwich), upgradable to 4.1.2 (Jelly Bean)",Qualcomm MSM8960 Snapdragon S4 Plus,,Dual-core 1.5 GHz Krait,Adreno 225,1,1,8,8,,8.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",1830,,,No,,,230.0,,,,,,,,Gray,,0.66 W/kg (head) 1.02 W/kg (body),,No
Pantech,Pantech Renue,https://www.gsmarena.com/pantech_renue-4896.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-renue.jpg,GSM / HSPA,No,"2012, July. Released 2012, July",Discontinued,99 x 63 x 12 mm (3.90 x 2.48 x 0.47 in),128.0,,,Mini-SIM,"TFT, 256K colors",,3.2,240x320,125,50.8,,,Qualcomm QSC 6270,,,,,,,,,3.15,1,,No,,No,,320p,,No,,,No,,2.1,Micro-USB,Yes,"GPS, A-GPS","Accelerometer, proximity",1000,,,No,,,,,,,,,,,Black,,,,No
Pantech,Pantech Marauder,https://www.gsmarena.com/pantech_marauder-4895.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-marauder.jpg,CDMA / EVDO / LTE,No,"2012, July. Released 2012, August",Discontinued,129 x 65 x 12 mm (5.08 x 2.56 x 0.47 in),173.0,,,Mini-SIM,"TFT, 256K colors",,3.8,480x800,246,49.0,,Android 4.0 (Ice Cream Sandwich),,,Dual-core 1.2 GHz,,1,1,4,4,,5.0,1,,No,,No,,720p,,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",,4.0,Micro-USB,Yes,"GPS, A-GPS","Accelerometer, proximity, compass",1680,,,No,,,,,,,,,,,Black,,0.63 W/kg (head) 0.89 W/kg (body),,No
Pantech,Pantech Vega Racer 2 IM-A830L,https://www.gsmarena.com/pantech_vega_racer_2_im_a830l-4738.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-vega-racer-2.jpg,CDMA / HSPA / LTE,No,"2012, May. Released 2012, May",Discontinued,132.4 x 68.9 x 9.4 mm (5.21 x 2.71 x 0.37 in),134.1,,,Mini-SIM,Super IPS LCD,,4.8,720x1280,306,69.6,,Android 4.0 (Ice Cream Sandwich),Qualcomm MSM8960 Snapdragon S4 Plus,,Dual-core 1.5 GHz Krait,Adreno 225,1,1,16,16,,8.0,1,,No,,No,LED flash,1080p@30fps,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",,4.0,Micro-USB,Yes,"GPS, A-GPS","Accelerometer, gyro, proximity, compass",2020,,,No,,,340.0,,,,,,,,"Black, White",,,,No
Pantech,Pantech Vega LTE EX IM-A820L,https://www.gsmarena.com/pantech_vega_lte_ex_im_a820l-4428.php,https://fdn2.gsmarena.com/vv/bigpic/Pantech-Vega-LTE-EX.jpg,CDMA / HSPA / LTE,No,"2012, January. Released 2012, January",Discontinued,134.5 x 69.8 x 9.7 mm (5.30 x 2.75 x 0.38 in),136.2,,,Mini-SIM,Super IPS LCD,,4.5,800x1280,335,62.5,,Android 2.3 (Gingerbread),,,Dual-core 1.5 GHz,,1,1,16,16,,8.0,1,,No,,No,LED flash,1080p@30fps,,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot",Yes,3.0,Micro-USB,Yes,"GPS, A-GPS","Accelerometer, gyro, proximity, compass",1830,,,No,,,230.0,,,,,,,,"Black, White",,,0.64 W/kg (head),No
Pantech,Pantech Burst,https://www.gsmarena.com/pantech_burst-4429.php,https://fdn2.gsmarena.com/vv/bigpic/pantech-burst.jpg,GSM / HSPA / LTE,No,"2012, January. Released 2012, January",Discontinued,126.5 x 62.5 x 11.4 mm (4.98 x 2.46 x 0.45 in),122.5,,,Micro-SIM,"Super AMOLED, 256K colors",,4.0,480x800,233,57.6,,"Android 2.3.5 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Qualcomm MSM8660 Snapdragon S3,,Dual-core 1.5 GHz Scorpion,Adreno 220,1,1,16,16,,5.0,1,,No,,No,LED flash,720p@30fps,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",,3.0,Micro-USB,Yes,"GPS, A-GPS","Accelerometer, proximity, compass",1650,,,No,,,270.0,,,,,,,,"Titanium, Ruby Red",,,,No
