Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Itel,itel A100 Pro,https://www.gsmarena.com/itel_a100_pro-14678.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100-pro.jpg,GSM / HSPA / LTE,No,"2026, May 20","Available. Released 2026, May 20",8.5 mm thickness,,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.56,720x1612,269,,,"Android 15 (Go edition), itel OS 15",Unisoc T7100,,Octa-core 1.8 GHz,PowerVR GE8322,3,4,64,64,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,10,,No,,,80.0,,,,,,,,"Comet Orange, Natural Black, Cloud White",,,,Unspecified
Itel,itel Zeno 100,https://www.gsmarena.com/itel_zeno_100-14533.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a100c.jpg,GSM / HSPA / LTE,No,"2026, March 06","Available. Released 2026, March 06",8.5 mm thickness,,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 480 nits",90,6.6,720x1612,267,,,"Android 15 (Go edition), itel OS 15",Unisoc T7100,,Octa-core 1.8 GHz,PowerVR GE8322,3,4,64,64,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,10,,No,,,60.0,,,,,,,,"Pure Black, Titanium Gold, Silk Green",,,,Unspecified
Itel,itel A200+,https://www.gsmarena.com/itel_a200+-14477.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a200-plus.jpg,GSM / HSPA / LTE,No,"2026, February","Available. Released 2026, February",8.3 mm thickness,,,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1600,260,,,"Android 15 (Go edition), itel OS 15.1",Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,3,4,64,128,,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,Unspecified,6000,18,,No,,,,,,,,,,,"Comet Orange, Nightly Blue, Meteor Titanium, Aura White",,,,Unspecified
Itel,itel A200,https://www.gsmarena.com/itel_a200-14478.php,https://fdn2.gsmarena.com/vv/bigpic/itel-a200.jpg,GSM / HSPA / LTE,No,"2026, February","Available. Released 2026, February",8.3 mm thickness,,,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1600,260,,,"Android 15 (Go edition), itel OS 15.1",Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,3,4,64,128,,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,Unspecified,5000,15,,No,,,,,,,,,,,"Comet Orange, Nightly Blue, Meteor Titanium, Nebula Green",,,,Unspecified
Itel,itel City 200,https://www.gsmarena.com/itel_city_200-14479.php,https://fdn2.gsmarena.com/vv/bigpic/itel-city-200-.jpg,GSM / HSPA / LTE,No,"2026, February","Available. Released 2026, February",167.6 x 78.6 x 7.5 mm (6.60 x 3.09 x 0.30 in),,,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits (HBM)",120,6.78,720x1576,256,85.1,,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,6,128,256,,50.0,1,,No,,No,"LED flash, HDR, panorama",Yes,8.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5200,18,,No,,,,,,,,,,,"Bass Black, Echo Silver, Vibe Purple, Melody Pink",,,,Unspecified
Itel,itel Zeno 20 Max,https://www.gsmarena.com/itel_zeno_20_max-14374.php,https://fdn2.gsmarena.com/vv/bigpic/itel-zeno-20-max.jpg,GSM / HSPA / LTE,No,"2025, December 21","Available. Released 2025, December 21",-,,,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 480 nits (typ), 1500 nits (peak)",90,6.6,720x1612,267,,,"Android 14 (Go edition), itel OS 14",Unisoc T7100,,Octa-core 1.8 GHz,PowerVR GE8322,3,4,64,64,,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,15,,No,,,60.0,,,,,,,,"Starlit Black, Space Titanium, Aurora Blue",,0.82 W/kg (head) 0.46 W/kg (body),,Unspecified
Itel,itel VistaTab 10 mini,https://www.gsmarena.com/itel_vistatab_10_mini-14355.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-10-mini.jpg,No cellular connectivity,No,"2025, September 19","Available. Released 2025, September",9.6 mm thickness,,,,No,"IPS LCD, 400 nits",,8.0,800x1280,189,,,Android 14 (Go edition),Mediatek MT8768 (12 nm),12,Octa-core,,3,3,64,64,,5.0,1,,No,,No,LED flash,Yes,5.0,No,,Yes,Yes,No,,Type-C,Yes,No,,5100,10,,No,,,,,,,,,,,Gray,,,,Unspecified
Itel,itel VistaTab 30GT,https://www.gsmarena.com/itel_vistatab_30gt-14352.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30gt.jpg,GSM / HSPA / LTE,No,"2025, September 19","Available. Released 2025, September",7 mm thickness,,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,11.0,1200x1920,206,,,Android 15,Mediatek Helio G99 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,128,128,,8.0,1,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Yes,No,,Type-C,No,Unspecified,Accelerometer,7000,18,,No,,,120.0,,,,,,,,Gray,,,,Unspecified
Itel,itel VistaTab 30 Pro,https://www.gsmarena.com/itel_vistatab_30_pro-14350.php,https://fdn2.gsmarena.com/vv/bigpic/itel-vistatab-30-pro.jpg,GSM / HSPA / LTE,No,"2025, March 05","Available. Released 2025, March 05",7 mm thickness,689.3,,,Nano-SIM + Nano-SIM,"IPS LCD, 450 nits",,13.2,1200x1920,172,,,Android 14,Mediatek Helio G99 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,13.0,1,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,No,Unspecified,Accelerometer,10000,18,,No,,,220.0,,,,,,,,Gray,,,,Unspecified
Itel,itel TS Pro,https://www.gsmarena.com/itel_ts_pro-14223.php,https://fdn2.gsmarena.com/vv/bigpic/itel-ts-pro.jpg,GSM / HSPA / LTE,No,"2025, October","Available. Released 2025, October",165 x 76.7 x 9 mm (6.50 x 3.02 x 0.35 in),188.0,Glass,,Dual SIM,IPS LCD,,6.52,720x1600,269,81.1,,Android 14,Unisoc T603,,Octa-core,,4,4,64,64,,8.0,1,,No,,No,LED flash,Yes,5.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,4000,10,,No,,,50.0,,,,,,,,Black,V651L,,,Unspecified
