Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Karbonn,Karbonn Titanium Mach Two S360,https://www.gsmarena.com/karbonn_titanium_mach_two_s360-7236.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg,GSM / HSPA,No,"2015, March. Released 2015, March",Discontinued,138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),112.0,Glass,,Dual SIM,IPS LCD,,5.0,720x1280,294,70.8,Gorilla Glass 3,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",,,Octa-core 1.4 GHz Cortex-A7,,1,1,8,8,,8.0,1,,No,,No,"LED flash, HDR",Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1900,,,No,,,140.0,,,,,,,,Deep Blue,,,,FM radio
Karbonn,Karbonn Titanium Wind W4,https://www.gsmarena.com/karbonn_titanium_wind_w4-7209.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-w4.jpg,GSM / HSPA,No,"2014, September. Released 2014, September",Discontinued,125.1 x 64.3 x 11 mm (4.93 x 2.53 x 0.43 in),,,,Dual SIM,"TFT, 256K colors",,4.0,480x800,233,56.6,,Microsoft Windows Phone 8.1,,,Quad-core 1.2 GHz,,,,4,4,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,Yes,1950,,,No,,,,,,,,,,,"Black,White, Red",,,,FM radio
Karbonn,Karbonn Titanium S99,https://www.gsmarena.com/karbonn_titanium_s99-7210.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-s99.jpg,GSM / HSPA,No,"2014, June. Released 2014, June",Discontinued,133 x 66 x 9.7 mm (5.24 x 2.60 x 0.38 in),,,,Dual SIM,IPS LCD,,4.0,480x800,233,51.9,,Android 4.4 (KitKat),,,Quad-core 1.3 GHz,,,,4,4,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,Yes,1400,,,No,,,,,,,,,,,"Black,White",,,,FM radio
Karbonn,Karbonn Sparkle V,https://www.gsmarena.com/karbonn_sparkle_v-6687.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-sparkle-v.jpg,GSM / HSPA,No,"2014, September. Released 2014, September",Discontinued,132 x 67 x 9.2 mm (5.20 x 2.64 x 0.36 in),138.0,,,Dual SIM,IPS LCD,,4.5,480x854,218,63.1,,"Android 4.4.4 (KitKat), upgradable to 6.0 (Marshmallow), Android One",Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,4,4,,5.0,1,,No,,No,LED flash,720p,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1700,,,No,,,80.0,,,,,,,,Red,,,,FM radio
Karbonn,Karbonn Titanium S19,https://www.gsmarena.com/karbonn_titanium_s19-6597.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s19.jpg,GSM / HSPA,No,"2014, August. Released 2014, August",Discontinued,-,,,,Dual SIM,IPS LCD,,5.0,720x1280,294,,,Android 4.4.2 (KitKat),,,Quad-core 1.3 GHz,,1,1,8,8,,13.0,1,,No,,No,LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,110.0,,,,,,,,"Black, White",,,,FM radio
Karbonn,Karbonn Smart A12 Star,https://www.gsmarena.com/karbonn_smart_a12_star-6530.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-smart-a12-star.jpg,GSM / HSPA,No,"2014, July. Released 2014, July",Discontinued,124.2 x 64.2 x 10.1 mm (4.89 x 2.53 x 0.40 in),130.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,4.0,480x800,233,57.1,,Android 4.4.2 (KitKat),,,Dual-core 1.2 GHz,,,,4,4,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1400,,,No,,,50.0,,,,,,,,Black,,,0.79 W/kg (head),FM radio
Karbonn,Karbonn Titanium S1 Plus,https://www.gsmarena.com/karbonn_titanium_s1_plus-6372.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-s1-plus.jpg,GSM / HSPA,No,"2014, May. Released 2014, May",Discontinued,124 x 64 x 10.3 mm (4.88 x 2.52 x 0.41 in),129.0,,,Dual SIM,TFT,,4.0,480x800,233,57.4,,Android 4.3 (Jelly Bean),,,Quad-core 1.2 GHz,Adreno 302,1,1,4,4,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1500,,,No,,,80.0,,,,,,,,White,,,,FM radio
Karbonn,Karbonn Titanium Hexa,https://www.gsmarena.com/karbonn_titanium_hexa-6218.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-hexa.jpg,GSM / HSPA,No,"2014, March. Released 2014, April",Discontinued,154 x 76.8 x 6.9 mm (6.06 x 3.02 x 0.27 in),,,,Dual SIM,IPS LCD,,5.5,1080x1920,401,70.5,,Android 4.4.2 (KitKat),Mediatek MT6591,,Hexa-core 1.5 GHz Cortex-A7,Mali-450MP4,2,2,16,16,,13.0,1,,No,,No,"LED flash, panorama",Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2050,,,No,,,200.0,,,,,,,,"Black, White",,,,No
Karbonn,Karbonn Titanium Octane Plus,https://www.gsmarena.com/karbonn_titanium_octane_plus-6219.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,No,"2014, March. Released 2014, April",Discontinued,147.3 x 72.6 x 7.6 mm (5.80 x 2.86 x 0.30 in),,,,Dual SIM,IPS LCD,,5.0,1080x1920,441,64.4,,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),28,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,2,2,16,16,,16.0,1,,No,,No,"LED flash, panorama",Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2000,,,No,,,220.0,,,,,,,,"Black, White",,,,No
Karbonn,Karbonn Titanium Octane,https://www.gsmarena.com/karbonn_titanium_octane-6220.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-octane-plus.jpg,GSM / HSPA,No,"2014, March. Released 2014, April",Discontinued,145.7 x 71.2 x 7.9 mm (5.74 x 2.80 x 0.31 in),,,,Dual SIM,IPS LCD,,5.0,720x1280,294,66.4,,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),28,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,1,1,16,16,,13.0,1,,No,,No,"LED flash, panorama",Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2000,,,No,,,170.0,,,,,,,,"Black, White",,,,FM radio
Karbonn,Karbonn Titanium X,https://www.gsmarena.com/karbonn_titanium_x-5999.php,https://fdn2.gsmarena.com/vv/bigpic/karbonn-titanium-x.jpg,GSM / HSPA,No,"2014, January. Released 2014, January",Discontinued,143.9 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),143.0,,,Micro-SIM,IPS LCD,,5.0,1080x1920,441,67.9,,Android 4.2.2 (Jelly Bean),Mediatek MT6589T (28 nm),28,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,1,1,16,16,,13.0,1,,No,,No,"Dual-LED flash, HDR, panorama",Yes,5.0,No,,,Wi-Fi 802.11 b/g/n,Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2300,,,No,,,200.0,,,,,,,,Black,,,,FM radio
