Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Amoi,Amoi E860,https://www.gsmarena.com/amoi_e860-2038.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif,GSM,No,2007,Discontinued,112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in),,,,Mini-SIM,"TFT resistive touchscreen, 256K colors (65K effective)",,2.8,240x320,143,35.8,,Microsoft Windows Mobile 5.0 Phone Edition,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,"GPS, SiRF Star III chipset",,1150,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi E78,https://www.gsmarena.com/amoi_e78-2037.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif,GSM,No,2007,Discontinued,115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in),,,,Mini-SIM,"TFT resistive touchscreen, 65K colors",,2.46,240x320,163,26.7,,Microsoft Windows Mobile 5.0 PocketPC,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,1100,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi E76,https://www.gsmarena.com/amoi_e76-2036.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif,GSM,No,2007,Discontinued,100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in),,,,Mini-SIM,"TFT, 65K colors",,2.2,240x320,182,29.4,,Microsoft Windows Mobile 5.0 Phone Edition,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,1100,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi E72,https://www.gsmarena.com/amoi_e72-2032.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif,GSM,No,2007,Discontinued,100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in),,,,Mini-SIM,"TFT, 65K colors",,2.0,176x220,141,28.1,,Microsoft Windows Mobile 5.0 Phone Edition,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,1100,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi WMA8701A,https://www.gsmarena.com/amoi_wma8701a-2031.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif,GSM / UMTS,No,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,,,Mini-SIM,"TFT, 256K colors",,2.2,320x240,182,28.5,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,820,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi WMA8703,https://www.gsmarena.com/amoi_wma8703-2029.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif,GSM / UMTS,No,2007,Discontinued,109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in),,,,Mini-SIM,"TFT, 256K colors",,2.2,320x240,182,28.5,,,,,,,,,,,,3.15,1,,No,,No,,Yes,,No,,,No,,1.2,No,No,No,,920,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi WMA8508,https://www.gsmarena.com/amoi_wma8508-2028.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif,GSM / UMTS,No,"2007, August",Cancelled,95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in),,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,27.6,,,,,,,,,,,,1.3,1,,No,,No,rotating lens,No,,No,,,No,,1.2,No,No,No,,780,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi CMA8170,https://www.gsmarena.com/amoi_cma8170-2027.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif,GSM,No,2007,Discontinued,92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in),,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,27.5,,,,,,,,,,,,1.3,1,,No,,No,,No,,No,,,No,,1.1,No,No,No,,860,,,No,,,,,,,,,,,Black,,,,No
Amoi,Amoi M33,https://www.gsmarena.com/amoi_m33-2026.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif,GSM,No,"2007, Q3",Cancelled,106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in),,,,Mini-SIM,"CSTN, 65K colors",,1.8,128x160,114,21.4,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,No,No,No,,700,,,No,,,,,,,,,,,Silver,,,,FM radio
Amoi,Amoi A203,https://www.gsmarena.com/amoi_a203-2022.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif,GSM,No,2007,Discontinued,101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in),,,,Mini-SIM,"CSTN, 65K colors",,1.5,128x128,121,15.6,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,No,No,No,,750,,,No,,,,,,,,,,,Black,,,,FM radio
Amoi,Amoi A200,https://www.gsmarena.com/amoi_a200-2021.php,https://fdn2.gsmarena.com/vv/bigpic/amoi-a200.gif,GSM,No,2007,Discontinued,82 x 41 x 15 mm (3.23 x 1.61 x 0.59 in),,,,Mini-SIM,"CSTN, 65K colors",,1.5,128x128,121,21.6,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,No,No,No,,750,,,No,,,,,,,,,,,"Black & Silver, Pink & White",,,,No
