Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Prestigio,Prestigio MultiPhone 5508 Duo,https://www.gsmarena.com/prestigio_multiphone_5508_duo-6876.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5508-duo.jpg,GSM / HSPA,No,2014. Released 2014,Discontinued,142.5 x 70.8 x 8.3 mm (5.61 x 2.79 x 0.33 in),129.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,68.3,Asahi Dragontrail Glass,Android 4.4.2 (KitKat),Mediatek MT6592 (28 nm),28,Octa-core 1.7 GHz Cortex-A7,Mali-450MP4,1,1,16,16,,13.0,1,,No,,No,Dual-LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2300,,,No,,,,,,,,,,,Black/metal,,,,FM radio
Prestigio,Prestigio MultiPhone 5504 Duo,https://www.gsmarena.com/prestigio_multiphone_5504_duo-6875.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5504-duo.jpg,GSM / HSPA,No,2014. Released 2014,Discontinued,147.1 x 72.5 x 8.5 mm (5.79 x 2.85 x 0.33 in),160.0,,,"Dual SIM (Mini-SIM, dual stand-by)",IPS LCD,,5.0,540x960,220,64.6,,Android 4.4.2 (KitKat),Mediatek MT6582M (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,8.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1950,,,No,,,,,,,,,,,"Black, metal, white",,,,FM radio
Prestigio,Prestigio MultiPhone 5503 Duo,https://www.gsmarena.com/prestigio_multiphone_5503_duo-6874.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-5503-duo.jpg,GSM / HSPA,No,2014. Released 2014,Discontinued,144 x 73.3 x 10.9 mm (5.67 x 2.89 x 0.43 in),170.0,,,"Dual SIM (Mini-SIM, dual stand-by)",IPS LCD,,5.0,540x960,220,65.3,,Android 4.2 (Jelly Bean),Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,4,4,,8.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,Accelerometer,4000,,,No,,,,,,,,,,,Black,,,,FM radio
Prestigio,Prestigio MultiPhone 8500 Duo,https://www.gsmarena.com/prestigio_multiphone_8500_duo-6526.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8500-duo.jpg,GSM / HSPA,No,"2014, July. Released 2014, August",Discontinued,8.5 mm thickness,,,,Dual SIM,IPS LCD,,5.0,720x1280,294,,Corning Gorilla Glass,Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Adreno 302,1,1,8,8,eMMC 4.5,8.0,1,,No,,No,"LED flash, panorama",Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,170.0,,,,,,,,"Black, White",,,,FM radio
Prestigio,Prestigio MultiPhone 8400 Duo,https://www.gsmarena.com/prestigio_multiphone_8400_duo-6527.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-8400-duo.jpg,GSM / HSPA,No,"2014, July. Released 2014, August",Discontinued,11 mm thickness,,,,Dual SIM,IPS LCD,,4.0,480x800,233,,,Microsoft Windows Phone 8.1,Qualcomm MSM8212 Snapdragon 200 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Adreno 302,,,4,4,eMMC 4.5,8.0,1,,No,,No,"LED flash, panorama",Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,90.0,,,,,,,,"Black, White",,,,No
Prestigio,Prestigio MultiPad 4 Quantum 10.1 3G,https://www.gsmarena.com/prestigio_multipad_4_quantum_10_1_3g-6208.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,GSM / HSPA,No,"2014, Q1. Released 2014, Q1",Discontinued,260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in),612.0,,,Micro-SIM,IPS LCD,,10.1,800x1280,149,66.9,,Android 4.2 (Jelly Bean),Rockchip RK3188,,Quad-core 1.6 GHz Cortex-A9,Mali-400MP4,1,1,16,16,,2.0,1,,No,,No,,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,No,Accelerometer,7000,,,No,,,220.0,,,,,,,,Black/Deep Blue,,,,FM radio
Prestigio,Prestigio MultiPad 4 Quantum 9.7 Colombia,https://www.gsmarena.com/prestigio_multipad_4_quantum_9_7_colombia-6207.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-97.jpg,No cellular connectivity,No,"2014, Q1. Released 2014, Q1",Discontinued,241.5 x 185 x 9.2 mm (9.51 x 7.28 x 0.36 in),621.0,,,No,IPS LCD,,9.7,1536x2048,264,65.2,,Android 4.2 (Jelly Bean),Rockchip RK3188,,Quad-core 1.6 GHz Cortex-A9,Mali-400MP4,2,2,16,16,,5.0,1,,No,,No,,Yes,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,No,Accelerometer,8000,,,No,,,200.0,,,,,,,,Black/Deep Blue,,,,No
Prestigio,Prestigio MultiPad 4 Ultra Quad 8.0 3G,https://www.gsmarena.com/prestigio_multipad_4_ultra_quad_8_0_3g-6206.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quad-80-3g.jpg,GSM / HSPA,No,"2014, Q1. Released 2014, Q1",Discontinued,204.3 x 157.2 x 9.8 mm (8.04 x 6.19 x 0.39 in),450.0,,,Micro-SIM,IPS LCD,,8.0,768x1024,160,61.7,,Android 4.2 (Jelly Bean),Mediatek MT8389,,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,1,1,16,16,,5.0,1,,No,,No,,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,4600,,,No,,,190.0,,,,,,,,"Black, White",,,,FM radio
Prestigio,Prestigio MultiPhone 7600 Duo,https://www.gsmarena.com/prestigio_multiphone_7600_duo-6205.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7600-duo.jpg,GSM / HSPA,No,"2014, Q1. Released 2014, Q1",Discontinued,166.5 x 84.4 x 8.4 mm (6.56 x 3.32 x 0.33 in),191.0,,,Dual SIM,IPS LCD,,6.0,720x1280,245,70.6,,Android 4.2 (Jelly Bean),,,Quad-core 1.5 GHz,,1,1,4,4,,13.0,1,,No,,No,LED flash,Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2600,,,No,,,270.0,,,,,,,,Black,,,,FM radio
Prestigio,Prestigio MultiPhone 7500,https://www.gsmarena.com/prestigio_multiphone_7500-6204.php,https://fdn2.gsmarena.com/vv/bigpic/prestigio-multiphone-7500.jpg,GSM / HSPA,No,"2014, Q1. Released 2014, Q1",Discontinued,144 x 70.5 x 9.9 mm (5.67 x 2.78 x 0.39 in),146.0,,,Micro-SIM,IPS LCD,,5.0,1080x1920,441,67.9,,Android 4.2 (Jelly Bean),Mediatek MT6589T (28 nm),28,Quad-core 1.5 GHz Cortex-A7,PowerVR SGX544MP2,1,2,16,32,,13.0,1,,No,,No,LED flash,Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2300,,,No,,,280.0,,,,,,,,"Black, White",,,,FM radio
