Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Benq,BenQ F52,https://www.gsmarena.com/benq_f52-7043.php,https://fdn2.gsmarena.com/vv/bigpic/benq-f52.jpg,GSM / HSPA / LTE,No,"2015, May. Released 2015, May",Discontinued,147 x 74.5 x 9.3 mm (5.79 x 2.93 x 0.37 in),142.0,,,Micro-SIM,IPS LCD,,5.2,1080x1920,424,68.1,,Android 5.0 (Lollipop),Qualcomm MSM8939 Snapdragon 615 (28 nm),28,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Adreno 405,2.0,2.0,16.0,16.0,eMMC 4.5,13.0,1,,No,,No,"LED flash, HDR, panorama",Yes,8.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",2500,,,No,,,,,,,,,,,"Glam Pink, Chic Gray",,,,No
Benq,BenQ B502,https://www.gsmarena.com/benq_b502-7048.php,https://fdn2.gsmarena.com/vv/bigpic/benq-b502.jpg,GSM / HSPA,No,"2014, October. Released 2014, October",Discontinued,144 x 69.7 x 7 mm (5.67 x 2.74 x 0.28 in),125.0,,,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,68.7,,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,2.0,2.0,16.0,16.0,,13.0,1,,No,,No,LED flash,Yes,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1800,,,No,,,,,,,,,,,"Black, White",,,,FM radio
Benq,BenQ T3,https://www.gsmarena.com/benq_t3-6694.php,https://fdn2.gsmarena.com/vv/bigpic/benq-t3.jpg,GSM / HSPA / LTE,No,"2014, September. Released 2014, September",Discontinued,131.9 x 66.7 x 8.5 mm (5.19 x 2.63 x 0.33 in),128.0,,,Micro-SIM,IPS LCD,,4.5,540x960,245,63.5,,Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Adreno 305,1.0,1.0,4.0,4.0,eMMC 4.5,8.0,1,,No,,No,"LED flash, HDR, panorama",Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",1840,,,No,,,80.0,,,,,,,,"Black, White, Green",,,,FM radio
Benq,BenQ F5,https://www.gsmarena.com/benq_f5-6693.php,https://fdn2.gsmarena.com/vv/bigpic/benq-f5.jpg,GSM / HSPA / LTE,No,"2014, September. Released 2014, September",Discontinued,143 x 72.8 x 8.5 mm (5.63 x 2.87 x 0.33 in),135.0,,,Micro-SIM,IPS LCD,,5.0,720x1280,294,66.2,,Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Adreno 305,2.0,2.0,16.0,16.0,eMMC 4.5,13.0,1,,No,,No,"LED flash, HDR, panorama",Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2520,,,No,,,100.0,,,,,,,,"Black, White",,,,FM radio
Benq,BenQ F3,https://www.gsmarena.com/benq_f3-5878.php,https://fdn2.gsmarena.com/vv/bigpic/benq-f3.jpg,GSM / HSPA,No,"2013, November. Released 2013, November",Discontinued,131.6 x 66.9 x 8.9 mm (5.18 x 2.63 x 0.35 in),119.0,,,Micro-SIM,IPS LCD,,4.5,540x960,245,63.4,,Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,1.0,1.0,4.0,4.0,,13.0,1,,No,,No,"LED flash, HDR, panorama",Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",No,,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity, compass",2100,,,No,,,200.0,,,,,,,,"White, Red",,,,FM radio
Benq,BenQ A3,https://www.gsmarena.com/benq_a3-5847.php,https://fdn2.gsmarena.com/vv/bigpic/benq-a3.jpg,GSM / HSPA,No,"2013, November. Released 2013, November",Discontinued,133.9 x 66 x 10 mm (5.27 x 2.60 x 0.39 in),135.0,,,Mini-SIM,IPS LCD,,4.5,540x960,245,63.2,,Android 4.1.2 (Jelly Bean),Qualcomm MSM8225Q Snapdragon S4 Play,,Quad-core 1.2 GHz Cortex-A5,Adreno 203,1.0,1.0,4.0,4.0,,8.0,1,,No,,No,LED flash,Yes,2.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",No,,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",2000,,,No,,,150.0,,,,,,,,"Black, White",,,,Stereo FM radio
Benq,BenQ E55,https://www.gsmarena.com/benq_e55-2464.php,https://fdn2.gsmarena.com/vv/bigpic/benq-e55.jpg,GSM / UMTS,No,"2008, July. Released 2008, July",Discontinued,94 x 48 x 19 mm (3.70 x 1.89 x 0.75 in),95.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,27.9,,,,,,,,,,,,2.0,1,,No,,No,,Yes,,No,,,No,,1.2,1.2,No,No,,900,,,No,,,,,,,,,,,"Red, Brown",,,,No
Benq,BenQ C36,https://www.gsmarena.com/benq_c36-2361.php,https://fdn2.gsmarena.com/vv/bigpic/benq-c36.jpg,GSM,No,"2008, April. Released 2008",Discontinued,108 x 47.2 x 14.2 mm (4.25 x 1.86 x 0.56 in),78.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,24.7,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,1.1,No,No,,640,,,No,,,,,,,,,,,Lustrous Blue,,,,FM radio; scheduled recording
Benq,BenQ E53,https://www.gsmarena.com/benq_e53-2362.php,https://fdn2.gsmarena.com/vv/bigpic/benq-e53.jpg,GSM / UMTS,No,"2008, March. Released 2008",Discontinued,93 x 47 x 17 mm (3.66 x 1.85 x 0.67 in),90.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,28.8,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,2.0,1.2,No,No,,900,,,No,,,,,,,,,,,Black,,,,No
Benq,BenQ T60,https://www.gsmarena.com/benq_t60-2333.php,https://fdn2.gsmarena.com/vv/bigpic/benq-t60.jpg,GSM,No,"2008, March. Released 2008",Discontinued,109 x 46 x 8.9 mm (4.29 x 1.81 x 0.35 in),80.0,,,Mini-SIM,"TFT, 256K colors",,2.2,240x320,182,29.9,,,,,,,,,,,,3.15,1,,No,,No,,Yes,,No,,,No,,1.1,1.2,No,No,,750,,,No,,,,,,,,,,,Sleek black,,,,FM radio; scheduled recording
