Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Ericsson,Ericsson R600,https://www.gsmarena.com/ericsson_r600-283.php,https://fdn2.gsmarena.com/vv/bigpic/err600.gif,GSM,No,"2001, Q4",Discontinued,105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in),82.0,,,Mini-SIM,Grayscale graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"2 - Ice Blue, Luminous Champagne",,,0.89 W/kg (head),No
Ericsson,Ericsson T68,https://www.gsmarena.com/ericsson_t68-253.php,https://fdn2.gsmarena.com/vv/bigpic/ert68.gif,GSM,No,"2001, Q4",Discontinued,101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in),84.0,,,Mini-SIM,"CSTN, 256 colors",,,,,,,,,,,,,,,,100 sec voice memo 300 calendar events,,,,No,,No,,,,No,,,No,,1.0,,No,No,,,,,No,,,,,,,,,,,"2 - Zirocñan Gold, Lunar Grey",,,,No
Ericsson,Ericsson T66,https://www.gsmarena.com/ericsson_t66-282.php,https://fdn2.gsmarena.com/vv/bigpic/ert66.gif,GSM,No,"2001, Q4",Discontinued,92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in),59.0,,,Mini-SIM,Monochrome graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"2 - Purple Passion, Silver Supreme",,,,No
Ericsson,Ericsson T65,https://www.gsmarena.com/ericsson_t65-266.php,https://fdn2.gsmarena.com/vv/bigpic/ert65.gif,GSM,No,"2001, Q4",Discontinued,105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in),94.0,,,Mini-SIM,Grayscale graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"3 - Cosmic Blue, Stardust Yellow, Polar Blue",,,,No
Ericsson,Ericsson T39,https://www.gsmarena.com/ericsson_t39-252.php,https://fdn2.gsmarena.com/vv/bigpic/ert39.gif,GSM,No,2001,Discontinued,96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in),86.0,,,Mini-SIM,Grayscale graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,1.0,,No,No,,,,,No,,,,,,,,,,,"3 - Classic Blue, Icecap Blue, Rose White",,,,No
Ericsson,Ericsson A3618,https://www.gsmarena.com/ericsson_a3618-262.php,https://fdn2.gsmarena.com/vv/bigpic/era3618.gif,GSM,No,"2001, Q3",Discontinued,111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in),86.0,,,Mini-SIM,Monochrome graphic,,,,,,,,,,,,,,,,10 SMS templates,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"2 - Icy Silver, Graphite Silver",,,,No
Ericsson,Ericsson T29s,https://www.gsmarena.com/ericsson_t29s-225.php,https://fdn2.gsmarena.com/vv/bigpic/ert29.gif,GSM,No,"2001, February",Discontinued,101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in),95.0,,,Mini-SIM,Grayscale graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,2 - Amethyst Purple and Sapphire Blue,,,,No
Ericsson,Ericsson R520m,https://www.gsmarena.com/ericsson_r520m-199.php,https://fdn2.gsmarena.com/vv/bigpic/err520m.gif,GSM,No,Q2 2001 ?,Discontinued,130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in),105.0,,,Mini-SIM,Monochrome graphic,,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,1.0,,No,No,,,,,No,,,,,,,,,,,,,,,No
Ericsson,Ericsson T20e,https://www.gsmarena.com/ericsson_t20e-251.php,https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif,GSM,No,2001,Discontinued,101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in),128.0,,,Mini-SIM,Monochrome graphic,,,,,,,,,,,,,,,,SMS Templates,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony",,,,No
Ericsson,Ericsson A2628,https://www.gsmarena.com/ericsson_a2628-226.php,https://fdn2.gsmarena.com/vv/bigpic/era2628.gif,GSM,No,2001,Discontinued,131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in),140.0,,,Mini-SIM,Monochrome graphic,,,,,,,,,,,,,,,,SMS templates,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black",,,,No
