Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Hmd,HMD Vibe2,https://www.gsmarena.com/hmd_vibe_2_5g-14668.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe2-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 21","Available. Released 2026, May 26",168 x 77.7 x 8.6 mm (6.61 x 3.06 x 0.34 in),210.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1600,260,84.3,,Android 16,Unisoc T8200 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,4.0,6.0,64.0,128.0,,50.0,2,,No,,No,"LED flash, HDR",1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,No,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",6000,18,,No,,,80.0,,,,,,,,"Cosmic Lavender, Nordic Blue, Peach Pink",TA-1764,,,Unspecified
Hmd,HMD Luma,https://www.gsmarena.com/hmd_luma-14517.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-luma.jpg,GSM / HSPA / LTE,No,"2026, February 27","Available. Released 2026, March",165.7 x 76.5 x 8.7 mm (6.52 x 3.01 x 0.34 in),198.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits (peak)",120,6.67,720x1604,264,84.6,,Android 15,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4.0,4.0,128.0,256.0,,50.0,1,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,,,,,,,,,"Titanium, Blue",,,,FM radio
Hmd,HMD Terra M,https://www.gsmarena.com/hmd_terra_m-14480.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-terra-m.jpg,GSM / HSPA / LTE,No,"2026, February 10","Available. Released 2026, March",146.5 x 66 x 14.5 mm (5.77 x 2.60 x 0.57 in),210.0,,IP68,Nano-SIM + eSIM,"TFT LCD, 550 nits",,2.8,480x640,286,25.1,Gorilla Glass 3,Smart OS 14,Qualcomm Dragonwing QCM2290 (11 nm),11,Quad-core 2.0 GHz Cortex-A53,Adreno 702,2.0,2.0,32.0,32.0,eMMC 5.1,8.0,1,2.0,No,1/4.0,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Accelerometer, gyro, proximity, compass",2510,,,No,,,,,,,,,,,Black,,,,Unspecified
Hmd,HMD Watch X1,https://www.gsmarena.com/hmd_watch_x1-14447.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-watch-x1.jpg,No cellular connectivity,No,"2026, January 26","Available. Released 2026, January",46.5 x 46.5 x 11 mm (1.83 x 1.83 x 0.43 in),55.6,,IP68,No,AMOLED,,1.43,466x466,326,,,RTOS OS,,,,,,,,,,,,,No,,No,,,,No,,,No,No,,No,No,No,"Accelerometer, heart rate, SpO2",,,,No,,,,,,,,,,,"Gray, Silver",,,,No
Hmd,HMD Watch P1,https://www.gsmarena.com/hmd_watch_p1-14448.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-watch-p1.jpg,No cellular connectivity,No,"2026, January 26","Available. Released 2026, January",45.5 x 37.9 x 11.2 mm (1.79 x 1.49 x 0.44 in),40.0,,IP67,No,"IPS LCD, 550 nits",,1.83,240x284,203,,,RTOS OS,,,,,,,,,,,,,No,,No,,,,No,,,No,No,,No,No,No,"Accelerometer, heart rate, SpO2",,,,No,,,,,,,,,,,"Black, Silver",,,,No
Hmd,HMD 101,https://www.gsmarena.com/hmd_101-14349.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-101.jpg,GSM,No,"2025, December","Available. Released 2025, December",114.3 x 50 x 14.3 mm (4.5 x 1.97 x 0.56 in),73.0,,,Mini-SIM + Mini-SIM,TFT,,1.77,128x160,116,17.3,,,Unisoc 6533G,,,,,,,,,,,,No,,No,,,,No,,,No,No,,Micro-USB,Yes,No,,1000,,,No,,,10.0,,,,,,,,"Gray, Blue, Green",,,,Wireless FM radio
Hmd,HMD 100,https://www.gsmarena.com/hmd_100-14348.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-100.jpg,GSM,No,"2025, December","Available. Released 2025, December",114.3 x 50 x 14.3 mm (4.5 x 1.97 x 0.56 in),73.0,,,Mini-SIM,TFT,,1.77,128x160,116,17.3,,,Unisoc 6533G,,,,,,,,,,,,No,,No,,,,No,,,No,No,,Micro-USB,Yes,No,,800,,,No,,,10.0,,,,,,,,"Gray, Red, Green",,,,Wireless FM radio
Hmd,HMD Touch 4G,https://www.gsmarena.com/hmd_touch_4g-14208.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-touch.jpg,GSM / HSPA / LTE,No,"2025, October 07","Available. Released 2025, October 07",102.3 x 61.9 x 10.9 mm (4.03 x 2.44 x 0.43 in),100.0,,,Nano-SIM + Nano-SIM,TFT LCD,,3.2,240x320,125,50.1,,RTOS Touch,Unisoc T127,,,,0.125,0.125,0.062,0.062,,2.0,1,,No,,No,LED flash,Yes,0.3,No,,,Wi-Fi 802.11 b/g/n,No,5.0,Type-C,Yes,"GPS, BDS",,1950,,,No,,,,,3999,,,,,,"Dark Blue, Cyan",TA-1692,,,Wireless FM radio
Hmd,HMD Ivalo XE,https://www.gsmarena.com/hmd_ivalo_xe_5g-14207.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-ivalo-xe.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 09","Coming soon. Exp. release 2026, Q1",-,,Glass,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 1000 nits (HBM)",120,6.32,1080x2400,416,,Gorilla Glass Victus,Android,Qualcomm Dragonwing Q-6690 (4 nm),4,Octa-core (1x2.9 GHz Kryo Gold Prime & 3x2.7 GHz Kryo Gold & 4x2.0 GHz Kryo Silver),,12.0,12.0,256.0,256.0,,50.0,2,,No,,Yes,"Laser AF, LED flash, HDR, panorama","4K, 1080p, HDR, gyro-EIS",32.0,No,,1080p,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band",Yes,5.4,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",4500,,,No,,,,,,,,,,,Black,,,,Unspecified
Hmd,HMD Vibe,https://www.gsmarena.com/hmd_vibe_5g-14145.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-vibe-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 11","Available. Released 2025, September 11",165 x 75.8 x 8.7 mm (6.50 x 2.98 x 0.34 in),190.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.67,720x1604,264,85.7,,Android 15,Unisoc T760 (6 nm),6,Octa-core (1x2.2 GHz Cortex-A76 & 3x Cortex-A76 & 4x Cortex-A55),Mali-G57,4.0,4.0,128.0,128.0,,50.0,2,,No,,No,"LED flash, HDR",1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 a/b/g/n,No,5.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,90.0,,,,,,,,"Black, Purple",,,,Unspecified
Hmd,HMD 102 4G,https://www.gsmarena.com/hmd_102_4g-14147.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-102-4g.jpg,GSM / HSPA / LTE,No,"2025, September 11","Available. Released 2025, September 11",118.2 x 50.2 x 14.3 mm (4.65 x 1.98 x 0.56 in),84.2,,,Nano-SIM + Nano-SIM,TFT,,2.0,120x160,100,20.9,,,Unisoc 8910 FF-S,,,,,,,,,,1,,No,,No,LED flash,No,,No,,,No,No,4.2,Type-C,Yes,No,,1000,,,No,,,20.0,,,,,,,,"Dark Blue, Red, Purple",,,,Unspecified
Hmd,HMD 101 4G,https://www.gsmarena.com/hmd_101_4g-14146.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-101-4g.jpg,GSM / HSPA / LTE,No,"2025, September 11","Available. Released 2025, September 11",118.2 x 50.2 x 14.3 mm (4.65 x 1.98 x 0.56 in),83.5,,,Nano-SIM + Nano-SIM,TFT,,2.0,120x160,100,20.9,,,Unisoc 8910 FF-S,,,,,,,,,,,,No,,No,,,,No,,,No,No,4.2,Type-C,Yes,No,,1000,,,No,,,20.0,,,,,,,,"Dark Blue, Blue, Red",,,,Unspecified
Hmd,HMD 3210,https://www.gsmarena.com/hmd_3210-13714.php,https://fdn2.gsmarena.com/vv/bigpic/hmd-fcb-3210.jpg,GSM / HSPA / LTE,No,"2025, March 03","Available. Released 2025, April",122 x 52 x 13.1 mm (4.80 x 2.05 x 0.52 in),,Plastic,,Nano-SIM + Nano-SIM,TFT,,2.4,240x320,167,28.1,,,Unisoc T107 (22 nm),22,1.0 GHz Cortex-A7,,0.062,0.062,0.125,0.125,,2.0,1,,No,,No,LED flash,,,No,,,No,No,5.0,Type-C,Yes,No,,1450,,,No,,,,,,,,,,,"Blue, Red",,,,Wireless FM radio
