Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Toshiba,Toshiba Excite Go,https://www.gsmarena.com/toshiba_excite_go-6466.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-go.jpg,No cellular connectivity,No,"2014, May. Released 2014, July",Discontinued,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4,,,No,IPS LCD,,7.0,600x1024,170,57.8,,Android 4.4.2 (KitKat),Intel Atom Z3735G,,Quad-core 1.33 GHz,,1.0,1.0,8.0,8.0,,,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,,Accelerometer,3500,,,No,,,80.0,,,,,,,,"Black/Silver, Black/White",,,,No
Toshiba,Toshiba Excite 7c AT7-B8,https://www.gsmarena.com/toshiba_excite_7c_at7_b8-6467.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-7c-at7-b8.jpg,No cellular connectivity,No,"2014, February. Released 2014, February",Discontinued,199 x 119.8 x 10.9 mm (7.83 x 4.72 x 0.43 in),354.4,,,No,IPS LCD,,7.0,600x1024,170,57.8,,Android 4.2.2 (Jelly Bean),Rockchip RK3168,,Dual-core 1.5 GHz Cortex-A9,,1.0,1.0,8.0,8.0,,,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,No,Accelerometer,3500,,,No,,,70.0,,,,,,,,Black/Silver,,,,No
Toshiba,Toshiba Excite Pro,https://www.gsmarena.com/toshiba_excite_pro-5500.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pro-new.jpg,No cellular connectivity,No,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),630.5,,,No,LED-backlit IPS LCD,,10.1,2560x1600,299,63.6,,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Nvidia Tegra 4,,Quad-core Cortex-A15,ULP GeForce,2.0,2.0,32.0,32.0,,8.0,1,,No,,No,LED flash,Yes,1.2,No,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, compass",,,,No,,,210.0,,,,,,,,Silver,,,,No
Toshiba,Toshiba Excite Write,https://www.gsmarena.com/toshiba_excite_write-5501.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-write-new.jpg,No cellular connectivity,No,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),671.3,,,No,LED-backlit IPS LCD,,10.1,2560x1600,299,63.6,,Android 4.2.1 (Jelly Bean),Nvidia Tegra 4,,Quad-core Cortex-A15,ULP GeForce,2.0,2.0,32.0,32.0,,8.0,1,,No,,No,LED flash,Yes,1.2,No,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, compass",,,,No,,,440.0,,,,,,,,Silver,,,,No
Toshiba,Toshiba Excite Pure,https://www.gsmarena.com/toshiba_excite_pure-5502.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-pure-new.jpg,No cellular connectivity,No,"2013, June. Released 2013, July",Discontinued,261.6 x 177.8 x 10.2 mm (10.30 x 7.00 x 0.40 in),598.7,,,No,LED-backlit IPS LCD,,10.1,1280x800,149,63.6,,"Android 4.2.1 (Jelly Bean), upgradаble to 4.3 (Jelly Bean)",Nvidia Tegra 3,,Quad-core,,1.0,1.0,16.0,16.0,,1.2,1,,No,,No,,Yes,,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, compass",,,,No,,,230.0,,,,,,,,Silver,,,,No
Toshiba,Toshiba Excite 10 SE,https://www.gsmarena.com/toshiba_excite_10_se-5154.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-se.jpg,No cellular connectivity,No,"2012, December. Released 2012, December",Discontinued,261.6 x 180.3 x 10.2 mm (10.30 x 7.10 x 0.40 in),639.6,,,No,LED-backlit IPS LCD,,10.1,1280x800,149,62.7,,Android 4.1 (Jelly Bean),Nvidia Tegra 3,,Quad-core 1.5 GHz,ULP GeForce 2,1.0,1.0,16.0,16.0,,3.15,1,,No,,No,,Yes,1.2,No,,,Wi-Fi 802.11 b/g/n,No,3.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, compass",,,,No,,,250.0,,,,,,,,Black/Silver,,,,No
Toshiba,Toshiba Excite 13 AT335,https://www.gsmarena.com/toshiba_excite_13_at335-4691.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-13-AT335.jpg,GSM / HSPA,No,"2012, April. Released 2012, July",Discontinued,343.8 x 211.2 x 9.8 mm (13.54 x 8.31 x 0.39 in),998.0,,,Mini-SIM,LED-backlit IPS LCD,,13.3,1600x900,120,88.8,Corning Gorilla Glass,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,,Quad-core 1.5 GHz,ULP GeForce 2,1.0,1.0,32.0,64.0,,5.0,1,,No,,No,LED flash,1080p@30fps,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",,3.0,miniUSB 2.0,Yes,"GPS, A-GPS","Accelerometer, gyro, compass",,,,No,,,540.0,,,,,,,,Dark gray metallic,,,,No
Toshiba,Toshiba Excite 10 AT305,https://www.gsmarena.com/toshiba_excite_10_at305-4692.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-10-AT305.jpg,No cellular connectivity,No,"2012, April. Released 2012, May",Discontinued,262 x 178 x 9 mm (10.31 x 7.01 x 0.35 in),599.0,,,No,"LED-backlit LCD,",,10.1,1280x800,149,63.4,Corning Gorilla Glass,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,,Quad-core 1.5 GHz,ULP GeForce 2,1.0,1.0,16.0,64.0,,5.0,1,,No,,No,LED flash,720p,2.0,No,,,Wi-Fi 802.11 b/g/n,,3.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, compass",,,,No,,,290.0,,,,,,,,Black/Silver,,,,No
Toshiba,Toshiba Excite 7.7 AT275,https://www.gsmarena.com/toshiba_excite_7_7_at275-4693.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-77-AT275.jpg,GSM / HSPA,No,"2012, April. Released 2012, July",Discontinued,204.5 x 135.2 x 7.8 mm (8.05 x 5.32 x 0.31 in),332.0,,,Mini-SIM,AMOLED,,7.7,1280x800,196,62.2,Corning Gorilla Glass,Android 4.0 (Ice Cream Sandwich),Nvidia Tegra 3,,Quad-core 1.5 GHz,ULP GeForce 2,1.0,1.0,16.0,64.0,,5.0,1,,No,,No,LED flash,720p,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",,3.0,miniUSB 2.0,Yes,"GPS, A-GPS","Accelerometer, gyro, compass",,,,No,,,410.0,,,,,,,,Dark gray metallic,,,,No
Toshiba,Toshiba Excite AT200,https://www.gsmarena.com/toshiba_excite_at200-4400.php,https://fdn2.gsmarena.com/vv/bigpic/toshiba-excite-at200.jpg,No cellular connectivity,No,"2011, September. Released 2012, January",Discontinued,256 x 176 x 7.7 mm (10.08 x 6.93 x 0.30 in),558.0,,,No,"LED-backlit LCD,",,10.1,1280x800,149,65.6,,Android 3.2 (Honeycomb),TI OMAP 4430,,1.2 GHz,PowerVR SGX540,1.0,1.0,16.0,32.0,,5.0,1,,No,,No,LED flash,720p,2.0,No,,,Wi-Fi 802.11 b/g/n,,2.1,miniUSB 2.0,Yes,"GPS, A-GPS","Accelerometer, gyro, compass",,,,No,,,530.0,,,,,,,,Black,,,,No
