Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Maxon,Maxon MX-C90,https://www.gsmarena.com/maxon_mx_c90-596.php,https://fdn2.gsmarena.com/vv/bigpic/mac90.gif,GSM,No,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82.0,,,Mini-SIM,"TFT, 65K colors",,,128x128,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-C80,https://www.gsmarena.com/maxon_mx_c80-597.php,https://fdn2.gsmarena.com/vv/bigpic/mac80.gif,GSM,No,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-C180,https://www.gsmarena.com/maxon_mx_c180-598.php,https://fdn2.gsmarena.com/vv/bigpic/mac180.gif,GSM,No,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-A30,https://www.gsmarena.com/maxon_mx_a30-731.php,https://fdn2.gsmarena.com/vv/bigpic/maa30.gif,GSM,No,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-C60,https://www.gsmarena.com/maxon_mx_c60-580.php,https://fdn2.gsmarena.com/vv/bigpic/mac60.gif,GSM,No,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,900,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-C20,https://www.gsmarena.com/maxon_mx_c20-581.php,https://fdn2.gsmarena.com/vv/bigpic/mac20.gif,GSM,No,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90.0,,,Mini-SIM,"CSTN, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-C110,https://www.gsmarena.com/maxon_mx_c110-732.php,https://fdn2.gsmarena.com/vv/bigpic/mac110.gif,GSM,No,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85.0,,,Mini-SIM,65K colors,,,,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-E10,https://www.gsmarena.com/maxon_mx_e10-579.php,https://fdn2.gsmarena.com/vv/bigpic/mae10.gif,GSM,No,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90.0,,,Mini-SIM,"TFT, 65K colors",,,176x220,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,,,,,FM radio
Maxon,Maxon MX-V10,https://www.gsmarena.com/maxon_mx_v10-734.php,https://fdn2.gsmarena.com/vv/bigpic/mav10.gif,GSM,No,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67.0,,,Mini-SIM,"STN, 65K colors",,,128x128,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
Maxon,Maxon MX-V30,https://www.gsmarena.com/maxon_mx_v30-733.php,https://fdn2.gsmarena.com/vv/bigpic/mav30.gif,GSM,No,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80.0,,,Mini-SIM,"TFT, 65K colors",,,,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,,,,,No
