Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Microsoft,Microsoft Surface Duo 2,https://www.gsmarena.com/microsoft_surface_duo_2-11117.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo2.jpg,GSM / HSPA / LTE / 5G,Yes,"2021, September 22. Released 2021, October 21",Discontinued,Unfolded: 184.5 x 145.2 x 5.5 mm Folded: 145.2 x 92.1 x 11 mm,284.0,Glass,,Nano-SIM + eSIM,"AMOLED, 90Hz, HDR, 800 nits (peak)",90,8.3,1892x2688,401,152.6,Gorilla Glass Victus,Android 11,Qualcomm SM8350 Snapdragon 888 5G (5 nm),5,Octa-core (1x2.84 GHz Cortex-X1 & 3x2.42 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55),Adreno 660,8.0,8.0,128.0,512.0,UFS,12.0,3,1.7,Yes,,Yes,"Dual-LED dual-tone flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR",12.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.1,Type-C,No,"GPS, GLONASS, GALILEO, QZSS, BDS","Fingerprint (side-mounted), dual accelerometer, dual gyro, dual proximity, dual compass",4449,23,,No,,,1480.0,,,,,,,,"Glacier, Obsidian",,,,No
Microsoft,Microsoft Surface Duo,https://www.gsmarena.com/microsoft_surface_duo-10365.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg,GSM / HSPA / LTE,No,"2020, August 12. Released 2020, September 10",Discontinued,Unfolded: 186.9 x 145.2 x 4.8 mm Folded: 145.2 x 93.3 x 9.9 mm,250.0,Glass,,Nano-SIM + eSIM,AMOLED,,8.1,1800x2700,401,144.2,Gorilla Glass 5,"Android 10, upgradable to Android 12",Qualcomm SM8150 Snapdragon 855 (7 nm),7,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,6.0,6.0,128.0,256.0,UFS 3.0,11.0,1,2.0,No,,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, HDR",,Yes,"HDR, panorama","4K@30/60fps, 1080p@30/60fps, gyro-EIS, HDR","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,No,GPS,"Fingerprint (side-mounted), dual accelerometer, dual gyro, proximity, dual compass",3577,18,,No,,,650.0,,,,,,,,White,,,,No
Microsoft,Microsoft Lumia 650,https://www.gsmarena.com/microsoft_lumia_650-7859.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, February",Discontinued,142 x 70.9 x 6.9 mm (5.59 x 2.79 x 0.27 in),122.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,OLED,,5.0,720x1280,297,67.1,Gorilla Glass 3,Microsoft Windows 10,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Adreno 304,1.0,1.0,16.0,16.0,eMMC 4.5,8.0,1,2.2,No,1/4.0,No,LED flash,720p@30fps,5.0,No,,720p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",Yes,4.1,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, proximity",2000,,,No,,,150.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 950 XL Dual SIM,https://www.gsmarena.com/microsoft_lumia_950_xl_dual_sim-7631.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, December",Discontinued,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),165.0,,,Nano-SIM + Nano-SIM,AMOLED,,5.7,1440x2560,515,75.2,Corning Gorilla Glass 4,Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),20,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,3.0,3.0,32.0,32.0,eMMC 5.0,20.0,1,1.9,Yes,1/2.4,Yes,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps, stereo sound rec., 1080p@30/60fps (after SW update)",5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Yes,4.1,Type-C,Yes,"GPS, GLONASS, BDS","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",3340,18,,No,,,350.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 950 XL,https://www.gsmarena.com/microsoft_lumia_950_xl-7263.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, November",Discontinued,151.9 x 78.4 x 8.1 mm (5.98 x 3.09 x 0.32 in),165.0,,,Nano-SIM,AMOLED,,5.7,1440x2560,518,74.3,Corning Gorilla Glass 4,Microsoft Windows 10,Qualcomm MSM8994 Snapdragon 810 (20 nm),20,Octa-core (4x1.5 GHz Cortex-A53 & 4x2.0 GHz Cortex-A57),Adreno 430,3.0,3.0,32.0,32.0,eMMC 5.0,20.0,1,1.9,Yes,1/2.4,Yes,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps, stereo sound rec., 1080p@30/60fps (after SW update)",5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Yes,4.1,Type-C,Yes,"GPS, GLONASS, BDS","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",3340,18,,No,,,350.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 950 Dual SIM,https://www.gsmarena.com/microsoft_lumia_950_dual_sim-7632.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, December",Discontinued,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),150.0,,,Nano-SIM + Nano-SIM,AMOLED,,5.2,1440x2560,565,70.2,Gorilla Glass 3,Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),20,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,3.0,3.0,32.0,32.0,eMMC 5.0,20.0,1,1.9,Yes,1/2.4,Yes,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps, stereo sound rec., 1080p@30/60fps (after SW update)",5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Yes,4.1,Type-C,Yes,"GPS, GLONASS, BDS","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",3000,18,,No,,,280.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 950,https://www.gsmarena.com/microsoft_lumia_950-7262.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, November",Discontinued,145 x 73.2 x 8.2 mm (5.71 x 2.88 x 0.32 in),150.0,,,Nano-SIM,AMOLED,,5.2,1440x2560,564,70.5,Gorilla Glass 3,Microsoft Windows 10,Qualcomm MSM8992 Snapdragon 808 (20 nm),20,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Adreno 418,3.0,3.0,32.0,32.0,eMMC 5.0,20.0,1,1.9,Yes,1/2.4,Yes,"Zeiss optics, triple-LED RGB flash, panorama, HDR","4K@30fps, stereo sound rec., 1080p@30/60fps (after SW update)",5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot",Yes,4.1,Type-C,Yes,"GPS, GLONASS, BDS","Iris scanner, accelerometer, gyro, proximity, compass, barometer, sensor core",3000,18,,No,,,280.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 550,https://www.gsmarena.com/microsoft_lumia_550-7612.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg,GSM / HSPA / LTE,No,"2015, October. Released 2015, December",Discontinued,136.1 x 67.8 x 9.9 mm (5.36 x 2.67 x 0.39 in),,,,Nano-SIM,"IPS LCD,",,4.7,720x1280,315,64.7,,Microsoft Windows 10,Qualcomm MSM8909 Snapdragon 210 (28 nm),28,Quad-core 1.1 GHz Cortex-A7,Adreno 304,1.0,1.0,8.0,8.0,eMMC 4.5,5.0,1,2.4,No,1/4.0,No,LED flash,720p@30fps,2.0,No,,480p,"Wi-Fi 802.11 b/g/n, hotspot",No,4.1,Micro-USB,Yes,"GPS, GLONASS, BDS","Accelerometer, proximity",2100,,,No,,,90.0,,,,,,,,"Black, White",,,,FM radio
Microsoft,Microsoft Lumia 540 Dual SIM,https://www.gsmarena.com/microsoft_lumia_540_dual_sim-7196.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg,GSM / HSPA,No,"2015, April. Released 2015, May",Discontinued,144 x 73.7 x 8.6 mm (5.67 x 2.90 x 0.34 in),152.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,64.9,,Microsoft Windows Phone 8.1 with Lumia Denim,Qualcomm Snapdragon 200 (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Adreno 302,1.0,1.0,8.0,8.0,eMMC 4.5,8.0,1,2.2,No,1/4.0,No,LED flash,480p@30fps,5.0,No,,480p,"Wi-Fi 802.11 b/g/n, DLNA, hotspot",No,4.0,Micro-USB,Yes,"GPS, GLONASS","Accelerometer, proximity",2200,,,No,,,100.0,,,,,,,,"Orange, white, black, gray, blue",,,,FM radio
Microsoft,Microsoft Lumia 430 Dual SIM,https://www.gsmarena.com/microsoft_lumia_430_dual_sim-7127.php,https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg,GSM / HSPA,No,"2015, March. Released 2015, May",Discontinued,120.5 x 63.2 x 10.6 mm (4.74 x 2.49 x 0.42 in),127.9,,,"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD,",,4.0,480x800,235,58.8,,"Microsoft Windows Phone 8.1, upgradable to Windows 10",Qualcomm MSM8210 Snapdragon 200 (28 nm),28,Dual-core 1.2 GHz Cortex-A7,Adreno 302,1.0,1.0,8.0,8.0,eMMC 4.5,2.0,1,2.2,No,1/5.0,No,,480p@30fps,,No,,480p,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,"A-GPS, GLONASS","Accelerometer, proximity",1500,,,No,,,70.0,,,,,,,,"Black, Orange",,,,FM radio
