Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Oscal,Oscal Tank 1,https://www.gsmarena.com/oscal_tank_1_5g-14230.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-tank1.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2025, October 10","Available. Released 2025, October",184 x 83 x 29.5 mm (7.24 x 3.27 x 1.16 in),640.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits",120,6.78,1080x2460,396,71.5,Gorilla Glass 5,"Android 15, up to 2 major Android upgrades, DokeOS 4.2",Mediatek Dimensity 7050 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,12.0,16.0,256.0,512.0,UFS 3.1,64.0,2,1.8,No,1/1.2,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@60fps",50.0,Yes,,"4K@30fps, 1080p@60fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",20000,55,,No,,,400.0,,,,,,,,"Black, Orange",,,,FM radio
Oscal,Oscal Tiger 8,https://www.gsmarena.com/oscal_tiger_8_5g-14155.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-tiger8.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September","Available. Released 2025, September",171.1 x 77.7 x 8.5 mm (6.74 x 3.06 x 0.33 in),210.5,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 450 nits",120,6.88,720x1640,260,84.6,Mohs level 7,"Android 15, DokeOS 4.2",Unisoc T8100 (6 nm),6,Octa-core (4x2.2 GHz Cortex-A76 & 4x2.0 GHz Cortex-A55),Mali-G57,4.0,8.0,128.0,128.0,UFS 2.2,16.0,2,2.2,No,1/3.06,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,18,,No,,,,,,,,,,,"Phantom Black, Glacier Blue",,,,FM radio
Oscal,Oscal Pilot 3,https://www.gsmarena.com/oscal_pilot_3-13935.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot3.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2025, June","Available. Released 2025, June 16",182.2 x 86 x 14.5 mm (7.17 x 3.39 x 0.57 in),357.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 750 nits",120,6.78,1080x2460,396,69.7,Gorilla Glass 5,"Android 15, DokeOS 4.1",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,12.0,12.0,256.0,256.0,UFS 2.2,50.0,3,1.8,No,1/2.76,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",32.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",7500,33,,No,,,250.0,,,,,,,,"Black, Orange",,,,FM radio
Oscal,Oscal Pad 100,https://www.gsmarena.com/oscal_pad_100-13859.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad-100.jpg,GSM / HSPA / LTE,No,"2025, February","Available. Released 2025, February",281.7 x 177.2 x 8 mm (11.09 x 6.98 x 0.31 in),610.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 360 nits",,12.0,1200x2000,194,82.1,Mohs level 5,Android 15,Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8.0,12.0,256.0,256.0,UFS 2.2,16.0,1,,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS",Accelerometer,9000,,,No,,,,,,,,,,,"Gray, Blue",,,,FM radio
Oscal,Oscal Marine 2,https://www.gsmarena.com/oscal_marine_2-13851.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-marine2.jpg,GSM / HSPA / LTE,No,"2025, May","Available. Released 2025, May",179.8 x 83.1 x 18.3 mm (7.08 x 3.27 x 0.72 in),395.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,6.56,720x1612,269,69.2,"Panda Glass, Mohs level 5","Android 15, DokeOS 4.1",Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4.0,8.0,64.0,256.0,eMMC 5.1 - 64GB UFS 2.1 - 256GB,16.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",11000,18,,No,,,120.0,,,,,,,,"Black, Orange",,,,FM radio
Oscal,Oscal Marine 1,https://www.gsmarena.com/oscal_marine_1-13850.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-marine1.jpg,GSM / HSPA / LTE,No,"2025, May","Available. Released 2025, May",174.7 x 81.5 x 13.5 mm (6.88 x 3.21 x 0.53 in),304.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,6.56,720x1612,269,72.6,"Panda Glass, Mohs level 7","Android 15, DokeOS 4.1",Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4.0,4.0,128.0,128.0,eMMC 5.1,16.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5100,10,,No,,,,,,,,,,,"Black, Orange",,,,FM radio
Oscal,Oscal Pad 90,https://www.gsmarena.com/oscal_pad_90-13645.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad90.jpg,GSM / HSPA / LTE,No,"2025, January","Available. Released 2025, January",258.1 x 169.6 x 8 mm (10.16 x 6.68 x 0.31 in),534.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 350 nits",,10.92,800x1280,138,79.0,Mohs level 7,"Android 14, DokeOS_P 4.0",Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8.0,8.0,128.0,128.0,UFS 2.1,13.0,1,,No,,No,,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS",No,7700,,,No,,,,,,,,,,,"Space Gray, Sky Blue",,,,FM radio
Oscal,Oscal Pad 80 WiFi,https://www.gsmarena.com/oscal_pad_80_wifi-13644.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad80-wifi.jpg,GSM,No,"2025, January","Available. Released 2025, January",246.8 x 161.9 x 9.1 mm (9.72 x 6.37 x 0.36 in),495.0,,,No,IPS LCD,,10.51,1200x1920,215,80.2,,"Android 14, Doke OS_P 4.0",Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6.0,6.0,256.0,256.0,UFS 2.1,13.0,1,2.0,No,,No,LED flash,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,No,Accelerometer,8200,10,,No,,,,,,,,,,,"Grey, Blue",,,,No
Oscal,Oscal Pad 70 WiFi,https://www.gsmarena.com/oscal_pad_70_wifi-13643.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pad70-wifi.jpg,GSM,No,"2025, January","Available. Released 2025, January",246.5 x 163 x 9.9 mm (9.70 x 6.42 x 0.39 in),520.5,,,No,IPS LCD,,10.1,800x1280,149,73.6,Asahi glass,"Android 14, Doke OS_P 4.0",Rockchip RK3562,,Quad-core 2.0 GHz Cortex-A53,Mali-G52,4.0,4.0,128.0,128.0,eMMC 5.1,13.0,1,2.0,No,,No,LED flash,720p@30fps,8.0,No,,480p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.0,Type-C,Yes,No,Accelerometer,6580,10,,No,,,,,,,,,,,"Grey, Blue",,,,No
Oscal,Oscal Pilot 1,https://www.gsmarena.com/oscal_pilot_1-13642.php,https://fdn2.gsmarena.com/vv/bigpic/oscal-pilot1.jpg,GSM / CDMA / HSPA / LTE,No,"2025, January","Available. Released 2025, January",185.5 x 85 x 22 mm (7.30 x 3.35 x 0.87 in),540.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 700 nits",90,6.67,1080x2400,395,68.1,Gorilla Glass 5,"Android 14, DokeOS 4.0",Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,6.0,6.0,256.0,256.0,eMMC 5.1,50.0,2,1.8,No,1/2.76,No,"LED flash, HDR, panorama",1080p@30fps,32.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.3,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",15000,33,,No,,,170.0,,,,,,,,"Black, Orange",,,,FM radio
