Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Vk Mobile,VK Mobile VK2030,https://www.gsmarena.com/vk_mobile_vk2030-2194.php,https://fdn2.gsmarena.com/vv/bigpic/vk-2030.jpg,GSM,No,"2007, December. Released 2008, September",Discontinued,107 x 48 x 11.7 mm (4.21 x 1.89 x 0.46 in),,,,Mini-SIM,"TFT, 256K colors",,1.8,128x160,114,19.9,,,,,,,,,,,,1.3,1,,No,,No,,No,,No,,,No,,1.2,1.1,No,No,,710,,,No,,,70.0,,,,,,,,White,,,,No
Vk Mobile,VK Mobile VK2200,https://www.gsmarena.com/vk_mobile_vk2200-1512.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2200.gif,GSM,No,"2006, March",Discontinued,97.8 x 49.5 x 12.5 mm (3.85 x 1.95 x 0.49 in),74.0,,,Mini-SIM,"TFT, 260K colors",,1.66,176x220,170,17.9,,,,,,,,,,,,4.0,1,,No,,No,,Yes,,No,,,No,,,1.1,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Vk Mobile,VK Mobile VK7000,https://www.gsmarena.com/vk_mobile_vk7000-1514.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk7000.gif,GSM / UMTS,No,"2006, March",Cancelled,105 x 48 x 9.9 mm (4.13 x 1.89 x 0.39 in),,,,Mini-SIM,"TFT, 256K colors",,1.8,176x220,157,20.2,,,,,,,,,,,,1.3,1,,No,,No,,QCIF,,No,,,No,,,2.0,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK5000,https://www.gsmarena.com/vk_mobile_vk5000-1513.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk5000.gif,GSM,No,"2006, March",Cancelled,91.8 x 50 x 9.9 mm (3.61 x 1.97 x 0.39 in),,,,Mini-SIM,"OLED, 256K colors",,1.5,128x160,137,15.4,,,,,,,,,,,,1.3,1,,No,,No,,QCIF,,No,,,No,,,No,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Vk Mobile,VK Mobile VK300,https://www.gsmarena.com/vk_mobile_vk300-1826.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk300.gif,GSM,No,"2005, July",Discontinued,79.5 x 42.5 x 21.5 mm (3.13 x 1.67 x 0.85 in),75.0,,,Mini-SIM,"TFT, 256K colors",,1.8,128x160,114,30.2,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,No,No,No,,720,,,No,,,,,,,,,,,"Silver-black, Gold",,,,No
Vk Mobile,VK Mobile VK4000,https://www.gsmarena.com/vk_mobile_vk4000-1516.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4000.gif,GSM,No,"2006, March",Discontinued,85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in),79.0,,,Mini-SIM,"TFT, 256K colors",,1.8,128x160,114,27.9,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,60.0,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK4100,https://www.gsmarena.com/vk_mobile_vk4100-1517.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4100.gif,GSM,No,"2006, March",Cancelled,104 x 52 x 25.9 mm (4.09 x 2.05 x 1.02 in),,,,Mini-SIM,"TFT, 256K colors",,1.8,128x160,114,18.9,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK2020,https://www.gsmarena.com/vk_mobile_vk2020-1493.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2020.gif,GSM,No,"2006, February",Discontinued,95 x 47 x 8.8 mm (3.74 x 1.85 x 0.35 in),53.0,,,Mini-SIM,"OLED, 256K colors",,,128x160,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,1.1,No,No,,,,,No,,,50.0,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK200,https://www.gsmarena.com/vk_mobile_vk200-1492.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk200.gif,GSM,No,"2006, February",Discontinued,105 x 48 x 11 mm (4.13 x 1.89 x 0.43 in),,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK4500,https://www.gsmarena.com/vk_mobile_vk4500-1397.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk4500.gif,GSM,No,"2005, Q4",Discontinued,98 x 49 x 16.9 mm (3.86 x 1.93 x 0.67 in),86.0,,,Mini-SIM,"TFT, 256K colors",,2.0,176x220,141,26.2,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,620,,,No,,,,,,,,,,,,,,,No
Vk Mobile,VK Mobile VK3100,https://www.gsmarena.com/vk_mobile_vk3100-1396.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk3100.gif,GSM,No,"2005, Q4",Discontinued,98 x 54 x 14.9 mm (3.86 x 2.13 x 0.59 in),82.0,,,Mini-SIM,"TFT, 256K colors",,2.2,176x220,128,28.8,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,Proprietary,No,No,,720,,,No,,,,,,,,,,,"Silver, Black, Pink",,,,No
Vk Mobile,VK Mobile VK2100,https://www.gsmarena.com/vk_mobile_vk2100-1395.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2100.gif,GSM,No,"2005, Q4",Cancelled,93 x 49 x 9.3 mm (3.66 x 1.93 x 0.37 in),48.0,,,Mini-SIM,"OLED, 256K colors",,,128x160,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,790,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK2010,https://www.gsmarena.com/vk_mobile_vk2010-1394.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2010.gif,GSM,No,"2005, Q4",Discontinued,90 x 50 x 8.8 mm (3.54 x 1.97 x 0.35 in),50.0,,,Mini-SIM,"OLED, 256K colors",,,128x160,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,Proprietary,No,No,,790,,,No,,,,,,,,,,,"Silver, Pink, Black",,,,No
Vk Mobile,VK Mobile VK1500,https://www.gsmarena.com/vk_mobile_vk1500-1393.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1500.gif,GSM,No,"2005, Q4",Cancelled,89 x 46 x 23 mm (3.50 x 1.81 x 0.91 in),86.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,940,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile VK1100,https://www.gsmarena.com/vk_mobile_vk1100-1515.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1100.gif,GSM,No,"2006, February",Cancelled,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),71.4,,,Mini-SIM,"CSTN, 65K colors",,,128x143,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"Pastel Pink, Black",,,,No
Vk Mobile,VK Mobile VK1020,https://www.gsmarena.com/vk_mobile_vk1020-1392.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1020.gif,GSM,No,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,,Mini-SIM,"STN, 65K colors",,,128x143,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"Silver, Purple",,,,No
Vk Mobile,VK Mobile VK1010,https://www.gsmarena.com/vk_mobile_vk1010-1391.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1010.gif,GSM,No,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,,Mini-SIM,"STN, 65K colors",,,128x143,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"Green, Red",,,,No
Vk Mobile,VK Mobile VK1000,https://www.gsmarena.com/vk_mobile_vk1000-1390.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk1000.gif,GSM,No,"2005, Q4",Discontinued,76 x 44 x 23 mm (2.99 x 1.73 x 0.91 in),,,,Mini-SIM,"STN, 65K colors",,,128x143,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"Pink, Orange, Black",,,,No
Vk Mobile,VK Mobile VK2000,https://www.gsmarena.com/vk_mobile_vk2000-1291.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-vk2000.gif,GSM,No,"2005, Q3",Discontinued,89.9 x 49.9 x 8.8 mm (3.54 x 1.96 x 0.35 in),48.0,,,Mini-SIM,"STN, 65K colors",,,128x143,,,,,,,,,,,,,,,,,No,,No,,,,No,,,No,,,No,No,No,,,,,No,,,,,,,,,,,Black,,,,No
Vk Mobile,VK Mobile E100,https://www.gsmarena.com/vk_mobile_e100-1256.php,https://fdn2.gsmarena.com/vv/bigpic/vkmobile-e100.gif,GSM,No,"2005, Q3",Discontinued,85 x 44 x 21 mm (3.35 x 1.73 x 0.83 in),88.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,,No,No,,,,,No,,,,,,,,,,,"Silver, Blue, White",,,,No
