Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Nokia,Nokia 110 Power,https://www.gsmarena.com/nokia_110_power-14481.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-power.jpg,GSM,No,"2026, February","Available. Released 2026, February",117.7 x 50 x 14.2 mm (4.63 x 1.97 x 0.56 in),88.0,,,"Dual SIM (Mini-SIM, dual stand-by)",TFT,,2.0,120x160,100,21.0,,,,,,,,,,,,,,,No,,No,,No,,No,,,No,No,,Micro-USB,Yes,No,,1750,,,No,,,20.0,,,,,,,,"Gray, Blue, Purple",,,,Wireless FM radio
Nokia,Nokia 150 Music,https://www.gsmarena.com/nokia_150_music-13688.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-150-music-2025.jpg,GSM,No,"2025, March 02","Available. Released 2025, March",130.5 x 52.9 x 14.8 mm (5.14 x 2.08 x 0.58 in),83.1,,IP54,"Dual SIM (Mini-SIM, dual stand-by)",TN TFT,,2.4,240x320,167,25.8,,,Unisoc 6531F,,,,,,,,,,1,,No,,No,LED flash,Yes,,No,,,No,No,5.0,Type-C,Yes,No,No,2500,,,No,,,,,,,,,,,"Blue, Gray, Violet",,,,Unspecified
Nokia,Nokia 130 Music,https://www.gsmarena.com/nokia_130_music-13686.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-130-music-2025.jpg,GSM,No,"2025, March 02","Available. Released 2025, March",130.5 x 52.9 x 14.8 mm (5.14 x 2.08 x 0.58 in),83.1,,IP54,"Dual SIM (Mini-SIM, dual stand-by)",TN TFT,,2.4,240x320,167,25.8,,,Unisoc 6531F,,,,,,,,,,,,No,,No,,,,No,,,No,No,5.0,Type-C,Yes,No,No,2500,,,No,,,,,,,,,,,"Dark Blue, Purple, Gray",,,,Unspecified
Nokia,Nokia 110 4G 2nd Edition,https://www.gsmarena.com/nokia_110_4g_2nd_edition-13584.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2nd-edition.jpg,GSM / HSPA / LTE,No,"2024, December","Available. Released 2024, December",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),94.5,,IP54,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,1.8,120x160,111,16.5,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,No,5.0,Type-C,Yes,No,,1450,,,No,,,60.0,,,,,,,,"Midnight Blue, Arctic Purple",,,,Wireless FM radio
Nokia,Nokia 105 4G 2nd Edition,https://www.gsmarena.com/nokia_105_4g_2nd_edition-13583.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2nd-edition.jpg,GSM / HSPA / LTE,No,"2024, December","Available. Released 2024, December",121.5 x 50 x 14.4 mm (4.78 x 1.97 x 0.57 in),93.0,,IP54,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,1.8,120x160,111,16.5,,,,,,,,,,,,,,,No,,No,,,,No,,,No,No,5.0,Type-C,Yes,No,,1450,,,No,,,50.0,,,,,,,,Charcoal,,,,Wireless FM radio
Nokia,Nokia 108 4G (2024),https://www.gsmarena.com/nokia_108_4g_(2024)-13482.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-108-4g-2024.jpg,GSM / HSPA / LTE,No,"2024, October 27","Available. Released 2024, November",126.1 x 50.5 x X.X mm,93.0,,,Nano-SIM + Nano-SIM,"TFT LCD, 65K colors",,2.0,240x320,200,19.5,,,,,,,,,,,,,,,No,,No,,,,No,,,No,No,,Type-C,Yes,No,,1450,,,No,,,,,,,,,,,"Blue, Cyan, Pink",,,,Wireless FM radio
Nokia,Nokia 110 4G (2024),https://www.gsmarena.com/nokia_110_4g_(2024)-13471.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2024.jpg,GSM / HSPA / LTE,No,"2024, October 28","Available. Released 2024, November",-,,,,Nano-SIM + Nano-SIM,"TFT LCD, 65K colors",,2.0,240x320,200,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,No,,Type-C,Yes,No,,1000,,,No,,,,,,,,,,,"Blue, Titanium",,,,Wireless FM radio
Nokia,Nokia 105 (2024),https://www.gsmarena.com/nokia_105_(2024)-13188.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2024.jpg,GSM,No,"2024, July 03","Available. Released 2024, July",115.5 x 49.5 x 14 mm (4.55 x 1.95 x 0.55 in),77.5,,,"Dual SIM (Mini-SIM, dual stand-by)","TFT LCD, 65K colors",,2.0,120x160,100,21.7,,RTOS OS,,,,,,,,,,,,,No,,No,,,,No,,,No,No,,Micro-USB,Yes,No,,1000,,,No,,,,,,,,,,,"Black, Blue, Purple",,,,Wireless FM radio
Nokia,Nokia 220 4G (2024),https://www.gsmarena.com/nokia_220_4g_(2024)-13167.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-220-4g-2024-new.jpg,GSM / HSPA / LTE,No,"2024, June 25","Available. Released 2024, June 25",127.3 x 54.2 x 11.6 mm (5.01 x 2.13 x 0.46 in),,,,Nano-SIM + Nano-SIM,TFT LCD,,2.8,240x320,143,35.2,,,Unisoc T107 (22 nm),22,1.0 GHz Cortex-A7,,,,,,,,,,No,,No,,,,No,,,No,No,5.0,Type-C,Yes,No,No,1450,,,No,,,40.0,,,,,,,,"Black, Peach",,,,Wireless FM radio
Nokia,Nokia 3210,https://www.gsmarena.com/nokia_3210-12990.php,https://fdn2.gsmarena.com/vv/bigpic/nokia-3210.jpg,GSM / HSPA / LTE,No,"2024, May 07","Available. Released 2024, May 07",122 x 52 x 13.1 mm (4.80 x 2.05 x 0.52 in),,Plastic,,· Nano-SIM · Nano-SIM + Nano-SIM,TFT,,2.4,240x320,167,28.1,,,Unisoc T107 (22 nm),22,1.0 GHz Cortex-A7,,,,,,,2.0,1,,No,,No,LED flash,,,No,,,No,No,5.0,Type-C,Yes,No,,1450,,,No,,69.66,64.0,44.97,4199,,,,,,"Scuba Blue, Y2K Gold, Grunge Black",,,,Wireless FM radio
