Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Motorola,Motorola Moto G37 Power,https://www.gsmarena.com/motorola_moto_g37_power-14647.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g37-power.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, May 15",166.2 x 76.5 x 8.8 mm (6.54 x 3.01 x 0.35 in),215.0,Glass,IP64,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 1050 nits (peak)",120,6.67,720x1604,264,84.3,Gorilla Glass 7i,Android 16,Mediatek Dimensity 6300 (6 nm) - global Mediatek Dimensity 6400 (6 nm) - India,6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,UFS 2.2,50.0,1,1.8,No,,No,"Dual-LED flash, HDR, panorama","2K@30fps, 1080p@30/60fps",8.0,No,,"2K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",7000,30,,No,,,,,19999,,,,,,"Pantone: Impenetrable, Capri, Nautical Blue, Fuchsia Red",,,,FM radio
Motorola,Motorola Moto G37,https://www.gsmarena.com/motorola_moto_g37-14646.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g37.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, May 15",166.2 x 76.5 x 7.8 mm (6.54 x 3.01 x 0.31 in),191.0,Glass,IP64,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, HDR10, 1050 nits (peak)",120,6.67,720x1604,264,84.3,Gorilla Glass 7i,Android 16,Mediatek Dimensity 6300 (6 nm) - global Mediatek Dimensity 6400 (6 nm) - India,6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,4,64,256,UFS 2.2,50.0,1,1.8,No,,No,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30/60fps",8.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5200,20,,No,,,212.29,229.98,16999,,,,,,"Pantone: Nautical Blue, Impenetrable, Fuchsia Red, Pantone Capri",,,,FM radio
Motorola,Motorola Razr Ultra 2026,https://www.gsmarena.com/motorola_razr_ultra_2026-14638.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-ultra-2026.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, May 14",Unfolded: 171.5 x 74 x 7.2 mm Folded: 88.1 x 74 x 15.7 mm,199.0,Ceramic,IP48,Nano-SIM + eSIM,"Foldable LTPO AMOLED, 1B colors, 165Hz, Dolby Vision, HDR10+, 5000 nits (peak)",165,7.0,1224x2992,462,87.3,,Android 16,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.47 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830 (1200 MHz),16,16,512,512,UFS 4.0,50.0,2,1.8,Yes,1/1.56,Yes,"LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, Dolby Vision, HDR10+",50.0,Yes,,"4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band",Yes,5.4,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",5000,68,30,No,,,1290.0,,,,,,,,"Pantone: Orient Blue, Cocoa",,,,No
Motorola,Motorola Razr+ 2026,https://www.gsmarena.com/motorola_razr+_2026-14639.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-plus-2026.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, May 14",Unfolded: 171.4 x 74 x 7.1 mm Folded: 88.1 x 74 x 15.3 mm,189.0,Titanium,IP48,Nano-SIM + eSIM,"Foldable LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak)",165,6.9,1084x2640,414,85.1,,Android 16,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),4,Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,12,12,256,256,UFS 4.0,50.0,2,1.8,Yes,1/1.95,Yes,"LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","4K@30/60fps, 1080p@30/60/240fps, HDR10+, Dolby Vision",32.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/ax/6e/7, tri-band",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, compass, barometer",4500,45,15,No,,,940.0,,,,,,,,Pantone: Mountain View,,,,No
Motorola,Motorola Razr 70+,https://www.gsmarena.com/motorola_razr_70+-14642.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-plus-2026.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, April 29",Unfolded: 171.4 x 74 x 7.1 mm Folded: 88.1 x 74 x 15.3 mm,189.0,Titanium,IP48,Nano-SIM + eSIM,"Foldable LTPO AMOLED, 1B colors, Dolby Vision, 165Hz, HDR10+, 3000 nits (peak)",165,6.9,1084x2640,414,85.1,Mohs level 4,Android 16,Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm),4,Octa-core (1x3.0 GHz Cortex-X4 & 4x2.8 GHz Cortex-A720 & 3x2.0 GHz Cortex-A520),Adreno 735,12,12,256,512,UFS 4.0,50.0,2,1.8,Yes,1/1.95,Yes,"Pantone Validated, LED flash, panorama, HDR","4K@30/60fps, 1080p@30/60/240fps, HDR10+, Dolby Vision",32.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/ax/6e/7, tri-band",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, compass, barometer",4500,45,15,No,,,1149.0,948.99,,,,,,,Pantone: Mountain View,XT2659-3,,,No
Motorola,Motorola Razr 2026,https://www.gsmarena.com/motorola_razr_2026-14640.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-2026.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 29","Available. Released 2026, May 14",Unfolded: 171.3 x 74 x 7.3 mm Folded: 88.1 x 74 x 15.9 mm,188.0,Titanium,IP48,Nano-SIM + eSIM,"Foldable LTPO AMOLED, 1B colors, 120Hz, Dolby Vision, HDR10+, 3000 nits (peak)",120,6.9,1080x2640,413,84.9,,Android 16,Mediatek Dimensity 7450X (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,8,128,256,UFS 3.1,50.0,2,1.7,Yes,1/1.95,Yes,"LED flash, panorama, HDR, Pantone Validated Colour and Skin Tones","4K@30fps, 1080p@30/60/120fps, gyro-EIS",32.0,Yes,HDR,"4K@30fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, QZSS","Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer",4800,30,15,No,,,690.0,,,,,,,,"Pantone: Hematite, Sporting Green, Violet Ice, Bright White",,,,No
Motorola,Motorola Edge 70 Pro,https://www.gsmarena.com/motorola_edge_70_pro_5g-14620.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-pro-.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 22","Available. Released 2026, April 29",162.7 x 75.6 x 7.2 mm (6.41 x 2.98 x 0.28 in),183.0,Glass,IP68,· Nano-SIM + Nano-SIM + eSIM (max 2 at a time) · Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, PWM, HDR, 1800 (HBM), 5200 nits (peak)",144,6.78,1272x2772,450,91.4,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades",Mediatek Dimensity 8500 Extreme (4 nm),4,Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,8,12,256,512,UFS 4.1,50.0,3,1.8,Yes,1/1.56,Yes,"LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","4K@30/60/120fps, 1080p@30/60/120/240fps, gyro-EIS, HDR10+",50.0,Yes,HDR,"4K@30fps, 1080p@30/120fps","Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS, NavIC","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6500,90,15,Yes,,,,,38398,,,,,,"Pantone: Lily White, Titan, Tea, Zinfandel, Chicory Coffee",,,,No
Motorola,Motorola Moto Pad (2026),https://www.gsmarena.com/motorola_moto_pad_(2026)-14582.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-pad-2026-.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 07","Available. Released 2026, April 30",254.6 x 166.2 x 7 mm (10.02 x 6.54 x 0.28 in),480.0,Glass,,Nano-SIM,"IPS LCD, 90Hz, 500 nits",90,11.0,1600x2560,274,82.9,,Android 15,Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,128,128,UFS 2.2,8.0,1,,No,,No,LED flash,Yes,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GALILEO, GLONASS","Accelerometer, proximity (accessories only)",7040,20,,No,,,250.0,,,,,,,,Pantone Bronze Green,,,,No
Motorola,Motorola Moto G Stylus (2026),https://www.gsmarena.com/motorola_moto_g_stylus_(2026)-14581.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-5g-2026-2.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 07","Available. Released 2026, April 16",162.2 x 74.8 x 8.3 mm (6.39 x 2.94 x 0.33 in),192.0,Glass,IP68,Nano-SIM + eSIM,"AMOLED, 1B colors, 120Hz, HDR, 5000 nits (peak)",120,6.7,1220x2712,444,89.3,Gorilla Glass 3,"Android 16, up to 2 major Android upgrades",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),4,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,8,8,128,256,UFS 3.1,50.0,2,1.8,Yes,1/1.56,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps",32.0,Yes,HDR,"4K@30fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/ax, tri-band",Yes,5.4,Type-C,Yes,"GPS, GLONASS, GALILEO, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5200,68,15,No,Active use score 12:10h,,500.0,,,659683,2894,871,1453,-20.8,"Pantone: Coal Smoke, Lavender Mist",,,,No
Motorola,Motorola Edge 70 Fusion+,https://www.gsmarena.com/motorola_edge_70_fusion+_5g-14540.php,https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-70-fusion-plus.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, March",162.8 x 75.6 x 7.2 mm (6.41 x 2.98 x 0.28 in),177.0,Glass,IP68,Nano-SIM + eSIM,"AMOLED, 1B colors, 144Hz, HDR10+, 5200 nits (peak)",144,6.8,1272x2772,449,91.9,Gorilla Glass 7i,Android 16,Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),4,Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,12,12,256,512,uMCP,50.0,3,1.8,Yes,1/1.56,Yes,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120fps, gyro-EIS",50.0,Yes,"HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,6.0,Type-C,No,"GPS, GLONASS, GALILEO","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5200,68,,No,,,480.0,,,,,,,,"Pantone: Orient Blue, Sporting Green, Silhouette, Blue Surf",,,,No
