Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Sony,Sony Xperia 10 VII,https://www.gsmarena.com/sony_xperia_10_vii_5g-14137.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vii-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 12","Available. Released 2025, September 19",153 x 72 x 8.3 mm (6.02 x 2.83 x 0.33 in),168.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, HDR",120,6.1,1080x2340,422,82.9,Gorilla Glass Victus,"Android 15, upgradable to Android 16, up to 4 major Android upgrades",Qualcomm SM6475-AB Snapdragon 6 Gen 3 (4 nm),4,Octa-core (4x2.4 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,8,8,128,128,UFS,50.0,2,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS",8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,5.4,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,,,No,Active use score 12:57h,519.99,449.0,399.0,,600667,2943,865,1064,-26.9,"White, Turquoise, Charcoal","XQ-FE54, XQZ-CBFE, xqfe54eukcl.gc, xqfe54eukcw.gc, xqfe54eukcb.gc",,,No
Sony,Sony Xperia 1 VII,https://www.gsmarena.com/sony_xperia_1_vii_5g-13843.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vii-violet.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 13","Available. Released 2025, June 04",162 x 74 x 8.2 mm (6.38 x 2.91 x 0.32 in),197.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"LTPO OLED, 1B colors, 120Hz, HDR BT.2020",120,6.5,1080x2340,396,86.5,Gorilla Glass Victus,"Android 15, up to 4 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,12,12,256,512,UFS 4.0,48.0,3,1.9,Yes,1/1.35,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct, DLNA",Yes,6.0,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,30,15,Yes,Active use score 15:32h,1389.99,1499.0,,,2062177,9293,6276,1475,-26.1,"Moss Green, Orchid Purple, Slate Black","XQ-FS54, XQFS54EUKCG.GC, XQFS54EUKCV.GC, XQFS54EUKCB.GC, PDX256",,,No
Sony,Sony Xperia 1 VI,https://www.gsmarena.com/sony_xperia_1_vi-13003.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-vi-red.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, May 15","Available. Released 2024, June 03",162 x 74 x 8.2 mm (6.38 x 2.91 x 0.32 in),192.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"LTPO OLED, 1B colors, 120Hz, HDR BT.2020",120,6.5,1080x2340,396,86.5,Gorilla Glass Victus,"Android 14, upgradable to Android 16, up to 3 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,12,12,256,512,UFS 4.0,48.0,3,1.9,Yes,1/1.35,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct, DLNA",Yes,5.4,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,30,15,Yes,Active use score 17:27h,,1007.51,,,1612156,6119,4731,1310,-24.3,"Black, Platinum silver, Khaki green, Scar red","XQEC54EUKCB.GC, XQEC54EUKCG.GC, XQEC54EUKCS.GC, XQ-EC72",,,No
Sony,Sony Xperia 10 VI,https://www.gsmarena.com/sony_xperia_10_vi-13002.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-vi.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, May 15","Available. Released 2024, June 13",155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),164.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, HDR",,6.1,1080x2520,449,82.5,Gorilla Glass Victus,"Android 14, upgradable to Android 16, up to 3 major Android upgrades",Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm),4,Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55),Adreno 710,8,8,128,128,UFS,48.0,2,1.8,Yes,1/2.0,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS",8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,,,No,Active use score 13:56h,,,290.0,,490025,2769,613,1010,-27.1,"Blue, Black, White","XQ-ES54, XQ-ES72, XQ-ES72/L2TWCX0, XQ-ES72/B2TWCX0, XQ-ES72/W2TWCX0, ‎XQES54EUKCB.GC",,,No
Sony,Sony Xperia 5 V,https://www.gsmarena.com/sony_xperia_5_v-12534.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-v-new.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, September 01","Available. Released 2023, September 25",154 x 68 x 8.6 mm (6.06 x 2.68 x 0.34 in),182.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, HDR10, BT.2020",120,6.1,1080x2520,449,83.0,Gorilla Glass Victus,"Android 13, upgradable to Android 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,8,8,128,256,UFS,48.0,2,1.9,Yes,1/1.35,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA",Yes,5.3,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,30,,Yes,Active use score 16:19h,2435.0,588.27,449.99,,946039,4546,,746,-26.3,"Black, Blue, Platinum Silver",XQ-DE54,,,No
Sony,Sony Xperia 1 V,https://www.gsmarena.com/sony_xperia_1_v-12263.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-v.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, May 11","Available. Released 2023, July 28",165 x 71 x 8.3 mm (6.50 x 2.80 x 0.33 in),187.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, HDR BT.2020",120,6.5,1644x3840,643,84.2,Gorilla Glass Victus,"Android 13, upgradable to Android 15",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,12,12,256,512,UFS 4.0,48.0,3,1.9,Yes,1/1.35,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30/60fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA",Yes,5.3,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,30,,Yes,Active use score 12:24h,,427.89,369.99,,1127931,4916,,936,-25.4,"Black, Khaki Green, Platinum Silver","XQDQ62/B, XQ-DQ72, XQ-DQ54",,,No
Sony,Sony Xperia 10 V,https://www.gsmarena.com/sony_xperia_10_v-12264.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-v-10.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, May 11","Available. Released 2023, June 21",155 x 68 x 8.3 mm (6.10 x 2.68 x 0.33 in),159.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, HDR",,6.1,1080x2520,449,82.5,Gorilla Glass Victus,"Android 13, upgradable to Android 15",Qualcomm SM6375 Snapdragon 695 5G (6 nm),6,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,6,8,128,128,UFS,48.0,3,1.8,Yes,1/2.0,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.1,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,,,No,Active use score 16:14h,949.0,173.89,149.99,,357142,1897,,947,-27.4,"Black, White, Sage Green, Lavender","XQ-DC72, XQ-DC54",,,No
Sony,Sony Xperia 5 IV,https://www.gsmarena.com/sony_xperia_5_iv-11838.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iv-ofic.jpg,GSM / HSPA / LTE / 5G,Yes,"2022, September 01","Available. Released 2022, September 22",156 x 67 x 8.2 mm (6.14 x 2.64 x 0.32 in),172.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, HDR BT.2020",120,6.1,1080x2520,449,83.2,Gorilla Glass Victus,"Android 12, upgradable to Android 13",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),4,Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,8,8,128,256,UFS 3.X,12.0,3,1.7,Yes,1/1.7,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct, DLNA",Yes,5.2,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,,,Yes,,,173.89,149.99,,835038,3448,,979,-26.9,"Green, Black, Ecru White","XQCQ62B-GC, XQCQ62G.GC, XQ-CQ72/B2TWCX0, XQ-CQ72/C2TWCX0, XQ-CQ72/G2TWCX0, XQCQ54C0B.YD, XQCQ54C0G.YD, XQCQ54C0C.YD, XQ-CQ54, XQ-CQ72, A204SO",,,No
Sony,Sony Xperia 1 IV,https://www.gsmarena.com/sony_xperia_1_iv-11521.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iv-.jpg,GSM / HSPA / LTE / 5G,Yes,"2022, May 11","Available. Released 2022, June 11",165 x 71 x 8.2 mm (6.50 x 2.80 x 0.32 in),185.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, HDR BT.2020",120,6.5,1644x3840,643,84.2,Gorilla Glass Victus,"Android 12, upgradable to Android 13",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),4,Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510),Adreno 730,12,16,256,512,UFS,12.0,3,1.7,Yes,1/1.7,Yes,"Zeiss optics, Zeiss T* lens coating, color spectrum sensor, LED flash, panorama, HDR, eye tracking","4K@24/25/30/60/120fps HDR, 1080p@30/60/120fps; 5-axis gyro-EIS, OIS",12.0,Yes,HDR,"4K@30fps, 1080p@30/60fps, 5-axis gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band or tri-band (region dependent), Wi-Fi Direct, DLNA",Yes,5.2,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, barometer, compass",5000,30,,Yes,,,,349.99,,838832,3403,,602,-27.6,"Black, Violet, White","XQCT62-B, XQCT54, XQCT54C0V.YD, XQCT54C0B.YD, XQCT54C0W.YD, XQCT54C0V.EEAC, XQCT54C0B.EEAC, XQ-CT72, XQ-CT54, XQ-CT62, SO-51C",,,No
Sony,Sony Xperia 10 IV,https://www.gsmarena.com/sony_xperia_10_iv-11522.php,https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iv.jpg,GSM / HSPA / LTE / 5G,Yes,"2022, May 11","Available. Released 2022, June 30",153 x 67 x 8.3 mm (6.02 x 2.64 x 0.33 in),161.0,Glass,IP65,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"OLED, 1B colors, HDR",,6.0,1080x2520,457,82.0,Gorilla Glass Victus,"Android 12, upgradable to Android 14",Qualcomm SM6375 Snapdragon 695 5G (6 nm),6,Octa-core (2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver),Adreno 619,6,6,128,128,UFS,12.0,3,1.8,Yes,1/2.8,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.1,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,21,,No,,,115.89,99.99,,396008,1908,,683,-30.6,"Black, White, Mint, Lavender","XQ-CC54, XQ-CC72, SOG07",,,No
