Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Niu,NIU Andy C5.5E2I,https://www.gsmarena.com/niu_andy_c5_5e2i-7917.php,https://fdn2.gsmarena.com/vv/bigpic/niu-andy-c5.5e2i.jpg,GSM / UMTS,No,"2015, December. Released 2016, March",Discontinued,154.5 x 79 x 9.2 mm (6.08 x 3.11 x 0.36 in),128.0,,,Micro-SIM,IPS LCD,,5.5,720x1280,267,68.3,,Android 4.4 (KitKat),Mediatek MT6582M (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,8.0,1,,No,,No,"LED flash, panorama, HDR",1080p@30fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",3000,,,No,,,,,,,,,,,"Blue, Gun Metal",,,,Stereo FM radio
Niu,NIU Andy 3.5E2I,https://www.gsmarena.com/niu_andy_3_5e2i-7346.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-35E2I.jpg,GSM / UMTS / HSPA,No,"2015, February. Released 2015, March",Discontinued,115.5 x 62.8 x 10.7 mm (4.55 x 2.47 x 0.42 in),102.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"LCD, 256K colors",,3.5,320x480,165,50.3,,Android 4.4 (KitKat),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,5.0,1,,No,,No,"LED flash, panorama",480p@30fps,1.3,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1300,,,No,,,,,,,,,,,"Black, White, Blue, Green, Orange",,,,Stereo FM radio
Niu,NIU Andy 4E2I,https://www.gsmarena.com/niu_andy_4e2i-7347.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-4E2I.jpg,GSM / HSPA,No,"2015, January. Released 2015, March",Discontinued,121 x 64.6 x 10.7 mm (4.76 x 2.54 x 0.42 in),110.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",,4.0,480x800,233,58.3,,Android 4.4 (KitKat),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,5.0,1,,No,,No,"LED flash, panorama",480p@30fps,1.3,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1400,,,No,,,,,,,,,,,"Black, White, Red, Blue, Yellow",,,,Stereo FM radio
Niu,NIU Andy 5EI,https://www.gsmarena.com/niu_andy_5ei-7348.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-5EI.jpg,GSM / HSPA,No,"2014, May. Released 2014, July",Discontinued,142.8 x 73.4 x 9.5 mm (5.62 x 2.89 x 0.37 in),160.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",,5.0,480x854,196,65.7,,Android 4.2 (Jelly Bean),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,5.0,1,,No,,No,LED flash,480p@30fps,1.3,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1550,,,No,,,,,,,,,,,"Black, White, Red, Blue, Green",,,,Stereo FM radio
Niu,NIU Andy 5T,https://www.gsmarena.com/niu_andy_5t-7349.php,https://fdn2.gsmarena.com/vv/bigpic/niu-5t.jpg,GSM / HSPA,No,"2014, July. Released 2014, August",Discontinued,144 x 69.7 x 6.9 mm (5.67 x 2.74 x 0.27 in),123.0,,,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD,,5.0,720x1280,294,68.7,,Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1.0,1.0,4.0,4.0,,13.0,1,,No,,No,"LED flash, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",1800,,,No,,,,,,,,,,,"White, Black, Blue, Red",,,,Stereo FM radio
Niu,NIU C21A,https://www.gsmarena.com/niu_c21a-7350.php,https://fdn2.gsmarena.com/vv/bigpic/NIU--C21A.jpg,GSM,No,"2013, March. Released 2013, April",Discontinued,106 x 45 x 14.5 mm (4.17 x 1.77 x 0.57 in),73.0,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,1.8,128x160,114,21.4,,,,,,,0.031,0.031,0.031,0.031,,,1,,No,,No,,No,,No,,,No,No,2.0,Micro-USB,No,No,,600,,,No,,,,,,,,,,,"Black, White, Blue, Green, Purple, Red, Fuchsia",,,,Stereo FM radio
Niu,NIU F10,https://www.gsmarena.com/niu_f10-7351.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-F10.jpg,GSM,No,"2012, November. Released 2013, April",Discontinued,102 x 59 x 13.7 mm (4.02 x 2.32 x 0.54 in),72.0,,,Triple SIM (Mini-SIM),"TFT, 65K colors",,2.2,220x176,128,25.3,,,,,,,0.031,0.031,0.062,0.062,,1.3,1,,No,,No,,Yes,,No,,,No,No,2.1,Micro-USB,Yes,No,,600,,,No,,,,,,,,,,,"Black, Blue, Red, White",,,,Stereo FM radio
Niu,NIU Z10,https://www.gsmarena.com/niu_z10-7352.php,https://fdn2.gsmarena.com/vv/bigpic/NIU-Z10.jpg,GSM,No,"2013, November. Released 2014, January",Discontinued,113.2 x 55.5 x 14.5 mm (4.46 x 2.19 x 0.57 in),90.0,,,Dual SIM (Mini-SIM),"TFT, 65K colors",,2.0,144x176,114,20.1,,,,,,,0.031,0.031,0.031,0.031,,,1,,No,,No,,Yes,,No,,,No,No,2.1,Micro-USB,No,No,,1000,,,No,,,,,,,,,,,"Black, White, Blue",,,,Stereo FM radio; buit-in antenna
Niu,NIU Tek 5D,https://www.gsmarena.com/niu_tek_5d-7118.php,https://fdn2.gsmarena.com/vv/bigpic/niu-5d.jpg,GSM / HSPA,No,"2015, January. Released 2015, February",Discontinued,156.3 x 74.2 x 9.3 mm (6.15 x 2.92 x 0.37 in),150.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",,5.0,480x854,245,38.0,,Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,5.0,1,,No,,No,LED flash,480p@30fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Black,,,,Stereo FM radio
Niu,NIU Tek 4D2,https://www.gsmarena.com/niu_tek_4d2-6827.php,https://fdn2.gsmarena.com/vv/bigpic/niutek-4d2.jpg,GSM / HSPA,No,"2014, August. Released 2014, November",Discontinued,123 x 63 x 10.3 mm (4.84 x 2.48 x 0.41 in),152.0,,,Dual SIM (Mini-SIM/ Micro-SIM),TFT,,4.0,480x800,233,58.8,,Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,3.15,1,,No,,No,"LED flash, panorama",480p@30fps,1.3,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1200,,,No,,,,,,,,,,,"Black, Gray, White, Blue, Orange",,,,Stereo FM radio
