Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Posh,Posh Memo Pro LTE L600,https://www.gsmarena.com/posh_memo_pro_lte_l600-8537.php,https://fdn2.gsmarena.com/vv/bigpic/posh-l600.jpg,GSM / HSPA / LTE,No,"2016, August. Released 2016, December",Discontinued,161.5 x 85.6 x 7.9 mm (6.36 x 3.37 x 0.31 in),187.6,,,Dual SIM,IPS LCD,,6.0,720x1280,245,71.8,,Android 5.1 (Lollipop),Mediatek MT6735 (28 nm),28,Quad-core 1.0 GHz Cortex-A53,Mali-T720,1.0,1.0,16.0,16.0,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,2700,,,No,,,,,,,,,,,"Black, White",,,,FM radio
Posh,Posh Equal Plus X700,https://www.gsmarena.com/posh_equal_plus_x700-8536.php,https://fdn2.gsmarena.com/vv/bigpic/posh-x700.jpg,GSM / HSPA,No,"2016, September. Released 2017, January",Discontinued,192.1 x 107.9 x 9.9 mm (7.56 x 4.25 x 0.39 in),275.0,,,Dual SIM,IPS LCD,,7.0,600x1024,170,66.5,,Android 6.0 (Marshmallow),Mediatek MT8321 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,1.0,1.0,16.0,16.0,,5.0,1,,No,,No,LED flash,Yes,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,Accelerometer,2650,,,No,,,,,,,,,,,"Black, Silver, Rose Gold",,,,FM radio
Posh,Posh Ultra Max LTE L550,https://www.gsmarena.com/posh_ultra_max_lte_l550-8535.php,https://fdn2.gsmarena.com/vv/bigpic/posh-um-l550.jpg,GSM / HSPA / LTE,No,"2016, August. Released 2016, December",Discontinued,152.1 x 76.8 x 7.3 mm (5.99 x 3.02 x 0.29 in),177.0,,,Dual SIM,IPS LCD,,5.5,720x1280,267,71.4,,Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),28,Quad-core 1.25 GHz Cortex-A53,Mali-T720,1.0,1.0,16.0,16.0,eMMC 5.0,8.0,1,,No,,No,LED flash,1080p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",2700,,,No,,,,,,,,,,,"Black, Gold, White",,,,FM radio
Posh,Posh Kick Pro LTE L520,https://www.gsmarena.com/posh_kick_pro_lte_l520-8179.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Kick_Pro_LTE_L520.jpg,GSM / HSPA / LTE,No,"2015, November. Released 2016, April",Discontinued,142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),130.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,67.6,,Android 6.0 (Marshmallow),Mediatek MT6735P (28 nm),28,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,1.0,1.0,8.0,8.0,,8.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,"White, Gold, Gray",,,,No
Posh,Posh Optima LTE L530,https://www.gsmarena.com/posh_optima_lte_l530-8178.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Optima_LTE_L530.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, April",Discontinued,143.5 x 69.4 x 8 mm (5.65 x 2.73 x 0.31 in),133.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,69.2,,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),28,Octa-core 1.3 GHz Cortex-A53,Mali-400,2.0,2.0,16.0,16.0,,13.0,1,2.2,No,1/3.1,No,"Dual-LED flash, panorama, HDR",1080p@30fps,13.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",3000,,,No,,,,,,,,,,,"Black, Gold",,,,No
Posh,Posh Icon HD X551,https://www.gsmarena.com/posh_icon_hd_x551-8177.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Icon_HD_X551.jpg,GSM / HSPA,No,"2015, November. Released 2016, January",Discontinued,153.2 x 79 x 8.2 mm (6.03 x 3.11 x 0.32 in),115.0,,,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",IPS LCD,,5.5,720x1280,267,68.9,,Android 5.1 (Lollipop),Mediatek MT6580A (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1.0,1.0,16.0,16.0,,8.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,2.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",2100,,,No,,,,,,,,,,,"Dark Grey, White, Gold, Rose Gold, Silver",,,,FM radio
Posh,Posh Volt LTE L540,https://www.gsmarena.com/posh_volt_lte_l540-8176.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg,GSM / HSPA / LTE,No,"2016, March. Released 2016, May",Discontinued,143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in),167.5,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,66.6,,Android 5.1 (Lollipop),Mediatek MT6735P (28 nm),28,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,3.0,3.0,16.0,16.0,,8.0,1,2.4,No,1/4.0,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",4000,10,,No,,,,,,,,,,,"Grey, Gold, Rose Gold",,,,FM radio
Posh,Posh Volt Max LTE L640,https://www.gsmarena.com/posh_volt_max_lte_l640-8175.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Volt_Max_LTE_L640.jpg,GSM / HSPA / LTE,No,"2016, March. Released 2016, June",Discontinued,176 x 89.3 x 8.1 mm (6.93 x 3.52 x 0.32 in),230.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,6.44,1280x1920,358,78.6,,Android 5.1 (Lollipop),Mediatek MT6753 (28 nm),28,Octa-core 1.3 GHz Cortex-A53,Mali-T760MP2,3.0,3.0,32.0,64.0,,13.0,1,2.4,No,1/3.1,No,"LED flash, panorama, HDR",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot",No,4.1,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",6000,10,,No,,,,,,,,,,,"Grey, Gold, Rose Gold",,,,No
Posh,Posh Equal Pro LTE L700,https://www.gsmarena.com/posh_equal_pro_lte_l700-8174.php,https://fdn2.gsmarena.com/vv/bigpic/posh-Equal_Pro_LTE_L700.jpg,GSM / HSPA / LTE,No,"2016, February. Released 2016, March",Discontinued,192 x 101.6 x 8.4 mm (7.56 x 4.0 x 0.33 in),248.0,,,"Dual SIM (Micro-SIM/ Mini-SIM, dual stand-by)",IPS LCD,,6.95,720x1280,211,68.3,,Android 5.1 (Lollipop),Mediatek MT8735P,,Quad-core 1.0 GHz Cortex-A53,Mali-T720MP2,1.0,1.0,16.0,16.0,,5.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,2.0,No,,,"Wi-Fi 802.11 a/b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, compass",2800,,,No,,,,,,,,,,,"Black, White, Blue",,,,FM radio
Posh,Posh Primo Plus C353,https://www.gsmarena.com/posh_primo_plus_c353-7622.php,https://fdn2.gsmarena.com/vv/bigpic/posh-plus-c353.jpg,GSM / HSPA,No,"2015, May. Released 2015, August",Discontinued,116 x 63 x 10.4 mm (4.57 x 2.48 x 0.41 in),96.1,,,"Dual SIM (Mini-SIM, dual stand-by)",TFT,,3.5,320x480,165,49.9,,Android 4.4.2 (KitKat),Spreadtrum SC7715,,1.0 GHz,,0.25,0.25,0.5,0.5,,,1,,No,,No,,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.1,Micro-USB,Yes,No,Accelerometer,1300,,,No,,,,,,,,,,,"Black, White, Blue, Pink, Yellow",,,,FM radio
