Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Telit,Telit t800,https://www.gsmarena.com/telit_t800-1549.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t800.gif,GSM,No,"2006, Q1",Cancelled,95 x 49 x 16.7 mm (3.74 x 1.93 x 0.66 in),91.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,2.0,1,,No,,No,LED flash,Yes,,No,,,No,,,Proprietary,No,No,,860,,,No,,,,,,,,,,,Red,,,,No
Telit,Telit t250,https://www.gsmarena.com/telit_t250-1548.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t250.gif,GSM,No,"2006, Q1",Cancelled,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76.0,,,Mini-SIM,"TFT, 256K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,800,,,No,,,,,,,,,,,Black,,,,No
Telit,Telit t650,https://www.gsmarena.com/telit_t650-1547.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t650.gif,GSM,No,"2006, Q1",Cancelled,90 x 44 x 17 mm (3.54 x 1.73 x 0.67 in),90.0,,,Mini-SIM,"TFT, 256K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,LED flash,No,,No,,,No,,,Proprietary,No,No,,800,,,No,,,,,,,,,,,Black,,,,No
Telit,Telit t200,https://www.gsmarena.com/telit_t200-1546.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t200.gif,GSM,No,"2006, Q1",Discontinued,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),76.0,,,Mini-SIM,"TFT, 256K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,Proprietary,No,No,,730,,,No,,,,,,,,,,,Red,,,,No
Telit,Telit GU1100,https://www.gsmarena.com/telit_gu1100-1540.php,https://fdn2.gsmarena.com/vv/bigpic/telit-gu1100.gif,GSM / UMTS,No,"2005, Q3",Discontinued,112 x 46.5 x 19.5 mm (4.41 x 1.83 x 0.77 in),103.0,,,Mini-SIM,"TFT, 256K colors",,,176x220,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,1.1,No,No,,,,,No,,,,,,,,,,,Silver,,,,No
Telit,Telit SP600,https://www.gsmarena.com/telit_sp600-1539.php,https://fdn2.gsmarena.com/vv/bigpic/telit-sp600.gif,GSM,No,"2005, Q2",Discontinued,109 x 47.7 x 17.7 mm (4.29 x 1.88 x 0.70 in),99.0,,,Mini-SIM,"TFT, 65K colors",,,176x220,,,,Microsoft Windows Mobile 2003 SE Smartphone,,,,,,,,,,1.3,1,,No,,No,,Yes,,No,,,No,,,1.1,No,No,,1000,,,No,,,,,,,,,,,Silver,,,,No
Telit,Telit t550,https://www.gsmarena.com/telit_t550-1538.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t550.gif,GSM,No,"2005, Q1",Discontinued,105 x 49.6 x 15.8 mm (4.13 x 1.95 x 0.62 in),98.0,,,Mini-SIM,"TFT, 256K colors",,,128x160,,,,,,,,,,,,,,1.3,1,,No,,No,LED flash,Yes,,No,,,No,,,Proprietary,No,No,,860,,,No,,,,,,,,,,,Black,,,,No
Telit,Telit t420,https://www.gsmarena.com/telit_t420-1537.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t420.gif,GSM,No,"2005, Q1",Discontinued,62 x 64 x 23 mm (2.44 x 2.52 x 0.91 in),82.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,No,No,No,,650,,,No,,,,,,,,,,,Black,,,,No
Telit,Telit t180,https://www.gsmarena.com/telit_t180-1661.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t180.gif,GSM,No,"2006, Q2",Discontinued,100 x 45 x 18 mm (3.94 x 1.77 x 0.71 in),76.0,,,Mini-SIM,"CSTN, 65K colors",,,128x128,,,,,,,,,,,,,,,1,,No,,No,,No,,No,,,No,,,No,No,No,,650,,,No,,,,,,,,,,,"Navy Blue, Lacquered White",,,,No
Telit,Telit t410,https://www.gsmarena.com/telit_t410-1536.php,https://fdn2.gsmarena.com/vv/bigpic/telit-t410.gif,GSM,No,"2005, Q1",Discontinued,52 x 57 x 23 mm (2.05 x 2.24 x 0.91 in),76.0,,,Mini-SIM,"TFT, 65K colors",,,128x160,,,,,,,,,,,,,,,1,,No,,No,,Yes,,No,,,No,,,No,No,No,,650,,,No,,,,,,,,,,,Black,,,,No
