Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Unnecto,Unnecto Bolt,https://www.gsmarena.com/unnecto_bolt-8283.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-bolt.jpg,GSM / HSPA / LTE,No,"2016, June. Released 2016, August",Discontinued,145.2 x 73.5 x 9.2 mm (5.72 x 2.89 x 0.36 in),170.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,64.6,,Android 5.1 (Lollipop),,,Quad-core 1.1 GHz,Adreno 304,1.0,1.0,8.0,8.0,,8.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,"Black, Silver",,1.25 W/kg (head) 1.15 W/kg (body),,No
Unnecto,Unnecto Neo V,https://www.gsmarena.com/unnecto_neo_v-8282.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-neo-v.jpg,GSM / HSPA,No,"2016, May. Released 2016, July",Discontinued,143.5 x 70.5 x 9.2 mm (5.65 x 2.78 x 0.36 in),177.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,480x854,196,68.1,,Android 5.1 (Lollipop),,,Quad-core 1.3 GHz Cortex-A7,Mali-400,1.0,1.0,8.0,8.0,,8.0,1,,No,,No,"Dual-LED flash, HDR, panorama",720p@30fps,1.3,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,"Black, White, Blue",,0.62 W/kg (head) 0.96 W/kg (body),,Stereo FM radio
Unnecto,Unnecto Quattro S,https://www.gsmarena.com/unnecto_quattro_s-8281.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-s.jpg,GSM / HSPA,No,"2016, May. Released 2016, July",Discontinued,124.5 x 64.5 x 10.2 mm (4.90 x 2.54 x 0.40 in),113.0,,,"Dual SIM (Micro-SIM, dual stand-by)","TFT, 256K colors",,4.0,480x800,233,56.7,,Android 5.1 (Lollipop),,,Quad-core 1.2 GHz,Mali-400,1.0,1.0,8.0,8.0,,5.0,1,,No,,No,"LED flash, HDR, panorama",720p@30fps,1.3,No,,,Wi-Fi 802.11 a/b/g/n,No,2.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",1400,,,No,,,,,,,,,,,"Black, White, Navy",,,,Stereo FM radio
Unnecto,Unnecto Quattro V,https://www.gsmarena.com/unnecto_quattro_v-8280.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-quattro-v.jpg,GSM / HSPA,No,"2016, May. Released 2016, July",Discontinued,120.3 x 63.2 x 11.7 mm (4.74 x 2.49 x 0.46 in),163.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,4.0,480x800,233,59.9,,Android 5.1 (Lollipop),,,Quad-core 1.3 GHz Cortex-A7,Mali-400,1.0,1.0,8.0,8.0,,5.0,1,,No,,No,"LED flash, HDR, panorama",720p@30fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1600,,,No,,,,,,,,,,,"Black, White, Blue",,0.87 W/kg (head) 1.02 W/kg (body),,Stereo FM radio
Unnecto,Unnecto Drone XS,https://www.gsmarena.com/unnecto_drone_xs-8279.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xs.jpg,GSM / HSPA,No,"2016, May. Released 2016, June",Discontinued,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),113.0,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,3.5,320x480,165,52.0,,Android 4.4 (KitKat),,,1.2 GHz Cortex-A7,Mali-400,0.5,0.5,4.0,4.0,,3.0,1,,No,,No,"LED flash, HDR, panorama",720p@30fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,"Accelerometer, gyro, proximity",1100,,,No,,,,,,,,,,,"Black, White, Blue",,,,Stereo FM radio
Unnecto,Unnecto Primo 2G,https://www.gsmarena.com/unnecto_primo_2g-8278.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-primo-2g.jpg,GSM,No,"2016, March. Released 2016, April",Discontinued,110.5 x 43 x 13.7 mm (4.35 x 1.69 x 0.54 in),73.0,,,Mini-SIM,TFT,,1.8,128x160,114,21.5,,,,,,,0.031,0.031,0.031,0.031,,1.0,1,,No,,No,,720p@30fps,,No,,,No,No,2.0,Micro-USB,Yes,No,,800,,,No,,,,,,,,,,,Black/Grey,,,,Stereo FM radio
Unnecto,Unnecto Omnia,https://www.gsmarena.com/unnecto_omnia-7888.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-omnia.jpg,GSM / HSPA / LTE,No,"2015, January. Released 2015, March",Discontinued,142.9 x 72.6 x 8.9 mm (5.63 x 2.86 x 0.35 in),163.0,,,Dual SIM,IPS LCD,,5.0,720x1280,294,66.4,,Android 5.1 (Lollipop),,,Quad-core 1.0 GHz,Mali-T720,1.0,1.0,8.0,8.0,,8.0,1,,No,,No,LED flash,1080p@30fps,3.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,2000,,,No,,,,,,,,,,,"Black, White, Gray",,,,FM radio
Unnecto,Unnecto Swift,https://www.gsmarena.com/unnecto_swift-7887.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-swift.jpg,GSM / HSPA / LTE,No,"2015, January. Released 2015, March",Discontinued,119.3 x 63 x 10 mm (4.70 x 2.48 x 0.39 in),120.5,,,Dual SIM,IPS LCD,,4.0,480x800,233,60.6,,Android 5.1 (Lollipop),,,Quad-core 1.0 GHz,Mali-T720,1.0,1.0,8.0,8.0,,5.0,1,,No,,No,LED flash,1080p@30fps,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1600,,,No,,,,,,,,,,,"Black, White, Blue",,,,FM radio
Unnecto,Unnecto Quattro X,https://www.gsmarena.com/unnecto_quattro_x-7021.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-qx.jpg,GSM / HSPA,No,"2015, January. Released 2015, January",Discontinued,123 x 64 x 9.2 mm (4.84 x 2.52 x 0.36 in),120.0,,,Dual SIM (dual stand-by),IPS LCD,,4.0,480x800,233,57.9,,Android 4.4.2 (KitKat),,,Dual-core 1.3 GHz,Mali-400,0.5,0.5,4.0,4.0,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1600,,,No,,,,,,,,,,,"Black, White, Blue",,,,FM radio
Unnecto,Unnecto Drone XL,https://www.gsmarena.com/unnecto_drone_xl-7020.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-xl.jpg,GSM / HSPA,No,"2015, January. Released 2015, March",Discontinued,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),110.0,,,Dual SIM (dual stand-by),IPS LCD,,3.5,320x480,165,52.0,,Android 4.4.2 (KitKat),,,1.2 GHz,Mali-400,0.25,0.25,0.5,0.5,,3.15,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1100,,,No,,,,,,,,,,,"Black, White, Blue",,,,FM radio
Unnecto,Unnecto Drone X,https://www.gsmarena.com/unnecto_drone_x-7019.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-drone-x1.jpg,GSM / HSPA,No,"2015, January. Released 2015, January",Discontinued,115 x 61 x 10.5 mm (4.53 x 2.40 x 0.41 in),152.0,,,Dual SIM (dual stand-by),IPS LCD,,3.5,320x480,165,52.0,,Android 4.4.2 (KitKat),,,1.2 GHz,Mali-400,0.25,0.25,0.5,0.5,,3.15,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1100,,,No,,,,,,,,,,,"Black, White, Blue",,,,FM radio
Unnecto,Unnecto Air 5.5,https://www.gsmarena.com/unnecto_air_5_5-7018.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-551.jpg,GSM / HSPA,No,"2015, January. Released 2015, February",Discontinued,153 x 76 x 8.5 mm (6.02 x 2.99 x 0.33 in),156.0,,,Dual SIM (dual stand-by),IPS LCD,,5.5,720x1280,267,71.7,,Android 4.4.2 (KitKat),,,Quad-core 1.3 GHz,Mali-450MP4,1.0,1.0,8.0,8.0,,13.0,1,,No,,No,"LED flash, HDR",1080p@60fps,5.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,2100,,,No,,,,,,,,,,,"Black, White, Gray",,,,FM radio
Unnecto,Unnecto Air 5.0,https://www.gsmarena.com/unnecto_air_5_0-7017.php,https://fdn2.gsmarena.com/vv/bigpic/unnecto-air-51.jpg,GSM / HSPA,No,"2015, January. Released 2015, February",Discontinued,143.5 x 71.6 x 7.9 mm (5.65 x 2.82 x 0.31 in),,,,Dual SIM (dual stand-by),IPS LCD,,5.0,720x1280,294,67.1,,Android 4.4.2 (KitKat),,,Quad-core 1.3 GHz,Mali-450MP4,1.0,1.0,8.0,8.0,,12.0,1,,No,,No,"LED flash, HDR",1080p@60fps,3.0,No,,,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",No,4.0,Micro-USB,Yes,GPS,Accelerometer,1900,,,No,,,,,,,,,,,"Black, White, Gray",,,,FM radio
