Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Asus,Asus Zenfone 12 Ultra,https://www.gsmarena.com/asus_zenfone_12_ultra-13653.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-12-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, February 06","Available. Released 2025, February 28",163.8 x 77 x 8.9 mm (6.45 x 3.03 x 0.35 in),220.0,Glass,IP68,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"LTPO AMOLED, 144Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",144,6.78,1080x2400,388,88.0,Gorilla Glass Victus,"Android 15, upgradable to Android 16, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,12,16,256,512,UFS 4.0,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500,65,15,No,Active use score 15:50h,,,2129.0,,2702580,9695,5678,1965,-27.7,"Ebony Black, Sakura White, Sage Green","AI2501, AI2501H, I2501C, AI2501B",,,No
Asus,Asus ROG Phone 9 Pro,https://www.gsmarena.com/asus_rog_phone_9_pro-13469.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, November 19","Available. Released 2024, November 20",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),227.0,Glass,IP68,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 185Hz, 670Hz PWM, HDR10, 1600 nits (HBM), 2500 nits (peak)",185,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 15, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,16,24,512,512,UFS 4.0 NTFS support for external storage,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5800,65,15,No,Active use score 16:41h,,800.0,,,3042971,10179,6718,1958,-26.7,Phantom Black,"AI2501-16G512G-BK, AI2501-24G1T-BK",,,No
Asus,Asus ROG Phone 9 FE,https://www.gsmarena.com/asus_rog_phone_9_fe-13641.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9-fe.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, February 04","Available. Released 2025, February 04",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225.0,Glass,IP68,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",185,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 15, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,16,16,256,256,UFS 4.0 NTFS support for external storage,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500,65,15,No,,,860.0,,,,,,,,Phantom Black,AI2401,,,No
Asus,Asus ROG Phone 9,https://www.gsmarena.com/asus_rog_phone_9-13503.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-9.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, November 19","Available. Released 2024, November 20",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),227.0,Glass,IP68,· Nano-SIM + eSIM · Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 185Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",185,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 15, upgradable to Android 16, up to 2 major Android upgrades",Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,12,16,256,512,UFS 4.0 NTFS support for external storage,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@30fps, 4K@30/60/120fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5800,65,15,No,Active use score 16:41h,,2020.0,,,3007932,10083,6718,1958,-26.7,"Phantom Black, Storm White","AI2501-12G256G-BK, AI2501-12G256G-WH, AI2501-16G512G-WH, AI2501-16G512G-BK",,,No
Asus,Asus Zenfone 11 Ultra,https://www.gsmarena.com/asus_zenfone_11_ultra-12820.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-11-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, March 14","Available. Released 2024, April 14",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),224.0,Glass,IP68,Nano-SIM + Nano-SIM,"LTPO AMOLED, 144Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",144,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,12,16,256,512,UFS 4.0,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500,65,15,No,Active use score 16:28h,,,1749.0,,1640547,5699,5246,1773,-26.6,"Eternal Black, Skyline Blue, Misty Gray, Desert Sand","AI2401, ASUS_AI2401_H",,,No
Asus,Asus ROG Phone 8 Pro,https://www.gsmarena.com/asus_rog_phone_8_pro-12746.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8-pro.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225.0,Glass,IP68,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",165,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,16,24,512,512,UFS 4.0 NTFS support for external storage,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500,65,15,No,Active use score 14:43h,,752.55,,,1639368,6542,,1765,-26.3,Phantom Black,"AI2401, AI2401_A, AI2401_D",,,No
Asus,Asus ROG Phone 8,https://www.gsmarena.com/asus_rog_phone_8-12780.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-8.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2024, January 08","Available. Released 2024, January 18",163.8 x 76.8 x 8.9 mm (6.45 x 3.02 x 0.35 in),225.0,Glass,IP68,Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 165Hz, HDR10, 1600 nits (HBM), 2500 nits (peak)",165,6.78,1080x2400,388,88.2,Gorilla Glass Victus,"Android 14, up to 2 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,12,16,256,256,UFS 4.0 NTFS support for external storage,50.0,3,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5500,65,15,No,,,1500.0,,,,,,,,"Phantom Black, Rebel Grey","AI2401, AI2401_A",,,No
Asus,Asus Zenfone 10,https://www.gsmarena.com/asus_zenfone_10-12380.php,https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone10.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, June 29","Available. Released 2023, July 10",146.5 x 68.1 x 9.4 mm (5.77 x 2.68 x 0.37 in),172.0,Glass,IP68,Nano-SIM + Nano-SIM,"Super AMOLED, 144Hz, HDR10+, 800 nits (HBM), 1100 nits (peak)",144,5.92,1080x2400,445,84.8,Gorilla Glass Victus,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,8,16,128,512,UFS 4.0,50.0,2,1.9,Yes,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60fps; gyro-EIS, HDR",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.3,Type-C,Yes,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",4300,30,15,No,Active use score 13:05h,,2140.0,,,1314458,5149,,807,-27.1,"Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White",AI2302,,,No
Asus,Asus ROG Phone 7 Ultimate,https://www.gsmarena.com/asus_rog_phone_7_ultimate-12224.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7-ultimate.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239.0,Glass,IP54,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)",165,6.78,1080x2448,395,82.2,Gorilla Glass Victus,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,16,16,512,512,UFS 4.0 NTFS support for external storage,50.0,3,1.9,No,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.3,Type-C,Yes,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6000,65,,No,,,780.0,,,1325105,5139,,1095,-25.5,Storm White,,,,No
Asus,Asus ROG Phone 7,https://www.gsmarena.com/asus_rog_phone_7-12223.php,https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2023, April 13","Available. Released 2023, May",173 x 77 x 10.3 mm (6.81 x 3.03 x 0.41 in),239.0,Glass,IP54,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 165Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak)",165,6.78,1080x2448,395,82.2,Gorilla Glass Victus,"Android 13, up to 2 major Android upgrades",Qualcomm SM8550-AB Snapdragon 8 Gen 2 (4 nm),4,Octa-core (1x3.2 GHz Cortex-X3 & 2x2.8 GHz Cortex-A715 & 2x2.8 GHz Cortex-A710 & 3x2.0 GHz Cortex-A510),Adreno 740,12,16,256,512,UFS 4.0 NTFS support for external storage,50.0,3,1.9,No,1/1.56,Yes,"LED flash, HDR, panorama","8K@24fps, 4K@30/60fps, 1080p@30/60/120/240fps, 720p@480fps; gyro-EIS, HDR10+",32.0,No,"Panorama, HDR",1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, tri-band, Wi-Fi Direct",Yes,5.3,Type-C,Yes,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B2a+B2c), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6000,65,,No,Active use score 14:51h,,740.0,,,1333597,5098,,1051,-26.0,"Phantom Black, Storm White",AI2205_C,,,No
