Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Htc,HTC Wildfire E5 Life,https://www.gsmarena.com/htc_wildfire_e5_life-14222.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5-life.jpg,GSM / HSPA / LTE,No,"2025, Q3","Available. Released 2025, Q3",155.6 x 77.8 x 10.2 mm (6.13 x 3.06 x 0.40 in),188.0,Glass,,Nano-SIM + Nano-SIM,TFT LCD,,5.5,540x960,200,68.9,,Android 14 (Go edition),Unisoc SC9832E (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T820 MP1,3,3,32,32,eMMC 5.1,5.0,1,,No,,No,LED flash,540p,2.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,No,3000,,,No,,,30.0,,,,,,,,Gray,,,,Unspecified
Htc,HTC Wildfire E6,https://www.gsmarena.com/htc_wildfire_e6-14070.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e6.jpg,GSM / HSPA / LTE,No,"2025, June 10","Available. Released 2025, July",-,,Glass,,Nano-SIM + Nano-SIM,TFT LCD,,6.0,720x1600,292,,,Android 13 (Go edition),,,,,2,2,32,32,,5.0,1,,No,,No,LED flash,Yes,5.0,No,,Yes,Yes,No,,Type-C,Yes,Unspecified,Accelerometer,3000,,,No,,,40.0,,,,,,,,Gray,,,,Unspecified
Htc,HTC Wildfire E6 Star,https://www.gsmarena.com/htc_wildfire_e6_star-14069.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e6-star-.jpg,GSM / HSPA / LTE,No,"2025, June 10","Available. Released 2025, July",-,,Glass,,Nano-SIM + Nano-SIM,TFT LCD,,6.56,720x1600,267,,,Android 13 (Go edition),,,,,2,2,32,32,,5.0,1,,No,,No,LED flash,Yes,5.0,No,,Yes,Yes,No,,Type-C,Yes,Unspecified,Accelerometer,3000,,,No,,,40.0,,,,,,,,Black,,,,Unspecified
Htc,HTC Wildfire E4 Plus,https://www.gsmarena.com/htc_wildfire_e4_plus-14068.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e4-plus.jpg,GSM / HSPA / LTE,No,"2025, June 20","Available. Released 2025, June 20",-,,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,128,128,,50.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,Yes,No,,Type-C,Yes,"GPS, GLONASS, GALILEO",Fingerprint (side-mounted); unspecified sensors,5000,10,,No,,,100.0,,,,,,,,"Black, Light Blue",,,,Unspecified
Htc,HTC Wildfire E5,https://www.gsmarena.com/htc_wildfire_e5-14067.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5.jpg,GSM / HSPA / LTE,No,"2025, June 18","Available. Released 2025, July 04",-,,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,,,Android 14,Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,64,,16.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Yes,No,,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,5000,10,,No,,,80.0,,,,,,,,Black,,,,Unspecified
Htc,HTC Wildfire E5 Plus,https://www.gsmarena.com/htc_wildfire_e5_plus-13719.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e5-plus.jpg,GSM / HSPA / LTE,No,"2025, February 15","Available. Released 2025, March 11",168.4 x 77.9 x 9.5 mm (6.63 x 3.07 x 0.37 in),218.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,83.9,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,6,128,128,,50.0,2,1.8,No,,No,LED flash,1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,,,No,,,90.0,,,,,,,,"Gray, Blue",,,,Unspecified
Htc,HTC U24 Pro,https://www.gsmarena.com/htc_u24_pro-13138.php,https://fdn2.gsmarena.com/vv/bigpic/htc-u24-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2024, June 12","Available. Released 2024, July 01",167.1 x 74.9 x 9 mm (6.58 x 2.95 x 0.35 in),198.7,Glass,IP67,Nano-SIM + Nano-SIM,"OLED, 120Hz",120,6.8,1080x2436,392,88.3,Corning Gorilla Glass (unspecified versi,Android 14,Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),4,Octa-core (1x2.63 GHz Cortex-A715 & 4x2.4 GHz Cortex-A715 & 3x1.8 GHz Cortex-A510),Adreno 720,12,12,256,512,UFS 3.1,50.0,3,1.9,Yes,1/4.0,Yes,"Dual-LED flash, HDR, panorama, Best Take","4K@30fps (HDR), 1080p@30fps, gyro-EIS, OIS",50.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,5.3,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",4600,60,15,Yes,,469.99,,,,,,,,,"Space Blue, Twilight White",,,,No
Htc,HTC A101 Plus,https://www.gsmarena.com/htc_a101_plus-12975.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a101-plus.jpg,GSM / HSPA / LTE,No,"2024, May 03","Available. Released 2024, May 03",256.6 x 168.2 x 7.5 mm (10.10 x 6.62 x 0.30 in),501.0,,,Nano-SIM + Nano-SIM,IPS LCD,,10.95,1200x1920,207,80.6,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,128,128,,13.0,2,,No,,No,LED flash,1080p,8.0,No,,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,Unspecified,Yes,7000,10,,No,,,150.0,,,,,,,,"Gray, Silver",,,,No
Htc,HTC A104,https://www.gsmarena.com/htc_a104-12976.php,https://fdn2.gsmarena.com/vv/bigpic/htc-a104.jpg,GSM / HSPA / LTE,No,"2023, July 12","Available. Released 2023, July",245.6 x 155.4 x 8 mm (9.67 x 6.12 x 0.31 in),460.0,,,Nano-SIM + Nano-SIM,IPS LCD,,10.36,1200x2000,225,80.0,,Android 13,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,128,128,,5.0,1,2.2,No,,No,LED flash,1080p,5.0,No,,1080p,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,No,"GPS, GLONASS, GALILEO","Accelerometer, gyro",7000,10,,No,,,180.0,,,,,,,,"Black, Silver",,,,No
Htc,HTC Wildfire E star,https://www.gsmarena.com/htc_wildfire_e_star-12454.php,https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-star.jpg,GSM / HSPA / LTE,No,"2023, August 08","Available. Released 2023, August",164.8 x 76.5 x 9.2 mm (6.49 x 3.01 x 0.36 in),200.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,81.4,,Android 12 (Go edition),Unisoc SC9832E (28 nm),28,Quad-core 1.4 GHz,Mali-T820 MP1,2,2,16,16,eMMC 5.1,8.0,1,2.2,No,,No,LED flash,1080p@30fps,5.0,No,,720p@30fps,Wi-Fi 802.11 a/b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity",3000,,,No,,,100.0,,,,,,,,Gray,,,,Unspecified
