Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Lenovo,Lenovo Legion Y70 (2026),https://www.gsmarena.com/lenovo_legion_y70_5g_(2026)-14666.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y70-2026.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 19","Coming soon. Exp. release 2026, June 09",-,224.0,Glass,IP68,Nano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time),"LTPO OLED, 1B colors, 144Hz, HDR10+, Dolby Vision, 7000 nits (peak)",144,6.82,1440x3168,510,,,Android 16,Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),3,Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,12,16,256,512,UFS 4.1,50.0,3,1.8,Yes,1/1.56,Yes,"LED flash, HDR, panorama, Pantone Validated Colour and Skin Tones","8K@30fps, 4K@30/60fps, 1080p@30/60/240fps, gyro-EIS",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",8000,90,,No,,,390.0,,,,,,,,"Black, White",,,,No
Lenovo,Lenovo Idea Tab Pro Gen 2,https://www.gsmarena.com/lenovo_idea_tab_pro_gen_2-14575.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab-pro-gen2.jpg,No cellular connectivity,No,"2026, March 02","Available. Released 2026, March",296.5 x 191.9 x 6.2 mm (11.67 x 7.56 x 0.24 in),598.0,Glass,,No,"IPS LCD, 144Hz, Dolby Vision, 800 nits",144,13.0,3504x2190,318,86.1,Mohs level 5,"Android 16, up to 2 major Android upgrades",Qualcomm SM8735 Snapdragon 8s Gen 4 (4 nm),4,Octa-core (1x3.21 GHz Cortex-X4 & 3x3.0 GHz Cortex-A720 & 2x2.8 GHz Cortex-A720 & 2x2.0 GHz Cortex-A720),Adreno 825,8,12,128,512,UFS 3.1 - 128GB only UFS 4.0,13.0,1,,No,,No,LED flash,Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, Wi-Fi Direct",No,6.0,Type-C,No,"GPS, GALILEO, GLONASS","Fingerprint (side-mounted), accelerometer, gyro, proximity (accessories only)",10200,45,,No,,,550.0,,,,,,,,"Luna Grey, Cloud Grey, Jelly Mint",TB390FU,,,No
Lenovo,Lenovo ThinkTab X11 Gen 1,https://www.gsmarena.com/lenovo_thinktab_x11_gen_1-14576.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-thinktab-x11.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, April",257.1 x 168.7 x 9.9 mm (10.12 x 6.64 x 0.39 in),650.0,,IP68,Nano-SIM + eSIM - cellular model only,"IPS LCD, 90Hz, 800 nits (HBM)",90,10.95,2560x1600,276,80.2,Corning Gorilla Glass,Android 16,Qualcomm SM7635 Snapdragon 7s Gen 3 (4 nm),4,Octa-core (1x2.5 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,8,128,256,UFS 3.1,13.0,1,,No,,No,LED flash,Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS - cellular model only","Fingerprint (side-mounted), accelerometer, gyro, proximity (accessories only), compass",10200,45,,No,,,500.0,,,,,,,,Gray,"TB353FU, TB353ZU",,,No
Lenovo,Lenovo Legion Y700 (Gen 5),https://www.gsmarena.com/lenovo_legion_y700_(gen_5)-14549.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-gen5.jpg,No cellular connectivity,No,"2026, March 18","Available. Released 2026, March 21",-,,Glass,,No,"IPS LCD, 68B colors, 165Hz, Dolby Vision, HDR, 800 nits (typ)",165,8.8,1904x3040,408,,,Android 16,Qualcomm SM8850-AC Snapdragon 8 Elite Gen 5 (3 nm),3,Octa-core (2x4.6 GHz Oryon V3 Phoenix L + 6x3.62 GHz Oryon V3 Phoenix M),Adreno 840,12,24,256,512,UFS 4.1 Pro,50.0,1,,No,,No,LED flash,Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6/7 dual-band, hotspot",No,,Type-C,No,No,Unspecified,9000,68,,No,,,550.0,,,,,,,,"Black, White","TB323FU, ZAH20097CN",,,Unspecified
Lenovo,Lenovo Idea Tab Plus,https://www.gsmarena.com/lenovo_idea_tab_plus_5g-14214.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab-plus.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 05","Available. Released 2025, October",278.8 x 181.1 x 6.3 mm (10.98 x 7.13 x 0.25 in),530.0,Glass,,Nano-SIM - cellular model only,"IPS LCD, 90Hz, 600 nits (typ), 800 nits (HBM)",90,12.1,2560x1600,249,84.1,Mohs level 5,"Android 15, up to 2 major Android upgrades",Mediatek Dimensity 6400 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,12,128,256,UFS 2.2,13.0,1,,No,,No,,Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",No,5.2,Type-C,No,"GPS, GALILEO, GLONASS","Accelerometer, proximity (accessories only)",10200,45,,No,,,300.0,,,,,,,,"Cloud grey, Luna grey, Sand rose","TB361ZU, TB361FU, ZAG70922US",,,No
Lenovo,Lenovo Idea Tab,https://www.gsmarena.com/lenovo_idea_tab_5g-14215.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-idea-tab.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 07","Available. Released 2025, October",254.6 x 166.2 x 7 mm (10.02 x 6.54 x 0.28 in),480.0,Glass,,Nano-SIM - cellular model only,"IPS LCD, 90Hz, 500 nits",90,11.0,2560x1600,274,82.9,Mohs level 5,"Android 15, up to 2 major Android upgrades",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,UFS 2.2,8.0,1,,No,,No,,Yes,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",No,5.2,Type-C,Yes,"GPS, GALILEO, GLONASS","Accelerometer, proximity (accessories only)",7040,20,,No,,,200.0,,,,,,,,"Luna grey, Polar blue","TB336FU, TB336ZU",,,No
Lenovo,Lenovo Yoga Tab,https://www.gsmarena.com/lenovo_yoga_tab-14213.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab.jpg,No cellular connectivity,No,"2025, September 05","Available. Released 2025, September",255.5 x 165.8 x 8.3 mm (10.06 x 6.53 x 0.33 in),458.0,Glass,,No,"IPS LCD, 144Hz, Dolby Vision, 650 nits (typ), 800 nits (peak)",144,11.1,3200x2000,340,84.3,Gorilla Glass 7i,"Android 15, up to 3 major Android upgrades",Qualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm),4,Octa-core (1x3.3 GHz Cortex-X4 & 3x3.2 GHz Cortex-A720 & 2x3.0 GHz Cortex-A720 & 2x2.3 GHz Cortex-A520),Adreno 750,8,12,256,256,UFS 4.0,13.0,2,2.2,No,,No,LED flash,Yes,13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",No,5.4,Type-C,No,No,"Fingerprint (side-mounted), accelerometer, gyro, proximity (accessories only)",8860,45,,No,,,570.0,,,,,,,,"Luna Grey, Seashell","ZAG60266US, TB710FU",,,No
Lenovo,Lenovo Tab,https://www.gsmarena.com/lenovo_tab-14075.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab.jpg,GSM / HSPA / LTE,No,"2025, August 14","Available. Released 2025, August 18",235.7 x 154.5 x 7.5 mm (9.28 x 6.08 x 0.30 in),425.0,Glass,,Nano-SIM (cellular model only),"IPS LCD, 400 nits (typ)",,10.1,1200x1920,224,81.2,,Android 14,Mediatek Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,4,64,128,eMMC 5.1,8.0,1,,No,,No,,1080p,5.0,No,,720p,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS - cellular model only","Accelerometer, proximity (accessories only)",5100,15,,No,,,110.0,,,,,,,,"Polar Blue, Luna Grey","ZAEH0019IN, ZAEH0180IN, ZAEJ0054IN",,,FM radio
Lenovo,Lenovo Tab One,https://www.gsmarena.com/lenovo_tab_one-14073.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k9.jpg,GSM / HSPA / LTE,No,"2025, March","Available. Released 2025, March",211 x 124.8 x 8.5 mm (8.31 x 4.91 x 0.33 in),320.0,Glass,,Nano-SIM (cellular model only),"TFT LCD, 480 nits (typ)",,8.7,800x1340,179,81.6,Mohs level 4,Android 14,Mediatek Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,4,64,128,eMMC 5.1,8.0,1,,No,,No,,1080p,2.0,No,,720p,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS - cellular model only","Accelerometer, proximity (accessories only)",5100,20,,No,,,90.0,,,,,,,,"Luna grey, Seafoam green",TB305FU,,,FM radio
Lenovo,Lenovo Legion Y700 (Gen 4),https://www.gsmarena.com/lenovo_legion_y700_(gen_4)-13993.php,https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-gen4.jpg,No cellular connectivity,No,"2025, May 08","Available. Released 2025, May",207.6 x 128.5 x 7 mm (8.17 x 5.06 x 0.28 in),346.7,Glass,,No,"IPS LCD, 68B colors, 165Hz, HDR, 600 nits (typ)",165,8.8,1904x3040,408,84.3,,Android 15,Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm),3,Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M),Adreno 830,12,16,256,512,UFS 4.1,50.0,1,,No,,No,LED flash,Yes,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6/7 dual-band, hotspot",No,,Type-C,No,No,Unspecified,7600,68,,No,,,400.0,,,,,,,,"Black, White","TB-322FC, TB322FC, ZAG40002CN",,,Unspecified
