Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Alcatel,alcatel A62,https://www.gsmarena.com/alcatel_a62-14319.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a62.jpg,GSM / HSPA / LTE,No,"2025, November 18","Available. Released 2025, November",-,,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.8,720x1600,258,,,Android 15,Unisoc T7200 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,64,64,,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,Yes,No,,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS",Fingerprint (side-mounted); unspecified sensors,5010,10,,No,,,70.0,,,,,,,,"Sky Blue, Dawn Gold, Black",,,,Unspecified
Alcatel,alcatel V3 Ultra,https://www.gsmarena.com/alcatel_v3_ultra_5g-13885.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 27","Available. Released 2025, June 02",167.6 x 75.5 x 8 mm (6.60 x 2.97 x 0.31 in),196.0,,IP54,Nano-SIM + eSIM,"IPS LCD, 120Hz, 650 nits",120,6.8,1080x2460,395,86.8,Mohs level 7,"Android 14, up to 3 major Android upgrades",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,8,128,128,,108.0,3,1.8,No,1/1.67,No,"LED flash, HDR",1080p@30fps,32.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.3,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",5010,33,,No,,,,,17999,,,,,,"Hyper Blue, Champagne Gold, Ocean Grey",T803D,,,FM radio
Alcatel,alcatel V3 Pro,https://www.gsmarena.com/alcatel_v3_pro_5g-13893.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 27","Available. Released 2025, June 02",165.6 x 76.2 x 8.2 mm (6.52 x 3.00 x 0.32 in),190.0,,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 570 nits (typ)",120,6.67,720x1600,263,85.1,Mohs level 5,"Android 15, up to 3 major Android upgrades",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,50.0,2,1.8,No,1/2.5,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",5200,18,,No,,,190.0,,,,,,,,"Matcha Green, Metallic Grey",T521D,,,FM radio
Alcatel,alcatel V3 Classic,https://www.gsmarena.com/alcatel_v3_classic_5g-13894.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-v3-classic.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 27","Available. Released 2025, June 02",165.6 x 76.2 x 8.2 mm (6.52 x 3.00 x 0.32 in),187.0,,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 570 nits",120,6.67,720x1600,262,85.8,Mohs level 5,"Android 15, up to 3 major Android upgrades",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,128,128,,50.0,1,1.8,No,1/2.5,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,Yes,"GPS, GLONASS, BDS, GALILEO","Accelerometer, proximity, compass",5200,18,,No,,,130.0,,,,,,,,"Halo White, Cosmic Grey",T519H,,,FM radio
Alcatel,alcatel 3 (2025),https://www.gsmarena.com/alcatel_3_(2025)-13886.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-3-2025.jpg,GSM / HSPA / LTE,No,"2025, May 21","Available. Released 2025, June",164.4 x 75.8 x 8.8 mm (6.47 x 2.98 x 0.35 in),185.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 400 nits",,6.52,576x1280,215,82.4,,Android 15 (Go edition),Unisoc SC9863A1 (22 nm),22,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,4,64,128,eMMC 5.1,8.0,1,1.8,No,1/4.0,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5010,10,,No,,,,,,,,,,,"Space Gray, Teal Blue",T451H,,,Unspecified
Alcatel,alcatel 1B (2022),https://www.gsmarena.com/alcatel_1b_(2022)-11706.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2022.jpg,GSM / HSPA / LTE,No,"2022, May 31","Available. Released 2022, May 31",146.7 x 71.9 x 10 mm (5.78 x 2.83 x 0.39 in),172.0,,,· Nano-SIM · Nano-SIM + Nano-SIM,TFT LCD,,5.5,720x1440,293,74.0,,Android 11 (Go edition),Mediatek MT6761 Helio A22 (12 nm),12,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8300,2,2,32,32,eMMC 5.1,8.0,1,2.0,No,1/4.0,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,5.0,Micro-USB,Yes,GPS,Accelerometer,3000,,,No,,,100.0,,,,,,,,"Prime Black, Atlantic Blue","5031D, 5031G, 5031A, 5031J",,,FM radio
Alcatel,alcatel 1L Pro (2021),https://www.gsmarena.com/alcatel_1l_pro_(2021)-10981.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-pro-2021.jpg,GSM / HSPA / LTE,No,"2021, June 25","Available. Released 2021, Q2",156.4 x 74.8 x 9.7 mm (6.16 x 2.94 x 0.38 in),190.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,6.1,720x1560,282,78.1,,Android 11 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,2,2,32,32,eMMC 5.1,13.0,2,2.2,No,1/3.06,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",3000,,,No,,,110.0,,,,,,,,"Power Grey, Twilight Blue",,,,FM radio
Alcatel,alcatel 1 (2021),https://www.gsmarena.com/alcatel_1_(2021)-10980.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2021.jpg,GSM / HSPA / LTE,No,"2021, June 25","Available. Released 2021, October 22",137.6 x 65.7 x 9.8 mm (5.42 x 2.59 x 0.39 in),134.0,,,· Nano-SIM · Nano-SIM + Nano-SIM,TFT LCD,,5.0,480x960,215,71.4,Asahi Glass,Android 11 (Go edition),Mediatek MT6739 (28 nm),28,Quad-core 1.28 GHz Cortex-A53,PowerVR GE8100,1,1,8,16,eMMC 5.1,5.0,1,2.4,No,1/5.0,No,LED flash,720p@30fps,2.0,No,,720p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,60.0,,,,,,,,"Volcano Black, AI Aqua",,,,FM radio
Alcatel,alcatel 3L (2021),https://www.gsmarena.com/alcatel_3l_(2021)-10679.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg,GSM / HSPA / LTE,No,"2021, January 12","Available. Released 2021, April 26",165.6 x 75.6 x 8.7 mm (6.52 x 2.98 x 0.34 in),194.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,82.0,,Android 11,Mediatek MT6762D Helio P22 (12 nm),12,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,4,4,64,64,eMMC 5.1,48.0,3,1.8,No,1/2.0,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",Yes,5.0,Micro-USB,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,10,,No,,,330.0,,,,,,,,"Jewelry Blue, Jewelry Black",6056D,,,FM radio
Alcatel,alcatel 1S (2021),https://www.gsmarena.com/alcatel_1s_(2021)-10680.php,https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021.jpg,GSM / HSPA / LTE,No,"2021, January 12","Available. Released 2021, March 25",165.6 x 75.6 x 8.8 mm (6.52 x 2.98 x 0.35 in),190.0,Glass,,· Nano-SIM · Nano-SIM + Nano-SIM,IPS LCD,,6.52,720x1600,269,82.0,,Android 11,Mediatek MT6762D Helio P22 (12 nm),12,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),PowerVR GE8320,3,3,32,32,eMMC 5.1,13.0,3,2.0,No,1/3.06,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,5.0,Micro-USB,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,10,,No,,,130.0,,,,,,,,"Elegant Black, Twilight Blue","6025H, 6025H_EEA, 6025D, 6025D_EEA",,,FM radio
