Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Blu,BLU Bold N3,https://www.gsmarena.com/blu_bold_n3-12603.php,https://fdn2.gsmarena.com/vv/bigpic/blu-bold-n3.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, July. Released 2023, August",Discontinued,164.2 x 74.7 x 8.8 mm (6.46 x 2.94 x 0.35 in),180.0,Glass,,Nano-SIM + Nano-SIM,"AMOLED, 120Hz",120,6.78,1080x2400,388,90.5,,Android 13,Mediatek Dimensity 7050 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,8,8,256,256,UFS 3.1,50.0,3,1.9,No,1/1.55,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16.0,Yes,,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.2,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",4700,66,,No,,,250.0,,,,,,,,Sage Green,,,,FM radio
Blu,BLU G93,https://www.gsmarena.com/blu_g93-12460.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g93.jpg,GSM / HSPA / LTE,No,"2023, June. Released 2023, July",Discontinued,168.7 x 76.7 x 9 mm (6.64 x 3.02 x 0.35 in),210.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,1080x2460,396,84.4,,Android 13,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,6,128,128,,50.0,3,1.8,No,,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity, compass",5000,18,,No,,,160.0,,,,,,,,"Black, Light Blue, Cream",,,,FM radio
Blu,BLU G73,https://www.gsmarena.com/blu_g73-12459.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g73.jpg,GSM / HSPA / LTE,No,"2023, June. Released 2023, June",Discontinued,168.3 x 78.8 x 9.9 mm (6.63 x 3.10 x 0.39 in),210.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.8,720x1600,258,84.2,,Android 13,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,6,128,128,,50.0,3,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",5000,18,,No,,,140.0,,,,,,,,"Blue, Grey, Orange, Burgundy",,,,FM radio
Blu,BLU G63,https://www.gsmarena.com/blu_g63-12458.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g63.jpg,GSM / HSPA / LTE,No,"2023, June. Released 2023, July",Discontinued,173 x 78 x 9.2 mm (6.81 x 3.07 x 0.36 in),230.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.8,720x1600,258,82.7,,Android 13,,,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,128,128,,13.0,2,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,,,No,,,120.0,,,,,,,,"Pearl, Black, Green, Purple",,,,FM radio
Blu,BLU G53,https://www.gsmarena.com/blu_g53-12457.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g53.jpg,GSM / HSPA / LTE,No,"2023, June. Released 2023, July",Discontinued,164.8 x 75.8 x 8.9 mm (6.49 x 2.98 x 0.35 in),200.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.5,720x1600,270,81.7,,Android 13,,,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),IMG8322,4,4,64,64,eMMC 5.1,13.0,2,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,,,No,,,100.0,,,,,,,,"Pearl, Black, Green, Violet, White",,,,FM radio
Blu,BLU G33,https://www.gsmarena.com/blu_g33-12456.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g33.jpg,GSM / HSPA / LTE,No,"2023, June. Released 2023, July",Discontinued,159.4 x 78.3 x 10.4 mm (6.28 x 3.08 x 0.41 in),215.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.26,480x960,171,81.0,,Android 13 (Go edition),,,Octa-core 1.6 GHz Cortex-A55,,2,2,16,16,eMMC 5.1,5.0,2,2.0,No,,No,LED flash,1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",No,4.2,Type-C,Yes,GPS,Accelerometer,3000,,,No,,,60.0,,,,,,,,"Black, Burgundy, Earthy, Green",,,,FM radio
Blu,BLU F92e,https://www.gsmarena.com/blu_f92e-12153.php,https://fdn2.gsmarena.com/vv/bigpic/blu-f92e-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2023, January 19. Released 2023, January 19",Discontinued,164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in),202.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.5,720x1600,270,81.5,,Android 12,Mediatek Dimensity 700 (7 nm),7,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,4,128,128,,50.0,3,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,13.0,No,,Yes,Wi-Fi 802.11 a/b/g/n/ac,No,5.0,Type-C,Yes,GPS,"Fingerprint (side-mounted), unspecified sensors",5000,10,,No,,,190.0,,,,,,,,"Blue, Black, Lime",,,,FM radio
Blu,BLU G72 Max,https://www.gsmarena.com/blu_g72_max-12110.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g72-max.jpg,GSM / HSPA / LTE,No,"2023, February 04. Released 2023, February 04",Discontinued,168.3 x 78.8 x 9.9 mm (6.63 x 3.10 x 0.39 in),209.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.8,720x1600,258,84.2,,Android 12,Mediatek MT6765 Helio G37 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,4,128,128,,13.0,3,,No,,No,LED flash,1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.1,Type-C,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",5000,,,No,,,,,,,,,,,"Gray, Mint, Orange",,,,Unspecified
Blu,BLU G52L,https://www.gsmarena.com/blu_g52l-12102.php,https://fdn2.gsmarena.com/vv/bigpic/blu-g52l.jpg,GSM / HSPA / LTE,No,"2023, January. Released 2023, February",Discontinued,164.5 x 76 x 9.2 mm (6.48 x 2.99 x 0.36 in),195.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.5,720x1600,270,81.6,,Android 12,,,Octa-core 1.6 GHz Cortex-A55,,2,2,64,64,eMMC 5.1,13.0,3,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 а/b/g/n, Wi-Fi Direct",No,4.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,,,No,,,90.0,,,,,,,,"Grey, Blue, Burgundy, Mint Blue",,,,FM radio
Blu,BLU Studio X5 Max,https://www.gsmarena.com/blu_studio_x5_max-11830.php,https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x5-max.jpg,GSM / HSPA / LTE,No,"2022, July. Released 2022, July",Discontinued,164.7 x 76 x 8.9 mm (6.48 x 2.99 x 0.35 in),202.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.7,480x960,188,67.0,,Android 11 (Go edition),,,Quad-core 1.3 GHz Cortex-A53,,2,2,32,32,eMMC 5.1,5.0,2,,No,,No,LED flash,720p@30fps,2.0,No,,720p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,Accelerometer,2700,,,No,,,50.0,,,,,,,,"Green, Bronze, Black, Blue",,,,FM radio
