Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Honor,Honor 600 Pro (China),https://www.gsmarena.com/honor_600_pro_5g_(china)-14680.php,https://fdn2.gsmarena.com/vv/bigpic/honor-600-pro-cn.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 25","Available. Released 2026, May 29",156.1 x 74.8 x 7.9 mm (6.15 x 2.94 x 0.31 in),202.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR Vivid, 800 nits (typ), 1800 nits (HBM), 8000 nits (peak)",120,6.57,1264x2728,458,91.0,Aluminosilicate glass,"Android 16, MagicOS 10",Mediatek Dimensity 8550 Elite (4 nm),4,Octa-core (1x3.4 GHz Cortex-A725 & 3x3.2 GHz Cortex-A725 & 4x2.2 GHz Cortex-A725),Mali-G720 MC8,12,16,256,512,,200.0,3,1.9,Yes,1/1.4,Yes,"Color spectrum sensor, Multi-focus LED flash, HDR, panorama","4K, 1080p, gyro-EIS, OIS",50.0,Yes,HDR,"4K, 1080p, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS (L1+L5), BDS (B1I+B1C+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L1+L5), GLONASS","Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass",8000,80,50,Yes,,,490.0,,,,,,,,"Black, Green, Blue, Purple",VKI-AN00,,,No
Honor,Honor 600 (China),https://www.gsmarena.com/honor_600_5g_(china)-14681.php,https://fdn2.gsmarena.com/vv/bigpic/honor-600-cn.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 25","Coming soon. Exp. release 2026, June 01",156 x 74.7 x 8 mm (6.14 x 2.94 x 0.31 in),201.0,Glass,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 8000 nits (peak)",120,6.57,1264x2728,458,91.2,Aluminosilicate glass,"Android 16, MagicOS 10",Qualcomm SM7750-AB Snapdragon 7 Gen 4 (4 nm),4,Octa-core (1x2.8 GHz Cortex-720 & 4x2.4 GHz Cortex-720 & 3x1.8 GHz Cortex-520),Adreno 722,12,12,256,512,,200.0,2,1.9,Yes,1/1.4,Yes,"Color spectrum sensor, Multi-focus LED flash, HDR, panorama","4K, 1080p, gyro-EIS, OIS",50.0,Yes,HDR,"4K, 1080p, gyro-EIS","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS (L1+L5), BDS (B1I+B1C+B2a+B2b), GALILEO (E1+E5a+E5b), QZSS (L1+L5), NavIC (L1+L5), GLONASS","Fingerprint (under display, optical), accelerometer, gyro, compass, proximity (ultrasound)",8600,80,,No,,,420.0,,,,,,,,"Black, Green, Blue, Purple",VKJ-AN00,,,No
Honor,Honor 600e,https://www.gsmarena.com/honor_600e_5g-14688.php,https://fdn2.gsmarena.com/vv/bigpic/honor-600e.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May","Available. Released 2026, May",157.4 x 75.4 x 7.3 mm (6.20 x 2.97 x 0.29 in),180.0,Glass,IP66,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, 800 nits (typ), 2000 nits (HBM), 6500 nits (peak)",120,6.6,1200x2600,434,90.1,Aluminosilicate glass,"Android 16, MagicOS 10",Mediatek Dimensity 7100 Elite (6 nm),6,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,8,8,512,512,,108.0,2,1.8,No,1/1.67,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, optical), accelerometer, compass, proximity (ultrasonic)",6520,45,,No,,,510.0,,,,,,,,"Velvet Gray, Desert Gold, Vital Green",LNA-NX3,,,Unspecified
Honor,Honor X7e,https://www.gsmarena.com/honor_x7e-14677.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x7e-.jpg,GSM / HSPA / LTE,No,"2026, May 19","Available. Released 2026, May",163.9 x 75.9 x 8.3 mm (6.45 x 2.99 x 0.33 in),200.0,Glass,IP64,Nano-SIM + Nano-SIM,"TFT LCD, 120Hz, 1010 nits (peak)",120,6.61,720x1604,266,84.7,,"Android 16, MagicOS 10",Mediatek Helio G81 Ultra (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,6,6,128,256,,50.0,1,1.8,No,,No,"LED flash, panorama, HDR",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,5.1,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS","Fingerprint (side-mounted), accelerometer, proximity",7500,45,,No,,,200.0,,,,,,,,"Black, Blue, Orange","LAB-LX1, LAB-LX3",,,FM radio
Honor,Honor 500 Smart,https://www.gsmarena.com/honor_500_smart_5g-14689.php,https://fdn2.gsmarena.com/vv/bigpic/honor-play-60a.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 09","Available. Released 2026, April",167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186.0,,IP54,Nano-SIM + Nano-SIM,"TFT LCD, 90Hz, 450 nits",90,6.75,720x1600,260,85.5,Aluminosilicate glass,"Android 16, MagicOS 10",Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,50.0,2,1.8,No,,No,LED flash,1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",5260,15,,No,,,240.0,,,,,,,,"Midnight Black, Ocean Cyan",LNA-NX1,,,No
Honor,Honor Pad 20,https://www.gsmarena.com/honor_pad_20-14663.php,https://fdn2.gsmarena.com/vv/bigpic/honor-pad20.jpg,LTE / 5G,Yes,"2026, May 12","Available. Released 2026, May",277.1 x 179.3 x 6.3 mm (10.91 x 7.06 x 0.25 in),525.0,Glass,,Yes (cellular model only),"IPS LCD, 1B colors, 120Hz, HDR Vivid, 700 nits",120,12.1,1872x3000,292,85.4,,"Android 16, MagicOS 10",Qualcomm SM7550-AB Snapdragon 7 Gen 3 (4 nm),4,Octa-core (1x2.63 GHz Cortex-A715 & 3x2.4 GHz Cortex-A715 & 4x1.8 GHz Cortex-A510),Adreno 720,6,12,128,256,,8.0,1,2.0,No,,No,,1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",No,5.3,Type-C,No,Unspecified,"Accelerometer, proximity (accessories only), gyro",10100,45,,No,,,270.0,,,,,,,,"Green, Pink, Gray",HEY4-W09,,,No
Honor,Honor MagicPad 3 Pro 12.3,https://www.gsmarena.com/honor_magicpad_3_pro_12_3-14629.php,https://fdn2.gsmarena.com/vv/bigpic/honor-magicpad-3-pro-123.jpg,No cellular connectivity,No,"2026, April 23","Available. Released 2026, April 28",273.4 x 178.8 x 4.8 mm (10.76 x 7.04 x 0.19 in),450.0,,,No,"OLED, 1B colors, 165Hz, 5280Hz PWM, HDR Vivid, 3000 nits (peak)",165,12.3,1920x3000,290,90.7,,"Android 16, MagicOS 10",Qualcomm SM8845 Snapdragon 8 Gen 5 (3 nm),3,Octa-core (2x3.8 GHz Oryon V3 Phoenix L + 6x3.32 GHz Oryon V3 Phoenix M),Adreno 829,8,16,256,512,,13.0,1,2.0,No,,Yes,LED flash,"4K@30fps, 1080p@30fps",9.0,Yes,,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct",No,6.0,Type-C,No,No,"Accelerometer, proximity (accessories only), gyro",10100,66,,No,,,500.0,,,,,,,,"Gray, White",YLE-W09,,,No
Honor,Honor Play11 Plus,https://www.gsmarena.com/honor_play11_plus_5g-14662.php,https://fdn2.gsmarena.com/vv/bigpic/honor-play11-plus.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 05","Available. Released 2026, May 05",157.4 x 75.4 x 7.3 mm (6.20 x 2.97 x 0.29 in),185.0,Glass,IP66,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, 800 nits (typ), 2000 nits (HBM), 6500 nits (peak)",120,6.6,1200x2600,434,90.1,Aluminosilicate glass,"Android 16, MagicOS 10",Mediatek Dimensity 6500 Elite (6 nm),6,Octa-core (2x2.6 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,50.0,1,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",Yes,6.0,Type-C,No,"GPS, GALILEO, GLONASS, QZSS, BDS (B1I+B1c)","Fingerprint (under display, optical), accelerometer, compass, proximity (ultrasonic)",7000,45,,No,,,280.0,,,,,,,,"Silver, Gold",LNA-AN00,,,Unspecified
Honor,Honor X70 Refresh,https://www.gsmarena.com/honor_x70_refresh_edition_5g-14589.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x70-refresh.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,"2026, April","Available. Released 2026, April",161.9 x 76.1 x 7.8 or 8.0 mm,193.0,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 3840Hz PWM, HDR, 800 nits (typ), 1800 nits (HBM), 6000 nits (peak)",120,6.79,1200x2640,427,90.9,Aluminosilicate glass,"Android 16, MagicOS 10",Qualcomm Snapdragon 6 Gen 4 (4 nm),4,Octa-core (1x2.3 GHz Cortex-A720s & 3x2.2 GHz Cortex-A720s & 4x1.8 GHz Cortex-A520s),Adreno 810,8,12,128,512,,50.0,1,1.9,Yes,,Yes,"LED flash, panorama, HDR","4K@30fps, 1080p@30fps, gyro-EIS",8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.2,Type-C,No,"GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS","Fingerprint (under display, optical), accelerometer, compass, gyro, proximity (ultrasound)",8300,80,80,Yes,,,210.0,,,,,,,,"Sunrise Gold, Vermilion Red, Bamboo Green, Moonlight White, Phantom Black",,,,No
Honor,Honor X5d Plus,https://www.gsmarena.com/honor_x5d_plus-14584.php,https://fdn2.gsmarena.com/vv/bigpic/honor-x5d-plus.jpg,GSM / HSPA / LTE,No,"2026, April 09","Available. Released 2026, April 09",167 x 77 x 7.9 mm (6.57 x 3.03 x 0.31 in),186.0,,,Nano-SIM + Nano-SIM,"TFT LCD, 90Hz",90,6.74,720x1600,260,85.3,,"Android 15, MagicOS 9",Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,4,4,128,128,,50.0,1,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.1,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5260,15,,No,,,100.0,,,,,,,,"Ocean Cyan, Meteor Silver, and Midnight Black",,,,FM radio
