Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Celkon,Celkon A403,https://www.gsmarena.com/celkon_a403-7618.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a403.jpg,GSM / HSPA,No,"2015, August. Released 2015, August",Discontinued,125 x 65 x 10.2 mm (4.92 x 2.56 x 0.40 in),113.0,,,Dual SIM,"TFT, 256K colors",,4.0,480x800,233,56.1,,Android 4.4.2 (KitKat),Spreadtrum SC7715,,1.0 GHz,,,,4,4,,3.15,1,,No,,No,LED flash,Yes,1.3,No,,,Wi-Fi 802.11 b/g/n,No,2.0,Micro-USB,Yes,A-GPS,Accelerometer,1400,,,No,,,,,,,,,,,"Black, Light Blue, Red, Yellow",,,0.38 W/kg (head) 0.68 W/kg (body),FM radio
Celkon,Celkon Campus Prime,https://www.gsmarena.com/celkon_campus_prime-7617.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-prime.jpg,GSM / HSPA,No,"2015, August. Released 2015, August",Discontinued,132 x 67 x 9.3 mm (5.20 x 2.64 x 0.37 in),119.2,,,Dual SIM,"TFT, 256K colors",,4.5,480x854,218,63.1,,Android 4.4.2 (KitKat),Spreadtrum SC7715,,1.0 GHz,,,,4,4,,3.15,1,,No,,No,LED flash,Yes,1.3,No,,,Wi-Fi 802.11 b/g/n,No,2.0,Micro-USB,Yes,A-GPS,Accelerometer,1600,,,No,,,,,,,,,,,"White, Black, Gold, Silver, Brown, Blue",,,0.35 W/kg (head) 0.85 W/kg (body),FM radio
Celkon,Celkon Millennia Everest,https://www.gsmarena.com/celkon_millennia_everest-7616.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-everest.jpg,GSM / HSPA,No,"2015, August. Released 2015, August",Discontinued,157 x 78 x 9.1 mm (6.18 x 3.07 x 0.36 in),,,,Dual SIM,"TFT, 256K colors",,5.5,480x854,178,68.1,,Android 5.1 (Lollipop),Spreadtrum SC7731,,Quad-core 1.2 GHz,,1,1,8,8,,5.0,1,,No,,No,LED flash,Yes,3.2,No,,,Wi-Fi 802.11 b/g/n,No,2.0,Micro-USB,Yes,A-GPS,"Accelerometer, proximity",2500,,,No,,,,,,,,,,,"Black, White, Blue",,,0.33 W/kg (head) 0.25 W/kg (body),FM radio
Celkon,Celkon Millennia Hero,https://www.gsmarena.com/celkon_millennia_hero-7615.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-millennia-hero.jpg,GSM / HSPA,No,"2015, August. Released 2015, August",Discontinued,125 x 64 x 11 mm (4.92 x 2.52 x 0.43 in),113.0,,,Dual SIM,"TFT, 256K colors",,4.0,480x800,233,56.9,,Android 5.1 (Lollipop),,,Quad-core 1.2 GHz,,1,1,8,8,,5.0,1,,No,,No,LED flash,Yes,3.2,No,,,Wi-Fi 802.11 b/g/n,No,2.0,Micro-USB,Yes,A-GPS,Accelerometer,1700,,,No,,,,,,,,,,,"Black, White/Gold, White/Silver, Black/Gold",,,0.34 W/kg (head) 0.76 W/kg (body),FM radio
Celkon,Celkon Millennia Xplore,https://www.gsmarena.com/celkon_millennia_xplore-7461.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q58-xplore.jpg,GSM / HSPA,No,"2015, July. Released 2015, July",Discontinued,145.7 x 73.8 x 7.9 mm (5.74 x 2.91 x 0.31 in),150.0,,,Dual SIM,IPS LCD,,5.0,720x1280,294,64.1,,Android 5.0 (Lollipop),Mediatek MT6582M (28 nm),28,Quad-core 1.2 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,13.0,1,,No,,No,LED flash,Yes,8.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Black/White,,,,FM radio
Celkon,Celkon Q455L,https://www.gsmarena.com/celkon_q455l-7460.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q455.jpg,GSM / HSPA,No,"2015, July. Released 2015, July",Discontinued,136.5 x 68 x 7.9 mm (5.37 x 2.68 x 0.31 in),130.0,,,Dual SIM,IPS LCD,,4.5,480x854,218,60.1,,Android 5.0 (Lollipop),,,Quad-core 1.2 GHz,,1,1,8,8,,8.0,1,,No,,No,LED flash,Yes,3.15,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1800,,,No,,,,,,,,,,,"Black, Red, Yellow",,,,FM radio
Celkon,Celkon 2GB Xpress,https://www.gsmarena.com/celkon_2gb_xpress-7459.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-2gb-xpress.jpg,GSM / HSPA,No,"2015, July. Released 2015, July",Discontinued,133.5 x 66.5 x 10.1 mm (5.26 x 2.62 x 0.40 in),134.0,,,Dual SIM,IPS LCD,,4.5,480x800,207,64.9,,"Android 4.4.2 (KitKat), upgradable to 5.0 (Lollipop)",Spreadtrum 7731,,Quad-core 1.2 GHz,Mali-400,2,2,16,16,,5.0,1,,No,,No,LED flash,Yes,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.1,Micro-USB,Yes,GPS,Accelerometer,1500,,,No,,,,,,,,,,,Black,,,,FM radio
Celkon,Celkon A35k Remote,https://www.gsmarena.com/celkon_a35k_remote-7376.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-a35k-remote.jpg,GSM / HSPA,No,"2015, June. Released 2015, June",Discontinued,119 x 63 x 10.7 mm (4.69 x 2.48 x 0.42 in),102.0,,,Dual SIM,"TFT, 256K colors",,3.5,320x480,165,48.7,,Android 4.4.2 (KitKat),,,1.0 GHz,,,,,,,3.15,1,,No,,No,LED flash,Yes,,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1400,,,No,,,,,,,,,,,"White, Black, Blue",,,0.56 W/kg (head) 0.40 W/kg (body),FM radio
Celkon,Celkon Q3K Power,https://www.gsmarena.com/celkon_q3k_power-7375.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q3k-power.jpg,GSM / HSPA,No,"2015, July. Released 2015, July",Discontinued,125.8 x 65 x 9.8 mm (4.95 x 2.56 x 0.39 in),128.0,,,Dual SIM,"TFT, 256K colors",,4.0,480x800,233,55.7,,Android 4.4.2 (KitKat),Spreadtrum 7731G,,Quad-core 1.2 GHz,Mali-400,,,8,8,,3.15,1,,No,,No,"LED flash, HDR, panorama",Yes,1.3,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,3000,,,No,,,,,,,,,,,"White, black, gold",,,,FM radio
Celkon,Celkon Q5K Power,https://www.gsmarena.com/celkon_q5k_power-7374.php,https://fdn2.gsmarena.com/vv/bigpic/celkon-q5k-power.jpg,GSM / HSPA,No,"2015, June. Released 2015, June",Discontinued,145 x 72 x 10 mm (5.71 x 2.83 x 0.39 in),169.0,,,Dual SIM,"TFT, 256K colors",,5.0,480x854,196,66.0,,Android 4.4.2 (KitKat),Spreadtrum 7731,,Quad-core 1.2 GHz,Mali-400,,,4,4,,5.0,1,,No,,No,LED flash,Yes,3.15,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",5000,,,No,,,,,,,,,,,"White, Blue, Silver, Black",,,0.31 W/kg (head) 0.46 W/kg (body),FM radio
