Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Micromax,Micromax In 2c,https://www.gsmarena.com/micromax_in_2c-11496.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2c.jpg,GSM / HSPA / LTE,No,"2022, April 26","Available. Released 2022, May 01",164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in),198.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 420 nits",,6.52,720x1600,269,82.5,,Android 11,Unisoc T610 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MP2,3,3,32,32,eMMC 5.1,8.0,2,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,GPS,"Accelerometer, proximity",5000,10,,No,,,100.0,,,,,,,,"Brown, Silver",E6533,,,No
Micromax,Micromax In note 2,https://www.gsmarena.com/micromax_in_note_2-11332.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note2.jpg,GSM / HSPA / LTE,No,"2022, January 25","Available. Released 2022, January 30",159.9 x 74.3 x 8.3 mm (6.30 x 2.93 x 0.33 in),205.0,,,Nano-SIM + Nano-SIM,"AMOLED, 550 nits (typ)",,6.43,1080x2400,409,84.0,Corning Gorilla Glass,Android 11,Mediatek MT6785V/CD Helio G95 (12 nm),12,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G76 MC4,4,4,64,64,UFS 2.1,48.0,4,1.8,No,1/2.0,No,"Dual-LED dual-tone flash, HDR, panorama",1080p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,30,,No,,,150.0,,,,,,,,"Black, Oak",E7446,1.01 W/kg (head) 0.77 W/kg (body),,FM radio
Micromax,Micromax In 2b,https://www.gsmarena.com/micromax_in_2b-11036.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-2b.jpg,GSM / HSPA / LTE,No,"2021, July 30. Released 2021, August 06",Discontinued,164.3 x 75.7 x 8.6 mm (6.47 x 2.98 x 0.34 in),190.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 400 nits (typ)",,6.52,720x1600,269,82.5,,Android 11,Unisoc T610 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MP2,4,6,64,64,eMMC 5.1,13.0,2,1.8,No,1/3.0,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,HDR,Unspecified,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, proximity",5000,10,,No,,,90.0,,,,,,,,"Blue, Black, Green",E7544,0.85 W/kg (head) 1.13 W/kg (body),,Unspecified
Micromax,Micromax In 1,https://www.gsmarena.com/micromax_in_1-10800.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in1.jpg,GSM / HSPA / LTE,No,"2021, March 19. Released 2021, March 26",Discontinued,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),195.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 440 nits (peak)",,6.67,1080x2400,395,84.4,,Android 10,Mediatek MT6769V/CU Helio G80 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,6,64,128,eMMC 5.1,48.0,4,1.8,No,1/2.0,No,"LED flash, HDR",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",5000,18,,No,,,120.0,,,,,,,,"Blue, Purple",E6746,0.96 W/kg (head),,FM radio
Micromax,Micromax In note 1,https://www.gsmarena.com/micromax_in_note_1-10569.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg,GSM / HSPA / LTE,No,"2020, November 03. Released 2020, November 24",Discontinued,165.2 x 77 x 9 mm (6.50 x 3.03 x 0.35 in),196.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 450 nits (peak)",,6.67,1080x2400,395,84.4,Oleophobic coating,Android 10,Mediatek MT6769Z Helio G85 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,4,64,128,eMMC 5.1,48.0,4,1.8,No,1/2.0,No,"LED flash, HDR",1080p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",5000,18,,No,,,130.0,,,,,,,,"Green, White",E7746,0.57 W/kg (head) 0.96 W/kg (body),,FM radio
Micromax,Micromax In 1b,https://www.gsmarena.com/micromax_in_1b-10568.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg,GSM / HSPA / LTE,No,"2020, November 03. Released 2020, November 26",Discontinued,164.5 x 75.8 x 8.9 mm (6.48 x 2.98 x 0.35 in),188.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 400 nits (typ)",,6.52,720x1600,269,82.3,,Android 10 (Go edition),Mediatek MT6765G Helio G35 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,2,4,32,64,eMMC 5.1,13.0,2,1.9,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO","Fingerprint (rear-mounted), accelerometer, gyro, proximity",5000,10,,No,,,80.0,,,,,,,,"Blue, Purple, Green","E6523, E7533",0.57 W/kg (head) 0.90 W/kg (body),,Unspecified
Micromax,Micromax Infinity N12,https://www.gsmarena.com/micromax_infinity_n12-9515.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,GSM / HSPA / LTE,No,"2018, December. Released 2018, December",Discontinued,156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.19,720x1500,269,81.1,,Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),12,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,3,3,32,32,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@24fps,16.0,No,LED flash,1080p,Wi-Fi 802.11 a/b/g/n,No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",4000,,,No,,,,,10000,,,,,,"Blue Lagoon, Red Velvet, Viola, Black",N8301,,,"FM radio, recording"
Micromax,Micromax Infinity N11,https://www.gsmarena.com/micromax_infinity_n11-9516.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,GSM / HSPA / LTE,No,"2018, December. Released 2019, January",Discontinued,156 x 76.2 x 8.5 mm (6.14 x 3.00 x 0.33 in),164.0,,,Nano-SIM + Nano-SIM,IPS LCD,,6.19,720x1500,269,81.1,,Android 8.1 (Oreo),Mediatek MT6762V Helio P22 (12 nm),12,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,2,2,32,32,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@24fps,8.0,No,LED flash,1080p,Wi-Fi 802.11 a/b/g/n,No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",4000,,,No,,,,,9000,,,,,,Black,,,,"FM radio, recording"
Micromax,Micromax Bharat 5 Infinity,https://www.gsmarena.com/micromax_bharat_5_infinity-9517.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-infinity-edition-q4204.jpg,GSM / HSPA / LTE,No,"2018, December. Released 2018, December",Discontinued,148 x 71 x 10.4 mm (5.83 x 2.80 x 0.41 in),,,,Nano-SIM + Nano-SIM,IPS LCD,,5.45,720x1440,295,72.9,,Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),28,Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,1,1,16,16,eMMC 5.1,5.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",5000,,,No,,,,,5400,,,,,,"Lava Red, Rose Gold, Matte Blue",Q4204,,,"FM radio, recording"
Micromax,Micromax Bharat Go,https://www.gsmarena.com/micromax_bharat_go-9207.php,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,GSM / HSPA / LTE,No,"2018, May. Released 2018, June",Discontinued,136.5 x 67 x 9.6 mm (5.37 x 2.64 x 0.38 in),130.0,Glass,,"Dual SIM (Micro-SIM, dual stand-by)",TFT LCD,,4.5,480x854,207,67.7,,Android 8.0 Oreo (Go edition),Mediatek MT6737М,,Quad-core 1.1 GHz Cortex-A53,Mali-T720MP1,1,1,8,8,eMMC 5.0,5.0,1,,No,,No,Dual-LED dual-tone flash,480p,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,2000,,,No,,,,,4400,,,,,,Black,,,,FM radio
