Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Philips,Philips S7710 Omni 10,https://www.gsmarena.com/philips_s7710_omni_10-13553.php,https://fdn2.gsmarena.com/vv/bigpic/itel-s24.jpg,GSM / HSPA / LTE,No,"2024, Q4","Available. Released 2024, Q4",163.6 x 75.6 x 8.3 mm (6.44 x 2.98 x 0.33 in),192.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.6,720x1612,267,84.6,,Android 13,Mediatek Helio G91 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,8,8,256,256,,108.0,1,1.6,No,1/1.67,No,LED flash,"1440p@30fps, 1080p@30fps",8.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, compass",5000,18,,No,,,130.0,,,,,,,,"Starry Black, Coastline Blue",,,,FM radio
Philips,Philips S6310 Essence 20,https://www.gsmarena.com/philips_s6310_essence_20-13554.php,https://fdn2.gsmarena.com/vv/bigpic/philips-s6310-essence-20.jpg,GSM / HSPA / LTE,No,"2024, Q4","Available. Released 2024, Q4",163.5 x 76 x 8.6 mm (6.44 x 2.99 x 0.34 in),,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,83.2,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,8,128,256,,50.0,2,,No,,No,Dual-LED flash,Yes,8.0,No,LED flash,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",No,,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,5000,10,,No,,,90.0,,,,,,,,"Black, Blue",CTS6310BKL/40,,,Unspecified
Philips,Philips S6210 Essence 10,https://www.gsmarena.com/philips_s6210_essence_10-13556.php,https://fdn2.gsmarena.com/vv/bigpic/philips-s6210-essence-10.jpg,GSM / HSPA / LTE,No,"2024, Q4","Available. Released 2024, Q4",163.6 x 75.6 x 8.6 mm (6.44 x 2.98 x 0.34 in),,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,83.6,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,3,3,64,128,,13.0,2,,No,,No,Ring-LED flash,Yes,8.0,No,LED flash,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",No,,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,5000,10,,No,,,70.0,,,,,,,,"Black, Blue",CTS6210BK/40,,,Unspecified
Philips,Philips S6206,https://www.gsmarena.com/philips_s6206-13557.php,https://fdn2.gsmarena.com/vv/bigpic/philips-s6206.jpg,GSM / HSPA / LTE,No,"2024, September","Available. Released 2024, September",169.5 x 76.5 x 8.5 mm (6.67 x 3.01 x 0.33 in),,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.79,720x1640,264,84.4,,Android 14,Unisoc T606 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,8,128,256,,48.0,2,,No,,No,LED flash,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band",No,,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,4920,,,No,,,90.0,,,,,,,,Black,CTS6206BKM/85,,,Unspecified
Philips,Philips PH2,https://www.gsmarena.com/philips_ph2-11281.php,https://fdn2.gsmarena.com/vv/bigpic/philips-ph2.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2021, December 08. Released 2021, December 13",Discontinued,156.2 x 75.3 x 9 mm (6.15 x 2.96 x 0.35 in),170.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.21,720x1520,271,81.8,,"Android OS, HMS (Huawei Mobile Services)",Unisoc Tiger T310 (12 nm),12,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),PowerVR GE8300,4,4,128,128,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.2,Type-C,Yes,"GPS, BDS","Fingerprint (side-mounted), accelerometer, proximity",3900,,,No,,,110.0,,,,,,,,"Black, Blue, Gold",S702,,,Unspecified
Philips,Philips PH1,https://www.gsmarena.com/philips_ph1-11277.php,https://fdn2.gsmarena.com/vv/bigpic/philips-ph1.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE,No,"2021, December 20. Released 2021, December 20",Discontinued,165.5 x 76.5 x 9.5 mm (6.52 x 3.01 x 0.37 in),194.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,6.51,720x1440,247,86.4,,Android OS,Unisoc Tiger T310 (12 nm),12,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),PowerVR GE8300,4,4,32,128,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.2,Type-C,Yes,"GPS, BDS","Accelerometer, proximity",4700,,,No,,,70.0,,,,,,,,"Gray, Blue, Red","S701, Xenium S701",,,Unspecified
Philips,Philips S337,https://www.gsmarena.com/philips_s337-8008.php,https://fdn2.gsmarena.com/vv/bigpic/philips-s337.jpg,GSM / HSPA,No,"2015, October. Released 2015, November",Discontinued,144.8 x 72.5 x 10.4 mm (5.70 x 2.85 x 0.41 in),152.0,,,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors",,5.0,480x854,196,65.6,,Android 5.1 (Lollipop),,,Quad-core 1.3 GHz,,1,1,8,8,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Black,,,,FM radio
Philips,Philips S309,https://www.gsmarena.com/philips_s309-8009.php,https://fdn2.gsmarena.com/vv/bigpic/philips-s309.jpg,GSM / HSPA,No,"2015, July. Released 2015, July",Discontinued,127.6 x 64.7 x 10.8 mm (5.02 x 2.55 x 0.43 in),127.0,,,"Dual SIM (Mini-SIM, dual stand-by)","TFT, 256K colors",,4.0,480x800,233,55.2,,Android 5.1 (Lollipop),,,Dual-core 1.0 GHz,,1,1,8,8,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1600,,,No,,,,,,,,,,,"Black, Red",,,,FM radio
Philips,Philips V787,https://www.gsmarena.com/philips_v787-8011.php,https://fdn2.gsmarena.com/vv/bigpic/philips-v787.jpg,GSM / HSPA / LTE,No,"2015, December. Released 2015, December",Discontinued,143 x 71.6 x 9.8 mm (5.63 x 2.82 x 0.39 in),164.0,,,Dual SIM,IPS LCD,,5.0,1080x1920,441,67.3,,Android 5.1 (Lollipop),,,Octa-core 1.3 GHz,,2,2,16,16,,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity, compass",5000,,,No,,,,,,,,,,,Black,,,,FM radio
Philips,Philips V377,https://www.gsmarena.com/philips_v377-8010.php,https://fdn2.gsmarena.com/vv/bigpic/philips-v377.jpg,GSM / HSPA,No,"2015, December. Released 2015, December",Discontinued,145 x 74 x 10.9 mm (5.71 x 2.91 x 0.43 in),190.0,,,Dual SIM,IPS LCD,,5.0,720x1280,294,64.2,,Android 5.1 (Lollipop),,,Quad-core 1.3 GHz,,1,1,8,8,,5.0,1,,No,,No,LED flash,Yes,,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",5000,,,No,,,,,,,,,,,Black,,,,FM radio
