Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Allview,Allview Soul X7 Pro,https://www.gsmarena.com/allview_soul_x7_pro-10302.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-pro.jpg,GSM / HSPA / LTE,No,"2020, May 26. Released 2020, May 26",Discontinued,161.9 x 76.8 x 8.3 mm (6.37 x 3.02 x 0.33 in),193.0,,,Nano-SIM + Micro-SIM,IPS LCD,,6.53,1080x2340,395,84.2,Corning Gorilla Glass,Android 9.0 (Pie),Qualcomm SDM630 Snapdragon 630 (14 nm),14,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),Adreno 508,4,4,64,64,eMMC 5.1,13.0,4,1.8,No,1/3.1,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",No,5.1,Type-C,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,18,,No,,,230.0,,,,,,,,Black Desire,,,1.12 W/kg (head),FM radio
Allview,Allview Soul X7 Style,https://www.gsmarena.com/allview_soul_x7_style-10301.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x7-style.jpg,GSM / HSPA / LTE,No,"2020, May 26. Released 2020, May 26",Discontinued,157.6 x 75.2 x 8.3 mm (6.20 x 2.96 x 0.33 in),184.7,,,Nano-SIM + Nano-SIM,IPS LCD,,6.21,720x1520,271,81.2,,Android 9.0 (Pie),Mediatek MT6763 Helio P23 (16 nm),16,Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53),Mali-G71 MP2,4,4,64,64,eMMC 5.1,13.0,2,2.2,No,,No,"LED flash, HDR",1080p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Type-C,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity, compass",3400,,,No,,,130.0,,,,,,,,Turcoise,,,0.87 W/kg (head),FM radio
Allview,Allview Viva 803G,https://www.gsmarena.com/allview_viva_803g-10303.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva-803g.jpg,GSM / HSPA,No,"2020, April. Released 2020, April",Discontinued,208 x 124 x 9.5 mm (8.19 x 4.88 x 0.37 in),330.0,,,Micro-SIM,IPS LCD,,8.0,800x1280,189,72.0,,Android 9.0 Pie (Go edition),Mediatek MT8321 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,1,1,16,16,eMMC 5.1,,1,,No,,No,LED flash,720p,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,3600,,,No,,,90.0,,,,,,,,Black,,,1.59 W/kg (body),FM radio
Allview,Allview V4 Viper Pro,https://www.gsmarena.com/allview_v4_viper_pro-10039.php,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper-pro.jpg,GSM / HSPA / LTE,No,"2020, January. Released 2020, January",Discontinued,171 x 82 x 8.8 mm (6.73 x 3.23 x 0.35 in),191.6,,,Nano-SIM + Nano-SIM,IPS LCD,,6.8,640x1352,220,82.3,,Android 9.0 (Pie),Mediatek MT6739 (28 nm),28,Quad-core 1.3 GHz Cortex-A53,PowerVR GE8100,2,2,32,32,eMMC 5.1,13.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,1080p@30fps,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity",3500,10,,No,,,170.0,,,,,,,,Dark Grey,,,1.20 W/kg (head),FM radio
Allview,Allview Viva C703,https://www.gsmarena.com/allview_viva_c703-9939.php,https://fdn2.gsmarena.com/vv/bigpic/allview-vivac703.jpg,No cellular connectivity,No,"2019, October. Released 2019, October",Discontinued,188.5 x 108.3 x 9.7 mm (7.42 x 4.26 x 0.38 in),242.0,,,No,IPS LCD,,7.0,600x1024,170,67.5,,Android 8.1 Oreo (Go edition),,,Quad-core 1.5 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,,,,No,,No,,,0.3,No,,480p,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,No,Accelerometer,2000,,,No,,,50.0,,,,,,,,Black,,,,No
Allview,Allview Viva Home,https://www.gsmarena.com/allview_viva_home-9911.php,https://fdn2.gsmarena.com/vv/bigpic/allview-vivahome.jpg,No cellular connectivity,No,"2019, July. Released 2019, July",Discontinued,418.5 x 266.3 x 19.5 mm (16.48 x 10.48 x 0.77 in),2018.3,,,No,IPS LCD,,17.3,1080x1920,127,74.0,,Android 9.0 (Pie),Mediatek MT8163,,Quad-core 1.5 GHz Cortex-A53,,2,2,32,32,,,,,No,,No,,,2.0,No,,1080p,Wi-Fi 802.11 a/b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,5000,,,No,,,250.0,,,,,,,,Black,,,,FM radio
Allview,Allview Viva 1003G,https://www.gsmarena.com/allview_viva_1003g-9910.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g.jpg,GSM / HSPA,No,"2019, August. Released 2019, August",Discontinued,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),479.4,,,Mini-SIM,IPS LCD,,10.1,800x1280,149,70.0,,Android 9.0 (Pie),Mediatek MT8321A (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,2,2,16,16,,2.0,1,,No,,No,LED flash,720p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,4000,10,,No,,,,,,,,,,,Black,,,1.05 W/kg (body),FM radio
Allview,Allview Viva 1003G Lite,https://www.gsmarena.com/allview_viva_1003g_lite-9909.php,https://fdn2.gsmarena.com/vv/bigpic/allview-viva1003g-lite.jpg,GSM / HSPA,No,"2019, September. Released 2019, September",Discontinued,246.2 x 171.7 x 10.7 mm (9.69 x 6.76 x 0.42 in),505.2,,,Mini-SIM,IPS LCD,,10.1,800x1280,149,70.0,,Android 8.1 Oreo (Go edition),Mediatek MT8321A (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400,1,1,16,16,,0.3,1,,No,,No,LED flash,720p@30fps,2.0,No,,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,Accelerometer,4000,10,,No,,,100.0,,,,,,,,Black,,,1.05 W/kg (body),FM radio
Allview,Allview V4 Viper,https://www.gsmarena.com/allview_v4_viper-9908.php,https://fdn2.gsmarena.com/vv/bigpic/allview-v4-viper.jpg,GSM / HSPA / LTE,No,"2019, September. Released 2019, September",Discontinued,145.8 x 70.9 x 8.5 mm (5.74 x 2.79 x 0.33 in),138.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.7,720x1520,295,78.4,,Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),12,Quad-core 2.0 GHz Cortex-A53,PowerVR GE8320,2,2,16,16,eMMC 5.1,8.0,2,,No,,No,LED flash,1080p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity",2700,,,No,,,100.0,,,,,,,,"Blue, Red",,,1.13 W/kg (head),FM radio
Allview,Allview Soul X6 Mini,https://www.gsmarena.com/allview_soul_x6_mini-9709.php,https://fdn2.gsmarena.com/vv/bigpic/allview-soul-x6-mini.jpg,GSM / HSPA / LTE,No,"2019, May. Released 2019, May",Discontinued,158.3 x 76.4 x 8.3 mm (6.23 x 3.01 x 0.33 in),175.7,,,Nano-SIM + Nano-SIM,IPS LCD,,6.2,720x1520,271,79.3,,Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),12,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,2,2,16,16,eMMC 5.1,13.0,2,,No,,No,"Dual-LED dual-tone flash, panorama, HDR",1080p@30fps,13.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity",4000,10,,No,,,,,,,,,,,Indigo Blue,,,0.98 W/kg (head),FM radio
Allview,Allview Soul X6 Xtreme,https://www.gsmarena.com/allview_soul_x6_xtreme-9685.php,https://fdn2.gsmarena.com/vv/bigpic/allview-x6-xtr.jpg,GSM / HSPA / LTE,No,"2019, April. Released 2019, April",Discontinued,157 x 74.3 x 8.9 mm (6.18 x 2.93 x 0.35 in),176.6,,,Nano-SIM + Nano-SIM,AMOLED,,6.39,1080x2340,403,85.9,Gorilla Glass 5,Android 9.0 (Pie),Mediatek MT6771 Helio P70 (12 nm),12,Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),Mali-G72 MP3,4,4,64,64,eMMC 5.1,16.0,2,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",No,4.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",3450,18,,No,,,360.0,,,,,,,,Urban Violet,,,0.97 W/kg (head),FM radio
Allview,Allview P10 Pro,https://www.gsmarena.com/allview_p10_pro-9686.php,https://fdn2.gsmarena.com/vv/bigpic/allview-p10-pro.jpg,GSM / HSPA / LTE,No,"2019, April. Released 2019, April",Discontinued,161.5 x 76.5 x 8.8 mm (6.36 x 3.01 x 0.35 in),182.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.99,720x1440,269,74.9,,Android 8.1 (Oreo),Mediatek MT6739 (28 nm),28,Quad-core 1.3 GHz Cortex-A53,,3,3,32,32,eMMC 5.1,13.0,2,,No,,No,"LED flash, HDR",1080p@30fps,8.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",3000,,,No,,,,,,,,,,,Dark Green,,,1.38 W/kg (head),FM radio
