Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Infinix,Infinix Hot 70,https://www.gsmarena.com/infinix_hot_70-14683.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot70-4g.jpg,GSM / HSPA / LTE,No,"2026, May 25","Available. Released 2026, May 25",167.9 x 79.1 x 7.5 mm (6.61 x 3.11 x 0.30 in),195.0,Glass,IP65,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits (HBM)",120,6.78,720x1576,256,84.4,,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Helio G100 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G52 MC2,4,8,128,256,UFS 2.2,50.0,1,1.9,No,,No,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",8.0,No,Dual-LED flash,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",6000,45,,No,,,130.0,,,,,,,,"Night Pulse, Dive Blue, Silver Dancer, Thermo Orange, Green Texture, Quiet Violet",X6895B,,,FM radio
Infinix,Infinix GT 50 Pro,https://www.gsmarena.com/infinix_gt_50_pro_5g-14497.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt50-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, April 24","Available. Released 2026, April 25",162.4 x 77.2 x 8.2 mm (6.39 x 3.04 x 0.32 in),198.0,Glass,IP64,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",144,6.78,1208x2644,440,85.0,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 8400 Ultimate (4 nm),4,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,12,12,256,512,UFS 4.1,50.0,2,1.8,Yes,1/4.0,Yes,"Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps",13.0,Yes,,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO","Fingerprint (under display, optical), accelerometer, proximity, compass, gyro",6150,45,30,Yes,,,330.0,,,,,,,-24.7,"Black Abyss, Red Blaze, Silver Glacier",X6891,,,FM radio
Infinix,Infinix Note 60 Ultra,https://www.gsmarena.com/infinix_note_60_ultra_5g-14528.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 04","Available. Released 2026, May",162.3 x 77.2 x 7.9 mm (6.39 x 3.04 x 0.31 in),220.0,Glass,IP64,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)",144,6.78,1208x2644,429,89.5,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 8400 Ultimate (4 nm),4,Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725),Mali-G720 MC7,12,12,256,512,UFS 4.0,200.0,3,1.7,Yes,1/1.4,Yes,"LED flash, HDR, panorama","4K@30/60fps, 1080p@30/60/120/240fps, gyro-EIS, OIS, HDR10+",32.0,Yes,,"4K@30fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, heart rate, SpO2",7000,100,50,Yes,Active use score 17:32h,,640.0,,,1708926,6783,4101,1217,-25.9,"Torino Black, Monza Red, Roma Silver, Amalfi Blue",X6877,,,FM radio
Infinix,Infinix Note 60 Pro,https://www.gsmarena.com/infinix_note_60_pro_5g-14499.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, February 18","Available. Released 2026, March",162.4 x 77.2 x 7.4 mm (6.39 x 3.04 x 0.29 in),201.7,Glass,IP64,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)",144,6.78,1208x2644,429,89.4,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Qualcomm SM7635-AC Snapdragon 7s Gen 4 (4 nm),4,Octa-core (1x2.7 GHz Cortex-A720 & 3x2.4 GHz Cortex-A720 & 4x1.8 GHz Cortex-A520),Adreno 810,8,12,128,256,UFS 2.2,50.0,2,1.6,Yes,1/1.95,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps",13.0,Yes,,"4K@30fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, heart rate, SpO2",6000,90,30,Yes,Active use score 16:06h,,,,31999,868860,3412,1219,1694,-25.6,"Mist Titanium, Deep Ocean Blue, Solar Orange, Mocha Brown, Torino Black, Frost Silver",X6878,,,FM radio
Infinix,Infinix Note 60,https://www.gsmarena.com/infinix_note_60_5g-14498.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note60.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, February 18","Available. Released 2026, March",162.4 x 77.2 x 7.5 mm (6.39 x 3.04 x 0.30 in),199.0,Glass,IP64,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"AMOLED, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)",144,6.78,1208x2644,429,89.4,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,8,128,256,UFS 2.2,50.0,2,1.6,Yes,,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60/120fps",13.0,Yes,,"4K@30fps, 1080p@30/60fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, heart rate, SpO2",6150,45,30,No,,,,,,,,,,,"Mist Titanium, Midnight Black, Fizz Blue, Rose Gold, Mocha Brown",X6879,,,FM radio
Infinix,Infinix Smart 20,https://www.gsmarena.com/infinix_smart_20-14502.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-smart20.jpg,GSM / HSPA / LTE,No,"2026, March 04","Available. Released 2026, March",167.7 x 78.8 x 7.7 mm (6.60 x 3.10 x 0.30 in),,Glass,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits (HBM)",120,6.78,720x1576,259,82.9,,"Android 16, XOS 16",Mediatek Helio G81 Ultimate (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.7 GHz Cortex-A55),Mali-G52 MC2,4,4,64,128,eMMC 5.1,8.0,1,2.0,No,1/4.0,No,"Dual-LED flash, panorama","1440p@30fps, 1080p@30fps",8.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity, compass",5200,15,,No,,,,,,,,,,,"Shadow Black, Cloudline Blue, Polaris Titanium, Sunlike Orange","X6840, X6840B",,,FM radio
Infinix,Infinix Note Edge,https://www.gsmarena.com/infinix_note_edge_5g-14421.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-note-edge.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, January 19","Available. Released 2026, January 31",163.1 x 77.4 x 7.2 mm (6.42 x 3.05 x 0.28 in),190.0,Glass,IP65,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 2160Hz PWM, 700 nits (typ), 1600 nits (HBM), 4500 nits (peak)",120,6.78,1208x2644,429,88.8,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, XOS 16",Mediatek Dimensity 7100 (6 nm),6,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,8,8,128,256,UFS 2.2,50.0,1,,No,1/2.0,No,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,No,"GPS, GALILEO, GLONASS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",6500,45,,No,Active use score 11:43h,,170.0,,,637742,2815,692,1342,-22.7,"Lunar Titanium, Silk Green, Stellar Blue, Shadow Black, Orange",X6887,,,FM radio
Infinix,Infinix Xpad 20 Pro,https://www.gsmarena.com/infinix_xpad_20_pro-14116.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-xpad-20-pro.jpg,GSM / HSPA / LTE,No,"2025, September 03","Available. Released 2025, September 03",278.6 x 173.6 x 6.6 mm (10.97 x 6.83 x 0.26 in),545.0,Glass,,Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,12.0,1200x2000,194,84.7,,Android 15,Mediatek Helio G100 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,UFS 2.2,8.0,1,2.0,No,,No,"LED flash, panorama","1440p@30fps, 1080p@30fps",5.0,No,,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,No,Unspecified,Accelerometer,8000,18,,No,,,290.0,,,,,,,,"Titanium Grey, Mist Blue",X1201,,,FM radio
Infinix,Infinix Hot 60i,https://www.gsmarena.com/infinix_hot_60i_5g-14072.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-hot-60i-5g-official.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 16","Available. Released 2025, August 21",167.4 x 77.7 x 8.1 mm (6.59 x 3.06 x 0.32 in),199.0,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 560 nits (typ), 670 nits (HBM)",120,6.75,720x1600,260,84.6,,"Android 15, XOS 15.1",Mediatek Dimensity 6400 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,4,128,128,eMMC,50.0,1,1.6,No,,No,"Dual-LED flash, HDR, panorama",1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer, proximity, compass",6000,18,,No,,,90.0,,,,,,,,"Shadow Blue, Sleek Black, Monsoon Green, Plum Red",X6730,,,Yes
Infinix,Infinix GT 30,https://www.gsmarena.com/infinix_gt_30_5g-14044.php,https://fdn2.gsmarena.com/vv/bigpic/infinix-gt30-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 08","Available. Released 2025, August 11",163.7 x 75.8 x 8 mm (6.44 x 2.98 x 0.31 in),187.0,Glass,IP64,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 700 nits (typ), 1600 nits (peak), 4500 nits (peak)",144,6.78,1224x2720,440,89.4,Gorilla Glass 7i,"Android 15, up to 2 major Android upgrades, XOS 15",Mediatek Dimensity 7400 (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,8,128,256,UFS 2.2,64.0,2,1.8,No,1/1.73,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/120fps",13.0,Yes,,"4K@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.4,Type-C,No,"GPS, GLONASS, GALILEO","Fingerprint (under display, optical), accelerometer, proximity, compass, gyro",5500,45,,No,,,,,20999,,,,,,"Pulse Green, Cyber Blue, Blade White",X6876,,,FM radio
