Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Lava,Lava Shark 2,https://www.gsmarena.com/lava_shark_2_5g-14691.php,https://fdn2.gsmarena.com/vv/bigpic/lava-shark2-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 26","Coming soon. Exp. release 2026, June 10",165.9 x 76.8 x 8.8 mm (6.53 x 3.02 x 0.35 in),210.0,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1612,262,85.9,,Android 16 (Go edition),Unisoc T8200 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,4,4,64,64,UFS 2.2,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n/ac,No,5.0,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer, proximity",6000,18,,No,,,110.0,,,,,,,,"Indus Black, Siachen White",,,,FM radio
Lava,Lava Bold N2 Lite,https://www.gsmarena.com/lava_bold_n2_lite-14574.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n2-lite-.jpg,GSM / HSPA / LTE,No,"2026, April 01","Available. Released 2026, April 10",-,,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,87.6,,Android 15 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,3,3,64,64,,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n/ac,No,4.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,70.0,,,,,,,,"Kolar Gold, Nilgiri Blue",,,,FM radio
Lava,Lava Bold N2 Pro,https://www.gsmarena.com/lava_bold_n2_pro-14570.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n2-pro.jpg,GSM / HSPA / LTE,No,"2026, March 31","Available. Released 2026, April 06",-,201.0,,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.75,720x1600,260,,,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,128,128,,50.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,Yes,Wi-Fi 802.11 b/g/n/ac,No,5.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,10,,No,,,70.0,,,,,,,,"Gray, Silver",,,,FM radio
Lava,Lava Yuva Star 3,https://www.gsmarena.com/lava_yuva_star_3-14486.php,https://fdn2.gsmarena.com/vv/bigpic/lava-yuva-star-3.jpg,GSM / HSPA / LTE,No,"2026, February 12","Available. Released 2026, February 27",165 x 76.1 x 8.5 mm (6.50 x 3.00 x 0.33 in),193.7,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,87.6,,Android 15 (Go edition),Unisoc SC9863A (28 nm),28,Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55),IMG8322,4,4,64,64,,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,,Yes,Wi-Fi 802.11 b/g/n/ac,No,4.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer, proximity",5000,10,,No,,,70.0,,,,,,,,"Indus Black, Siachen White",,,,FM radio
Lava,Lava Blaze Duo 3,https://www.gsmarena.com/lava_blaze_duo_3_5g-14428.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-duo3.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, January 19","Available. Released 2026, January 19",163.2 x 76.1 x 7.6 mm (6.43 x 3.00 x 0.30 in),181.0,,IP64,Nano-SIM + Nano-SIM,"AMOLED, 120Hz",120,6.67,1080x2400,395,86.5,,"Android 15, planned upgrade to Android 16",Mediatek Dimensity 7060 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,6,6,128,128,UFS 3.1,50.0,2,,No,,No,"LED flash, panorama","1440p@30fps, 1080p@30fps",8.0,No,,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band",No,5.2,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,33,,No,,,160.0,,,,,,,,"Imperial Gold, Moonlight Black",,,,Unspecified
Lava,Lava Play Max,https://www.gsmarena.com/lava_play_max_5g-14344.php,https://fdn2.gsmarena.com/vv/bigpic/lava-play-max-.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December 09","Available. Released 2025, December",-,,,IP54,Nano-SIM + Nano-SIM,"LCD, 120Hz",120,6.72,1080x2400,392,,,Android 15,Mediatek Dimensity 7300 (4 nm),4,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6,8,128,128,UFS 3.1,50.0,2,,No,,Yes,LED flash,4K,8.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac/6, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS",Fingerprint (side-mounted); unspecified sensors,5000,33,,No,,,120.0,,,,,,,,"Deccan Black, Himalayan White",,,,Unspecified
Lava,Lava Agni 4,https://www.gsmarena.com/lava_agni_4_5g-14304.php,https://fdn2.gsmarena.com/vv/bigpic/lava-agni4.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, November 20","Available. Released 2025, November 25",160.7 x 75.3 x 8.6 mm (6.33 x 2.96 x 0.34 in),208.0,Glass,IP64,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, HDR, 2400 nits (peak)",120,6.67,1220x2712,446,88.7,Gorilla Glass 5,"Android 15, up to 3 major Android upgrades",Mediatek Dimensity 8350 (4 nm),4,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,8,8,256,256,UFS 4.0,50.0,2,1.9,Yes,1/1.55,Yes,"Dual-LED flash, HDR, panorama","4K@30/60fps, 1080p@30fps",50.0,Yes,,"4K@30/60fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",No,5.4,Type-C,No,"GPS, GLONASS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,66,,No,,,,,27999,,,,,,"Phantom Black, Lunar Mist",,,,FM radio
Lava,Lava Bold N1,https://www.gsmarena.com/lava_bold_n1_5g-14136.php,https://fdn2.gsmarena.com/vv/bigpic/lava-bold-n1-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, September 05","Available. Released 2025, September 05",165.9 x 76.6 x 8.2 mm (6.53 x 3.02 x 0.32 in),198.0,,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.75,720x1600,260,86.6,,Android 15,Unisoc T765 (6 nm),6,Octa-core (2x2.3 GHz Cortex-A76 & 6x2.1 GHz Cortex-A55),Mali-G57 MC2,4,4,64,128,,13.0,1,,No,,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@30fps",5.0,No,,Yes,"Wi-Fi 802.11 b/g/n/ac, dual-band",No,4.2,Type-C,Yes,"GPS, GLONASS","Fingerprint (side-mounted), accelerometer",5000,10,,No,,,80.0,,,,,,,,"Royal Blue, Champagne Gold",,,,FM radio
Lava,Lava Play Ultra,https://www.gsmarena.com/lava_play_ultra_5g-14089.php,https://fdn2.gsmarena.com/vv/bigpic/lava-play-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 21","Available. Released 2025, August 25",162.1 x 75.4 x 7.8 mm (6.38 x 2.97 x 0.31 in),182.0,,IP64,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 1000 nits (peak)",120,6.67,1080x2400,395,87.9,,"Android 15, up to 2 major Android upgrades",Mediatek Dimensity 7300 (4 nm),4,Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6,8,128,128,UFS 3.1,64.0,2,,No,1/1.7,Yes,LED flash,"4K@30/60fps, 1080p@30/60fps",13.0,No,,1080p@30fps,"Wi-Fi 802.11 b/g/n/ac/6, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,33,,No,,,150.0,,,,,,,,"Arctic Slate, Arctic Frost",,,,Unspecified
Lava,Lava Blaze Amoled 2,https://www.gsmarena.com/lava_blaze_amoled_2_5g-14061.php,https://fdn2.gsmarena.com/vv/bigpic/lava-blaze-amoled2.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, August 07","Available. Released 2025, August 16",163.2 x 76.1 x 7.6 mm (6.43 x 3.00 x 0.30 in),174.0,,IP64,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 800 nits (HBM)",120,6.67,1080x2400,395,86.5,,"Android 15, up to 1 major Android upgrade",Mediatek Dimensity 7060 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),IMG BXM-8-256,6,6,128,128,UFS 3.1,50.0,1,,No,,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",8.0,No,,"1440p@30fps, 1080p@30fps",Wi-Fi 802.11 a/b/g/n/ac,No,5.2,Type-C,No,"GPS, GALILEO, GLONASS, BDS, QZSS","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",5000,33,,No,,,130.0,,,,,,,,"Midnight Black, White Feather",,,,Unspecified
