Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Tecno,Tecno Pop X,https://www.gsmarena.com/tecno_pop_x_5g-14608.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-x-.jpg,GSM / HSPA / LTE,No,"2026, April 20","Available. Released 2026, April 24",167.9 x 79.3 x 8.2 mm (6.61 x 3.12 x 0.32 in),210.0,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,720x1576,256,84.2,,"Android 16, HIOS 16",Mediatek Dimensity 6400 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,6,128,128,UFS 2.2,13.0,1,,No,,No,LED flash,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.3,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS, QZSS",Fingerprint (side-mounted); unspecified sensors,6500,45,,No,,,,,15999,,,,,,"Midnight Blue, Ripple Green",,,,Unspecified
Tecno,Tecno Pop X 4G,https://www.gsmarena.com/tecno_pop_x-14665.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-pop-x-4g.jpg,GSM / HSPA / LTE,No,"2026, March 04","Available. Released 2026, March 06",167.7 x 77.8 x 8.1 mm (6.60 x 3.06 x 0.32 in),,Glass,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.74,720x1600,260,84.1,,"Android 15, HIOS 15",Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,64,64,,13.0,1,1.9,No,,No,Dual-LED,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,15,,No,,,80.0,,,,,,,,"Flare White, Chilly Green",,,,FM radio
Tecno,Tecno Spark 50 4G,https://www.gsmarena.com/tecno_spark_50_4g-14596.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark50-4g-1.jpg,GSM / HSPA / LTE,No,"2026, April 14","Available. Released 2026, April 14",167.8 x 79.2 x 8.2 mm (6.61 x 3.12 x 0.32 in),210.0,Glass,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,720x1600,259,83.5,,"Android 16, HIOS 16",MediaTek Helio G81,,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,UFS 2.2,50.0,1,1.9,No,,No,LED flash,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.3,Type-C,Yes,GPS,"Fingerprint (side-mounted), gyro",7000,18,,No,,,,,,,,,,,"Halo Blue, Titanium Grey, Ink Black, Aurora Purple, Bloom Pink",,,,Yes
Tecno,Tecno Spark 50,https://www.gsmarena.com/tecno_spark_50_5g-14566.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark50.jpg,GSM / HSPA / LTE,No,"2026, March 27","Available. Released 2026, April 03",167.9 x 79.3 x 8.2 mm (6.61 x 3.12 x 0.32 in),210.0,,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,720x1576,256,84.2,,"Android 16, HIOS 16",Mediatek Dimensity 6400 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,256,UFS 2.2,50.0,1,1.9,No,,No,LED flash,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.3,Type-C,Yes,GPS,Fingerprint (side-mounted); unspecified sensors,6500,45,,No,,,,,18999,,,,,,"Fantasy Purple, Mint Green, Ink Black, Champagne Gold",,,,Unspecified
Tecno,Tecno Camon 50 Ultra,https://www.gsmarena.com/tecno_camon_50_ultra_5g-14519.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-50-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, March",162.4 x 77 x 7.8 mm (6.39 x 3.03 x 0.31 in),178.0,Glass,IP68,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"AMOLED, 144Hz, 2160Hz PWM, HDR10",144,6.78,1208x2644,429,89.6,Gorilla Glass 7i,"Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,12,256,512,UFS,50.0,3,1.8,Yes,1/1.56,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@60fps",50.0,Yes,,"4K@30/60fps, 1080p@60fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, proximity, compass",6160,45,,No,Active use score 16:00h,,,,,804875,3134,1050,1302,-25.4,"Moonshadow Black, Cypress Green, Nebula Titanium, Luminous Orange, Misty Purple",CN7c,,,FM radio
Tecno,Tecno Camon 50 Pro,https://www.gsmarena.com/tecno_camon_50_pro_5g-14538.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-50-pro.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 10","Available. Released 2026, March 10",162.4 x 77 x 7.8 mm (6.39 x 3.03 x 0.31 in),,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 144Hz",144,6.78,1208x2644,429,89.6,,"Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Dimensity 7400 Ultimate (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,8,12,256,512,,50.0,3,1.8,Yes,1/1.56,No,"LED flash, HDR, panorama",Yes,50.0,No,,Yes,Yes,Yes,,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, proximity, compass",6500,45,,No,,,,,,,,,,,"Moonshadow Black, Cypress Green, Nebula Titanium, Misty Purple",CN7c,,,FM radio
Tecno,Tecno Camon 50 Pro 4G,https://www.gsmarena.com/tecno_camon_50_pro-14500.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-50-pro-4g.jpg,GSM / HSPA / LTE,No,"2026, February 17","Available. Released 2026, March",162.4 x 77 x 7.4 mm (6.39 x 3.03 x 0.29 in),,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 144Hz",144,6.78,1208x2644,429,89.6,Unspecified,"Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Helio G200 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),8,8,256,256,,50.0,3,1.8,Yes,1/1.56,No,"Dual-LED flash, HDR, panorama",1080p@30fps,32.0,No,,1080p@30fps,Yes,Yes,,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, proximity, compass",6150,45,,No,,,,,,,,,,,"Moonlight black, Malachite green, Nebula titanium, Fir green, Lavender mist, Ethereal blue",CN5c,,,FM radio
Tecno,Tecno Camon 50 4G,https://www.gsmarena.com/tecno_camon_50-14501.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-camon-50-4g.jpg,GSM / HSPA / LTE,No,"2026, February 17","Available. Released 2026, March",162.4 x 77.2 x 7.5 mm (6.39 x 3.04 x 0.30 in),,,IP68,Nano-SIM + Nano-SIM,"AMOLED, 144Hz",144,6.78,1208x2644,429,89.4,Unspecified,"Android 16, up to 3 major Android upgrades, HIOS 16",Mediatek Helio G200 Ultimate (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2 (1.1GHz),8,12,128,256,,50.0,2,1.8,Yes,1/1.56,No,"Dual-LED flash, HDR, panorama",1080p@30fps,32.0,No,,1080p@30fps,Yes,Yes,,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, proximity, compass",6150,45,,No,,,,,,,,,,,"Moonlight black, Malachite green, Nebula titanium, Fir green, Lavender mist, Mint cream",CN5,,,FM radio
Tecno,Tecno Pova Curve 2,https://www.gsmarena.com/tecno_pova_curve_2_5g-14384.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-pova-curve2-5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, February 13","Available. Released 2026, February 20",162.7 x 77.2 x 7.4 mm (6.41 x 3.04 x 0.29 in),195.0,,IP64,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 144Hz, 2304Hz PWM, 1600 nits (HBM), 4500 nits (peak)",144,6.78,1080x2364,429,71.1,Gorilla Glass 7i,"Android 16, HIOS 16",Mediatek Dimensity 7100 (6 nm),6,Octa-core (4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G610 MC2,8,12,128,256,UFS 2.2,50.0,2,1.8,No,,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.4,Type-C,No,GPS,"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",8000,45,,No,,,260.0,,,,,,,,"Mystic Purple, Melting Silver, Storm Titanium",LK7K,,,FM radio
Tecno,Tecno Spark Go 3,https://www.gsmarena.com/tecno_spark_go_3-14420.php,https://fdn2.gsmarena.com/vv/bigpic/tecno-spark-go3.jpg,GSM / HSPA / LTE,No,"2026, January 16","Available. Released 2026, January 23",167.7 x 77.8 x 8.1 mm (6.60 x 3.06 x 0.32 in),,Glass,IP64,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.74,720x1600,260,84.1,,"Android 15, HIOS 15",Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,64,128,,13.0,1,,No,,No,Dual-LED,Yes,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,,Type-C,Yes,GPS,"Fingerprint (side-mounted), accelerometer",5000,15,,No,,,,,11499,,,,,,"Titanium Grey, Ink Black, Galaxy Blue, Aurora Purple",KN3,,,FM radio
