Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Doogee,Doogee Blade 10 Energy,https://www.gsmarena.com/doogee_blade_10_energy-14492.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-energy.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,172.7 x 80 x 10.7 mm (6.80 x 3.15 x 0.42 in),295.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,74.8,Mohs level 5,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,4,128,128,UFS,16.0,1,2.2,No,,No,LED flash,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Accelerometer, proximity, compass",6150,10,,No,,,200.0,,,,,,,,"Green, Red, Red/Blue",,,,FM radio
Doogee,Doogee Blade 10 Pro Energy,https://www.gsmarena.com/doogee_blade_10_pro_energy-14493.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-pro-energy.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,172.7 x 80 x 10.7 mm (6.80 x 3.15 x 0.42 in),295.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,74.8,Mohs level 5,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,6,256,256,UFS,50.0,1,1.8,No,,No,LED flash,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Accelerometer, proximity, compass",6150,18,,No,,,210.0,,,,,,,,"Black, Red/Silver, Gray/Black, Tarnish",,,,FM radio
Doogee,Doogee Blade 10 Ultra Energy,https://www.gsmarena.com/doogee_blade_10_ultra_energy-14494.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-10-ultra-energy.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,172.7 x 80 x 10.7 mm (6.80 x 3.15 x 0.42 in),295.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,74.8,Mohs level 5,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,256,256,UFS,64.0,1,1.8,No,,No,LED flash,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",6150,18,,No,,,230.0,,,,,,,,"Natural Color, Black",,,,FM radio
Doogee,Doogee Blade 20 Pro,https://www.gsmarena.com/doogee_blade_20_pro-14495.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-20-pro.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,174 x 81.2 x 15.8 mm (6.85 x 3.20 x 0.62 in),364.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz",90,6.56,720x1612,269,73.2,Mohs level 6,Android 15,Unisoc T7200 (12 nm),12,Octa-core (2x1.6 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,6,6,256,256,UFS,50.0,2,1.8,No,,No,LED flash,1080p@30fps,8.0,No,,720p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, proximity, compass",11800,18,,No,,,230.0,,,,,,,,"Red, Silver",,,,FM radio
Doogee,Doogee Blade 20 Max,https://www.gsmarena.com/doogee_blade_20_max-14496.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-blade-20-max.jpg,GSM / HSPA / LTE,No,"2025, August 07","Available. Released 2025, August 07",174 x 81.2 x 15.8 mm (6.85 x 3.20 x 0.62 in),337.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.6,720x1612,267,74.1,Mohs level 6,Android 15,Mediatek Helio G100 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,12,12,12,12,UFS,64.0,2,1.8,No,,No,LED flash,"1440p@30fps, 1080p@30fps",16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, BDS, GALILEO","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",11800,33,,No,,,300.0,,,,,,,,"Red, Green, Natural Color",,,,FM radio
Doogee,Doogee Anywise W1 Pro,https://www.gsmarena.com/doogee_anywise_w1_pro-14472.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-anywise-w1-pro.jpg,No cellular connectivity,No,"2026, February","Available. Released 2026, February",47.5 x 47.5 x 13.7 mm (1.87 x 1.87 x 0.54 in),72.0,,,No,AMOLED,,1.43,466x466,461,,Panda Glass,Proprietary OS,,,,,,,2,2,,,,,No,,No,,,,No,,,No,No,5.3,No,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Accelerometer, heart rate, SpO2, barometer, compass",550,,,No,,,,,,,,,,,"Deep Sea Blue, Flame Shadow Titanium, Midnight Black",,,,No
Doogee,Doogee Anywise W1,https://www.gsmarena.com/doogee_anywise_w1-14473.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-anywise-w1.jpg,No cellular connectivity,No,"2026, February","Available. Released 2026, February",47.5 x 47.5 x 13.7 mm (1.87 x 1.87 x 0.54 in),70.0,,,No,AMOLED,,1.43,466x466,461,,Panda Glass,Proprietary OS,,,,,,,,,,,,,No,,No,,,,No,,,No,No,5.3,No,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Accelerometer, heart rate, SpO2, compass",550,,,No,,,,,,,,,,,"Dawn Gold, Stardust Silver, Hidden Shadow Black",,,,No
Doogee,Doogee Fire 5 Pro,https://www.gsmarena.com/doogee_fire_5_pro-14467.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-fire5-pro.jpg,GSM / HSPA / LTE,No,"2025, December","Available. Released 2025, December",176.5 x 82.5 x 18.7 mm (6.95 x 3.25 x 0.74 in),389.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.6,720x1612,267,71.9,Mohs level 6,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,4,4,128,128,,13.0,1,2.0,No,,No,"Dual-LED flash, HDR, panorama",1440p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",13000,18,,No,,,150.0,,,,,,,,"Gray, Orange, Green",,,,FM radio
Doogee,Doogee Fire 5 Ultra,https://www.gsmarena.com/doogee_fire_5_ultra-14468.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-fire5-ultra.jpg,GSM / HSPA / LTE,No,"2025, December","Available. Released 2025, December",176.5 x 82.5 x 18.7 mm (6.95 x 3.25 x 0.74 in),395.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.6,720x1612,267,71.9,Mohs level 6,Android 15,Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,8,8,256,256,,48.0,1,1.8,No,,No,"Dual-LED flash, HDR, panorama",1440p@30fps,8.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",13000,18,,No,,,250.0,,,,,,,,"Gray, Orange, Green",,,,FM radio
Doogee,Doogee Fire 7 Pro,https://www.gsmarena.com/doogee_fire_7_pro_5g-14469.php,https://fdn2.gsmarena.com/vv/bigpic/doogee-fire5-ultra.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December","Available. Released 2025, December",176.5 x 82.5 x 18.7 mm (6.95 x 3.25 x 0.74 in),395.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits",90,6.6,720x1612,267,71.9,Mohs level 6,Android 15,Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,,64.0,2,1.8,No,,No,"Dual-LED flash, HDR, panorama",1440p@30fps,16.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",13000,33,,No,,,270.0,,,,,,,,"Silver, Orange, Green",,,,FM radio
