Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Panasonic,Panasonic Eluga I7 (2019),https://www.gsmarena.com/panasonic_eluga_i7_(2019)-9756.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-i7-2019-enterprise-edition.jpg,GSM / HSPA / LTE,No,"2019, June. Released 2019, July",Discontinued,148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.45,720x1440,295,72.7,,Android 9.0 (Pie),,,Quad-core 1.5 GHz,,2,2,16,16,,8.0,1,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,,,No,,,,,9990,,,,,,"Black, Gold, Blue",,,,FM radio with RDS
Panasonic,Panasonic Eluga Ray 800,https://www.gsmarena.com/panasonic_eluga_ray_800-9618.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-ray-800.jpg,GSM / HSPA / LTE,No,"2019, March. Released 2019, March",Discontinued,152.8 x 75.3 x 8.6 mm (6.02 x 2.96 x 0.34 in),162.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.5,1080x1920,401,72.5,Gorilla Glass 3,Android 7.0 (Nougat),,,Octa-core 1.8 GHz,,4,4,64,64,,13.0,1,2.0,No,,No,"Dual-LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,1080p@30fps,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.2,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,,,No,,,,,10000,,,,,,Gold,,,,FM radio
Panasonic,Panasonic P85 Nxt,https://www.gsmarena.com/panasonic_p85_nxt-9389.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p85-.jpg,GSM / HSPA / LTE,No,"2018, October. Released 2018, November",Discontinued,141.7 x 70.8 x 9.3 mm (5.58 x 2.79 x 0.37 in),173.8,,,Dual SIM,IPS LCD,,5.0,720x1280,294,68.7,Corning Gorilla Glass,Android 7.1.2 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Adreno 304,2,2,16,16,eMMC 4.5,8.0,1,,No,,No,LED flash,720p@30fps,5.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",4000,,,No,,,,,7000,,,,,,"Blue, Gold, Black",,,,FM radio with RDS; recording
Panasonic,Panasonic Eluga Z1 Pro,https://www.gsmarena.com/panasonic_eluga_z1_pro-9383.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-z1-pro.jpg,GSM / HSPA / LTE,No,"2018, October. Released 2018, October",Discontinued,157.2 x 76.3 x 8.1 mm (6.19 x 3.00 x 0.32 in),169.0,,,Nano-SIM + Micro-SIM,IPS LCD,,6.19,720x1500,269,80.4,Asahi Dragontrail Pro Glass,Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),12,Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,3,4,32,64,eMMC 5.1,13.0,2,2.0,No,1/3.1,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,1080p@30fps,"Wi-Fi 802.11 а/b/g/n/ac, Wi-Fi Direct",No,5.0,Micro-USB,Yes,"GPS, GLONASS","Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,,,No,,,200.0,,,,,,,,"Black, Gold, Blue",,,,"FM radio, RDS, recording"
Panasonic,Panasonic Eluga Ray 530,https://www.gsmarena.com/panasonic_eluga_ray_530-9376.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-530.jpg,GSM / HSPA / LTE,No,"2018, October. Released 2018, October",Discontinued,152.4 x 72.2 x 8.3 mm (6.00 x 2.84 x 0.33 in),141.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.7,720x1440,282,76.2,,Android 8.0 (Oreo),,,Quad-core 1.3 GHz,,3,3,32,32,,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",3000,,,No,,,,,9000,,,,,,"Black, Blue",,,,FM radio
Panasonic,Panasonic Eluga Ray 600,https://www.gsmarena.com/panasonic_eluga_ray_600-9362.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-ray-600.jpg,GSM / HSPA / LTE,No,"2018, October. Released 2018, October",Discontinued,158.5 x 75.5 x 7.9 mm (6.24 x 2.97 x 0.31 in),158.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.99,720x1440,269,77.4,,Android 8.1 (Oreo),Mediatek MT6737H,,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,3,3,32,32,eMMC 5.0,13.0,1,,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",4000,,,No,,,,,8000,,,,,,"Black, Blue, Gold",,,,FM radio
Panasonic,Panasonic Eluga X1 Pro,https://www.gsmarena.com/panasonic_eluga_x1_pro-9356.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-x1-pro.jpg,GSM / HSPA / LTE,No,"2018, October. Released 2018, October",Discontinued,155 x 75.5 x 7.9 mm (6.10 x 2.97 x 0.31 in),195.0,Glass,,Nano-SIM + Micro-SIM,IPS LCD,,6.18,1080x2246,403,82.2,Gorilla Glass 3,Android 8.1 (Oreo),Mediatek MT6771 Helio P60 (12 nm),12,Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),Mali-G72 MP3,4,6,64,128,eMMC 5.1,16.0,2,,No,,No,"LED flash, panorama",1080p@30fps,16.0,No,1080p@30fps,,"Wi-Fi 802.11 а/b/g/n, dual-band, Wi-Fi Direct",No,4.2,Type-C,No,GPS,"Infrared Face ID, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",3000,10,,No,,,350.0,,,,,,,,"Dark Grey, Silver",,,,FM radio
Panasonic,Panasonic P90,https://www.gsmarena.com/panasonic_p90-9245.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p90-.jpg,GSM / HSPA / LTE,No,"2018, June. Released 2018, June",Discontinued,143 x 71.8 x 9.3 mm (5.63 x 2.83 x 0.37 in),151.7,,,Dual SIM,IPS LCD,,5.0,720x1280,294,67.1,Corning Gorilla Glass (unspecified versi,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),28,Quad-core 1.3 GHz Cortex-A53,Mali-T720,1,1,16,16,eMMC 5.0,5.0,1,,No,,No,"LED flash, panorama",720p@30fps,5.0,No,LED flash,,Wi-Fi 802.11 b/g/n,No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2400,,,No,,,,,6000,,,,,,"Blue, Gold, Black",,,,FM radio
Panasonic,Panasonic P95,https://www.gsmarena.com/panasonic_p95-9192.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-p95-.jpg,GSM / HSPA / LTE,No,"2018, May. Released 2018, May",Discontinued,141 x 70.5 x 8 mm (5.55 x 2.78 x 0.31 in),164.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,720x1280,294,69.3,,Android 7.1.2 (Nougat),Qualcomm MSM8909 Snapdragon 210 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Adreno 304,1,1,16,16,eMMC 4.5,8.0,1,,No,,No,"LED flash, HDR, panorama",720p@30fps,5.0,No,,,Wi-Fi 802.11 b/g/n,No,4.1,Micro-USB,Yes,GPS,"Accelerometer, proximity",2300,,,No,,,,,5000,,,,,,"Blue, Gold, Dark Grey",,,,FM radio
Panasonic,Panasonic Eluga I7,https://www.gsmarena.com/panasonic_eluga_i7-9176.php,https://fdn2.gsmarena.com/vv/bigpic/panasonic-eluga-l7-.jpg,GSM / HSPA / LTE,No,"2018, April. Released 2018, April",Discontinued,148.8 x 70.9 x 9.3 mm (5.86 x 2.79 x 0.37 in),168.0,Glass,,Nano-SIM + Nano-SIM,IPS LCD,,5.45,720x1440,295,72.7,,Android 7.0 (Nougat),Mediatek MT6737H,,Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,2,2,16,16,eMMC 5.0,8.0,1,2.0,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,LED flash,480p,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.1,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity, compass",4000,,,No,,,,,6500,,,,,,"Black, Gold, Blue",ELUGA I7,,,FM radio with RDS
