Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Ulefone,Ulefone Note 22,https://www.gsmarena.com/ulefone_note_22-14685.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-22.jpg,GSM / HSPA / LTE,No,"2026, May","Coming soon. Exp. release 2026, June 01",135.6 x 70.2 x 11.1 mm (5.34 x 2.76 x 0.44 in),161.6,,,Nano-SIM + Nano-SIM,"IPS LCD, 400 nits",,5.0,480x854,196,72.4,,Android 16 (Go edition),Unisoc T7100,,Octa-core 1.8 GHz,PowerVR GE8322,3,3,32,32,,2.0,1,,No,,No,LED flash,720p@30fps,0.3,No,,,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Accelerometer, proximity",3000,5,,No,,,60.0,,,,,,,,"Black, Blue, Orange",,,,FM radio
Ulefone,Ulefone RugKing 5 Pro,https://www.gsmarena.com/ulefone_rugking_5_pro-14544.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-5-pro.jpg,GSM / HSPA / LTE,No,"2026, March","Available. Released 2026, March 16",179 x 85 x 26.5 mm (7.05 x 3.35 x 1.04 in),629.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 910 nits",,6.78,1080x2460,396,71.7,Gorilla Glass 3,Android 16,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,256,256,UFS 2.1,64.0,2,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",20000,33,,No,,134.99,159.99,129.89,,,,,,,Black,,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone Armor 27T Pro+,https://www.gsmarena.com/ulefone_armor_27t_pro+_5g-14475.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27t-plus.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2026, February","Available. Released 2026, February",182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),441.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,1080x2460,396,68.8,Gorilla Glass Victus,Android 15,Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,12,12,256,256,UFS 2.2,50.0,3,2.0,No,1/1.31,No,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",32.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",10600,33,30,Yes,,,,,,,,,,,Black,,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone Armor 27T+,https://www.gsmarena.com/ulefone_armor_27t+-14476.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor27t-pro-plus.jpg,GSM / CDMA / HSPA / LTE,No,"2026, February","Available. Released 2026, February",182.8 x 86.8 x 18.5 mm (7.20 x 3.42 x 0.73 in),441.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,1080x2460,396,68.8,Gorilla Glass Victus,Android 15,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,12,12,256,256,UFS 2.2,50.0,3,2.0,No,1/1.31,No,"Dual-LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",32.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",10600,33,30,Yes,,,,,,,,,,,Black,,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone RugKing Pad Pro,https://www.gsmarena.com/ulefone_rugking_pad_pro-14423.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-pad-pro.jpg,GSM / HSPA / LTE,No,"2026, January","Available. Released 2026, January",222 x 131.5 x 12.4 mm (8.74 x 5.18 x 0.49 in),540.0,,IP68,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"IPS LCD, 90Hz, 860 nits",90,8.68,800x1340,180,73.3,Gorilla Glass 3,Android 16,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,128,128,UFS 2.2,16.0,1,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",7100,18,,No,,,180.0,,,,,,,,"Gray, Black, Yellow",,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone RugKing Pad 2 Pro,https://www.gsmarena.com/ulefone_rugking_pad_2_pro-14424.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-pad2-pro.jpg,GSM / HSPA / LTE,No,"2026, January","Available. Released 2026, January",246 x 163.5 x 12.7 mm (9.69 x 6.44 x 0.5 in),706.0,,IP68,Nano-SIM + Nano-SIM + eSIM (max 2 at a time),"IPS LCD, 90Hz, 600 nits",90,10.1,800x1280,149,73.5,Gorilla Glass 3,Android 16,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,128,256,UFS 2.2,48.0,2,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",10200,18,,No,,,220.0,,,,,,,,"Gray, Black, Yellow",,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone Armor Watch Pro,https://www.gsmarena.com/ulefone_armor_watch_pro-14422.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-watch-pro.jpg,No cellular connectivity,No,"2026, January","Available. Released 2026, January",48 x 48 x 12.6 mm (1.89 x 1.89 x 0.50 in),42.0,,IP68,No,"AMOLED, 550 nits",,1.5,466x466,320,,Gorilla Glass 3,,,,,,,,,,,,,,No,,No,,,,No,,,No,No,5.3,No,No,GPS,"Accelerometer, compass, heart rate, SpO2",410,,,No,,,90.0,,,,,,,,Black,,,,No
Ulefone,Ulefone Armor 34 Pro+,https://www.gsmarena.com/ulefone_armor_34_pro+_5g-14368.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor34-pro.jpg,GSM / CDMA / HSPA / CDMA2000 / LTE / 5G,Yes,"2025, December","Available. Released 2025, December",183.1 x 86.6 x 32.7 mm (7.21 x 3.41 x 1.29 in),825.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 600 nits (peak)",120,6.95,1080x2460,387,72.3,Gorilla Glass 5,Android 15,Mediatek Dimensity 7400X (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,16,16,512,512,UFS 3.1,50.0,3,2.0,No,1/1.3,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30/60fps, gyro-EIS",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,5.4,Type-C,Yes,"GPS, GALILEO, GLONASS, QZSS, BDS, NavIC","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",25500,66,,No,,,650.0,,,,,,,,Black,,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone Armor 34+,https://www.gsmarena.com/ulefone_armor_34+_5g-14367.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-34.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, December","Available. Released 2025, December",183.1 x 86.6 x 32.7 mm (7.21 x 3.41 x 1.29 in),763.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 600 nits (peak)",120,6.95,1080x2460,387,72.3,Gorilla Glass 5,Android 15,Mediatek Dimensity 7400X (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,16,16,512,512,UFS 3.1,50.0,3,2.0,No,1/1.3,Yes,"Dual-LED flash, HDR, panorama","4K@30fps, 1080p@30fps, gyro-EIS",32.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, tri-band",Yes,5.4,Type-C,Yes,"GPS, GALILEO, GLONASS, QZSS, BDS, NavIC","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",25500,66,,No,,,490.0,,,,,,,,Black,,,,"Wireless FM radio, RDS, recording"
Ulefone,Ulefone RugKing 4 Pro,https://www.gsmarena.com/ulefone_rugking_4_pro-14340.php,https://fdn2.gsmarena.com/vv/bigpic/ulefone-rugking-4pro.jpg,GSM / HSPA / LTE,No,"2025, November","Available. Released 2025, December 08",178.6 x 84 x 19.2 mm (7.03 x 3.31 x 0.76 in),405.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 500 nits",120,6.56,720x1612,269,68.9,Gorilla Glass 3,Android 15,Unisoc T7250 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,8,8,256,256,UFS 2.2,48.0,2,1.8,No,,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",10200,18,,No,,,160.0,,,,,,,,"Black, Orange",,,,"Wireless FM radio, RDS, recording"
