Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Verykool,verykool s5702 Royale Quattro,https://www.gsmarena.com/verykool_s5702_royale_quattro-9101.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5702.jpg,GSM / HSPA,No,"2018, February. Released 2018, February",Discontinued,157 x 74.2 x 9.8 mm (6.18 x 2.92 x 0.39 in),196.0,,,Dual SIM (Micro-SIM),IPS LCD,,5.7,720x1440,282,72.0,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,2,2,16,16,,13.0,2,,No,,No,"Dual-LED flash, panorama",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",3200,,,No,,,,,,,,,,,"Black, Blue, Gold",,0.22 W/kg (head) 0.41 W/kg (body),,Stereo FM radio
Verykool,verykool s5037 Apollo Quattro,https://www.gsmarena.com/verykool_s5037_apollo_quattro-9100.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5037.jpg,GSM / HSPA,No,"2018, February. Released 2018, February",Discontinued,144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.0,480x854,196,65.3,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,13.0,2,,No,,No,"Dual-LED flash, panorama",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",2000,,,No,,,,,,,,,,,"Black, Blue, Gold",,0.25 W/kg (head) 0.56 W/kg (body),,Stereo FM radio
Verykool,verykool s5036 Apollo,https://www.gsmarena.com/verykool_s5036_apollo-9099.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5036.jpg,GSM / HSPA,No,"2018, February. Released 2018, February",Discontinued,144.5 x 73 x 10.4 mm (5.69 x 2.87 x 0.41 in),163.0,,,Nano-SIM + Micro-SIM,IPS LCD,,5.0,480x854,196,65.3,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580M (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,8.0,2,,No,,No,"Dual-LED flash, panorama",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",2000,,,No,,,,,,,,,,,"Black, Blue, Gold",,0.25 W/kg (head) 0.56 W/kg (body),,Stereo FM radio
Verykool,verykool s5200 Orion,https://www.gsmarena.com/verykool_s5200_orion-8988.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5204-.jpg,GSM / HSPA,No,"2017, December. Released 2017, December",Discontinued,148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.2,480x854,188,67.5,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,16,16,,8.0,1,,No,,No,"LED flash, panorama",Yes,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",2000,,,No,,,,,,,,,,,"Black, Gold, Blue",,,,Stereo FM radio
Verykool,verykool s5031 Bolt Turbo,https://www.gsmarena.com/verykool_s5031_bolt_turbo-8955.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5031.jpg,GSM / HSPA,No,"2017, November. Released 2017, November",Discontinued,145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145.0,,,"Dual SIM (Micro-SIM, dual stand-by)",IPS LCD,,5.0,480x854,196,66.0,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,2,2,16,16,,8.0,1,,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",2000,,,No,,,,,,,,,,,"Gold, Blue",,,,Stereo FM radio
Verykool,verykool sl5029 Bolt Pro LTE,https://www.gsmarena.com/verykool_sl5029_bolt_pro_lte-8940.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-sl5029.jpg,GSM / HSPA / LTE,No,"2017, November. Released 2017, November",Discontinued,144.8 x 72 x 9.6 mm (5.70 x 2.83 x 0.38 in),142.0,,,Nano-SIM + Nano-SIM,TFT,,5.0,480x854,196,66.1,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6737 (28 nm),28,Quad-core 1.25 GHz Cortex-A53,Mali-T720,1,1,8,8,eMMC 5.0,8.0,1,,No,,No,"LED flash, panorama",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",2000,,,No,,,,,,,,,,,"Black, Gold, Silver",,,,Stereo FM radio
Verykool,verykool s5029 Bolt Pro,https://www.gsmarena.com/verykool_s5029_bolt_pro-8935.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5029.jpg,GSM / HSPA,No,"2017, November. Released 2017, November",Discontinued,145 x 72 x 9.5 mm (5.71 x 2.83 x 0.37 in),145.0,,,"Dual SIM (Micro-SIM, dual stand-by)",TFT,,5.0,480x854,196,66.0,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,8,8,,8.0,1,,No,,No,"LED flash, panorama",1080p@30fps,5.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer, proximity",2000,,,No,,,,,,,,,,,"Black, Gold, Blue",,,,Stereo FM radio
Verykool,verykool s5205 Orion Pro,https://www.gsmarena.com/verykool_s5205_orion_pro-8934.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5205.jpg,GSM / HSPA,No,"2017, November. Released 2017, November",Discontinued,148.6 x 74.3 x 9.6 mm (5.85 x 2.93 x 0.38 in),164.0,,,Nano-SIM + Nano-SIM,IPS LCD,,5.2,480x854,188,67.5,Scratch-resistant glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,16,16,,8.0,1,,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,LED flash,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Fingerprint (rear-mounted), accelerometer",2000,,,No,,,,,,,,,,,"Black, Gold, Blue",,,,Stereo FM radio
Verykool,verykool s6005X Cyprus Pro,https://www.gsmarena.com/verykool_s6005x_cyprus_pro-8933.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s6005x.jpg,GSM / HSPA,No,"2017, November. Released 2017, November",Discontinued,166 x 85.3 x 9 mm (6.54 x 3.36 x 0.35 in),165.0,,,Nano-SIM + Micro-SIM,IPS LCD,,6.0,720x1280,245,70.1,Asahi Dragontrail Glass,Android 7.0 (Nougat),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,16,16,,13.0,1,2.2,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",3000,,,No,,,,,,,,,,,"Gray, Gold",,,,Stereo FM radio
Verykool,verykool s5527 Alpha Pro,https://www.gsmarena.com/verykool_s5527_alpha_pro-8828.php,https://fdn2.gsmarena.com/vv/bigpic/verykool-s5527.jpg,GSM / HSPA,No,"2017, August. Released 2017, August",Discontinued,152.9 x 76.8 x 8.2 mm (6.02 x 3.02 x 0.32 in),148.0,,,"Dual SIM (Micro-SIM/Mini-SIM, dual stand-by)",IPS LCD,,5.5,720x1280,267,71.0,Scratch-resistant glass,Android 6.0 (Marshmallow),Mediatek MT6580 (28 nm),28,Quad-core 1.3 GHz Cortex-A7,Mali-400MP2,1,1,16,16,,13.0,1,2.2,No,,No,"LED flash, panorama",1080p@30fps,8.0,No,,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2800,,,No,,,,,,,,,,,Black,,0.49 W/kg (head) 1.27 W/kg (body),,Stereo FM radio
