Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Acer,Acer Iconia iM11-22M5G,https://www.gsmarena.com/acer_iconia_im11_22m5g-14659.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-im11-22m5g.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, May 07","Available. Released 2026, May 07",261.7 x 177.7 x 7.9 mm (10.30 x 7.00 x 0.31 in),535.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,11.45,1440x2200,230,83.3,,Android 15,Mediatek Dimensity 7050 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,8,8,128,128,UFS 3.1,16.0,2,,No,,No,LED flash,1080p@30fps,8.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.2,Type-C,Yes,Unspecified,Fingerprint (top-mounted),7400,18,,No,,,230.0,,,,,,,,Silver,,,,No
Acer,Acer Iconia V12,https://www.gsmarena.com/acer_iconia_v12-14298.php,https://fdn2.gsmarena.com/vv/bigpic/acer-Iconia-v12-.jpg,No cellular connectivity,No,"2025, May 16","Available. Released 2025, July",7.9 mm thickness,595.0,Glass,,No,"IPS LCD, 90Hz",90,11.97,1200x2000,195,,,Android 15,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,eMMC,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.2,Type-C,Yes,Unspecified,Unspecified,8000,,,No,,,290.0,,,,,,,,Green,V12-11M,,,No
Acer,Acer Iconia V11,https://www.gsmarena.com/acer_iconia_v11-14297.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-v11-.jpg,GSM / HSPA / LTE,No,"2025, May 16","Available. Released 2025, August",7.9 mm thickness,500.0,Glass,,Nano-SIM,"IPS LCD, 90Hz",90,10.92,1200x1920,207,,,Android 15,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,eMMC,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.2,Type-C,Yes,Unspecified,Unspecified,8000,,,No,,,230.0,,,,,,,,Gold,"V11-21M, V11-22M",,,No
Acer,Acer Acerone Liquid S262F5,https://www.gsmarena.com/acer_acerone_liquid_s262f5_5g-14250.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s262f5.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, October 22","Available. Released Exp. release 2025, October",171 x 77.8 x 8.9 mm (6.73 x 3.06 x 0.35 in),202.8,Glass,IP54,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 380 nits",90,6.76,720x1640,265,81.6,Gorilla Glass 5,Android 16,Mediatek Dimensity 6400 (6 nm),6,Octa-core (2x2.5 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,128,128,UFS 2.2,64.0,3,,No,,No,LED flash,1080p,16.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band",No,5.2,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,,,No,,,,,,,,,,,Dark Blue,ZL.A01SU.04P,,,FM radio
Acer,Acer Iconia A14,https://www.gsmarena.com/acer_iconia_a14-14120.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,No cellular connectivity,No,"2025, September 03","Available. Released 2025, November",324.6 x 211 x 8 mm (12.78 x 8.31 x 0.31 in),910.0,Glass,,No,IPS LCD,,14.0,1200x1920,162,83.0,,Android 15,Allwinner A733 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A76 & 6x1.8 GHz Cortex-A55),IMG BXM-4-64 MC01,8,8,256,256,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.4,Type-C,Yes,No,Accelerometer,8000,,,No,,,260.0,,,,,,,,Vapor Silver,A14-M1N,,,No
Acer,Acer Iconia A16,https://www.gsmarena.com/acer_iconia_a16-14119.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-a14-.jpg,No cellular connectivity,No,"2025, September 03","Available. Released 2026, January",369.5 x 240.2 x 8.9 mm (14.55 x 9.46 x 0.35 in),980.0,Glass,,No,IPS LCD,,16.0,1200x1920,142,83.6,,Android 15,Allwinner A733 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A76 & 6x1.8 GHz Cortex-A55),IMG BXM-4-64 MC01,8,8,256,256,,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.4,Type-C,Yes,No,Accelerometer,8000,,,No,,,300.0,,,,,,,,Vapor Silver,A16-M1N,,,No
Acer,Acer Iconia X14,https://www.gsmarena.com/acer_iconia_x14-14117.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x14-.jpg,No cellular connectivity,No,"2025, September 03","Available. Released 2025, November",324.6 x 211 x 8 mm (12.78 x 8.31 x 0.31 in),910.0,,,No,OLED,,14.0,1200x1920,162,83.0,,Android 15,Allwinner A733 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A76 & 6x1.8 GHz Cortex-A55),IMG BXM-4-64 MC01,8,8,256,256,UFS 3.1,8.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.4,Type-C,Yes,No,Accelerometer,8000,,,No,,,310.0,,,,,,,,Iron Gray,X14-M1N,,,No
Acer,Acer Iconia X12,https://www.gsmarena.com/acer_iconia_x12-14118.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-x12.jpg,No cellular connectivity,No,"2025, September 03","Available. Released 2025, November",286.2 x 184.4 x 6.5 mm (11.27 x 7.26 x 0.26 in),500.0,Glass,,No,"AMOLED, 400 nits",,12.6,1600x2560,240,87.2,Mohs level 4,Android 15,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,8,8,256,256,UFS,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,GPS,"Accelerometer, proximity (accessories only)",8000,20,,No,,,280.0,,,,,,,,Matte Black,"A25014, X12-21M, X12-11-845L",,,No
Acer,Acer Iconia Tab P11 (2025),https://www.gsmarena.com/acer_iconia_tab_p11_(2025)-14299.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-p11.jpg,No cellular connectivity,No,"2025, Q4","Available. Released 2025, Q4",265.2 x 169.9 x 8.1 mm (10.44 x 6.69 x 0.32 in),550.0,Glass,,No,"IPS LCD, 90Hz",90,11.0,1200x2000,212,76.4,,Android 14,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,8,256,256,UFS,13.0,1,,No,,No,LED flash,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,,Type-C,Yes,Unspecified,Unspecified,8000,20,,No,,,260.0,,,,,,,,Iron Gray,P11-11-8113,,,No
Acer,Acer Iconia Tab P10 (2025),https://www.gsmarena.com/acer_iconia_tab_p10_(2025)-14300.php,https://fdn2.gsmarena.com/vv/bigpic/acer-iconia-tab-p10.jpg,No cellular connectivity,No,"2025, Q4","Available. Released 2025, Q4",8.1 mm thickness,495.0,Glass,,No,"IPS LCD, 90Hz",90,10.4,1200x2000,224,,,Android 14,Mediatek Helio G99 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,6,128,256,UFS,13.0,1,,No,,No,,1080p@30fps,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,GPS,Gyro,8000,10,,No,,,220.0,,,,,,,,Iron Gray,"P10-21Q-870Q, NT.LHBAA.001",,,No
Acer,Acer Super ZX Pro,https://www.gsmarena.com/acer_super_zx_pro_5g-13795.php,https://fdn2.gsmarena.com/vv/bigpic/acer-super-zx-pro-1.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 26",Cancelled,-,182.0,Glass,IP64,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 1000 nits (HBM)",120,6.67,1080x2400,395,,,Android 15,Mediatek Dimensity 7400 (4 nm),4,Octa-core (4x2.6 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55),Mali-G615 MC2,6,12,128,512,,64.0,3,1.8,Yes,1/1.73,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13.0,No,HDR,"1440p@30fps, 1080p@30fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",No,5.4,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (under display, optical), accelerometer, proximity, compass",5000,33,,No,,,190.0,,,,,,,,Black; other colors,,,,Unspecified
Acer,Acer Super ZX,https://www.gsmarena.com/acer_super_zx_5g-13796.php,https://fdn2.gsmarena.com/vv/bigpic/acer-super-zx.jpg,GSM / HSPA / LTE / 5G,Yes,"2025, May 26","Available. Released 2025, May 26",8.6 mm thickness,200.0,,IP50,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz",120,6.78,1080x2400,388,85.3,,Android 15,Mediatek Dimensity 6300 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,4,8,128,128,,64.0,3,1.8,No,1/1.73,No,"LED flash, HDR, panorama",Yes,,No,,Yes,Yes,No,,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity, compass",5000,33,,No,,,100.0,,,,,,,,"Carbon Black, Cosmic Green, Lunar Blue",,,,Unspecified
Acer,Acer Acerone Liquid S272E4,https://www.gsmarena.com/acer_acerone_liquid_s272e4-13757.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s272e4.jpg,GSM / HSPA / LTE,No,"2025, March 25","Available. Released 2025, May",171 x 78.6 x 8.9 mm (6.73 x 3.09 x 0.35 in),200.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 350 nits (typ)",,6.75,720x1600,260,81.8,Corning Gorilla Glass 4,Android 14,Mediatek MT6765X (12 nm),12,Octa-core (4x2.2 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,4,64,64,,20.0,2,,No,,No,LED flash,1080p,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,,,No,,,,,,,,,,,Dark Blue,ZL.H01SI.002,,,FM radio
Acer,Acer Acerone Liquid S162E4,https://www.gsmarena.com/acer_acerone_liquid_s162e4-13756.php,https://fdn2.gsmarena.com/vv/bigpic/acer-acerone-liquid-s162e4.jpg,GSM / HSPA / LTE,No,"2025, March 25","Available. Released 2025, May",165.4 x 76.9 x 9 mm (6.51 x 3.03 x 0.35 in),210.0,Glass,,Nano-SIM + Nano-SIM,"IPS LCD, 350 nits (typ)",,6.52,720x1600,269,80.7,Gorilla Glass 5,Android 14,Mediatek MT6765 (12 nm),12,Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53),PowerVR GE8320,4,4,64,64,,16.0,1,,No,,No,LED flash,1080p,5.0,No,,Yes,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, proximity",5000,,,No,,,,,,,,,,,Blue,ZL.H01SI.001,,,FM radio
Acer,Acer Chromebook Tab 10,https://www.gsmarena.com/acer_chromebook_tab_10-9139.php,https://fdn2.gsmarena.com/vv/bigpic/acer-chromebook-tab-10.jpg,No cellular connectivity,No,"2018, March. Released 2018, July",Discontinued,238.3 x 172.2 x 9.9 mm (9.38 x 6.78 x 0.39 in),544.3,,,No,IPS LCD,,9.7,1536x2048,264,71.0,,Chrome OS,Rockchip RK3399,,Hexa-core (4x Cortex-A53 & 2x Cortex-A72),,4,4,32,32,,5.0,1,,No,,No,,720p,2.0,No,,,"Wi-Fi 802.11 b/g/n/ac, dual-band, Wi-Fi Direct",No,4.1,Type-C,Yes,,Accelerometer,4500,,,No,,,330.0,,,,,,,,"Black, Blue",,,,No
