Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Blackview,Blackview Mega 12,https://www.gsmarena.com/blackview_mega_12_5g-14437.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-mega12.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2026, January","Available. Released 2026, January",280.2 x 194.2 x 8.2 mm (11.03 x 7.65 x 0.32 in),690.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 350 nits (typ)",120,12.2,2400x1600,236,81.4,Mohs level 5,"Android 16, DokeOS_P 5.0",Mediatek Dimensity 7200,,Octa-core (2x2.8 GHz Cortex-A715 & 6x 2.0 Cortex-A510),Mali-G610 MC4,12,16,256,512,,50.0,1,1.8,No,1/2.76,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",13.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, hotspot",Yes,5.3,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",10000,55,,No,,,,,,,,,,,"Space Grey, Flash Gold",,,,FM radio
Blackview,Blackview Xplore 1 Walkie Talkie,https://www.gsmarena.com/blackview_xplore_1_walkie_talkie_5g-14438.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore1-wt.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,2025,Available. Released 2025,184 x 83 x 29.5 mm (7.24 x 3.27 x 1.16 in),695.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits",120,6.78,1080x2460,396,71.5,Gorilla Glass 5,"Android 15, DokeOS 5.0",Mediatek Dimensity 7050 (6 nm),6,Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,12,16,256,512,UFS 3.1,64.0,2,1.8,No,1/2.0,Yes,"LED flash, HDR, panorama","4K@30fps, 1080p@60fps",50.0,Yes,,"4K@30fps, 1080p@60fps","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",20000,55,,No,,,,,,,,,,,"Black, Orange",,,,FM radio
Blackview,Blackview Xplore X1,https://www.gsmarena.com/blackview_xplore_x1_5g-14439.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore-x1.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,2025,Available. Released 2025,184 x 83 x 18 mm (7.24 x 3.27 x 0.71 in),420.0,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 700 nits",120,6.78,1080x2460,396,71.5,Mohs level 5,"Android 15, DokeOS 5.0",Mediatek Dimensity 7050 (6 nm),6,Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55),Mali-G68 MC4,12,16,256,256,UFS 4.0,108.0,2,1.9,No,1/1.67,No,"LED flash, HDR, panorama","1440p@30fps, 1080p@30fps",50.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band",Yes,5.2,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, proximity, compass",10000,55,,No,,,,,,,,,,,"Black, Orange",,,,FM radio
Blackview,Blackview Wave 9C,https://www.gsmarena.com/blackview_wave_9c-14440.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-wave-9c.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,163.6 x 75.8 x 9.2 mm (6.44 x 2.98 x 0.36 in),191.8,,,Nano-SIM + Nano-SIM,"IPS LCD, 600 nits",,6.56,720x1612,269,83.4,Mohs level 7,"Android 15, DokeOS 4.2",Unisoc Tiger T603,,Octa-core 1.6 GHz Cortex-A55,IMG8322,4,4,64,128,eMMC 5.1,13.0,1,2.0,No,1/4.0,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,Wi-Fi 802.11 b/g/n,No,4.2,Type-C,Yes,"GPS, GLONASS, GALILEO","Accelerometer, proximity",5000,10,,No,,,,,,,,,,,"Black, Blue",,,,FM radio
Blackview,Blackview Zeno 10,https://www.gsmarena.com/blackview_zeno_10_5g-14441.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-zeno10.jpg,GSM / HSPA / LTE / 5G,Yes,2025,Available. Released 2025,256.5 x 168 x 8.2 mm (10.10 x 6.61 x 0.32 in),517.0,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 400 nits (typ)",90,11.0,1200x1920,206,81.4,Mohs level 5,"Android 15, DokeOS_P 4.2",Unisoc T8200,,Octa-core (2x2.3 GHz Cortex-A76 & 6x 2.1 Cortex-A55),Mali-G57 MC2,6,8,128,256,,16.0,1,1.8,No,1/3.06,No,"LED flash, HDR",1080p@30fps,13.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS","Accelerometer, proximity (accessories only)",8800,18,,No,,,,,,,,,,,"Shadow Black, Ice Blue",,,,FM radio
Blackview,Blackview Link 2,https://www.gsmarena.com/blackview_link_2-14442.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link2.jpg,No cellular connectivity,No,2025,Available. Released 2025,212.9 x 125.6 x 8.5 mm (8.38 x 4.94 x 0.33 in),329.0,,,No,"IPS LCD, 360 nits",,8.68,800x1340,180,80.0,Mohs level 4,"Android 15, Doke OS_P 4.2",Unisoc T310 (12 nm),12,Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55),PowerVR GE8300,6,6,128,128,eMMC 5.1,8.0,1,2.2,No,1/5.0,No,LED flash,1080p@30fps,5.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,Yes,"GPS, GALILEO, GLONASS, BDS",Accelerometer,5000,10,,No,,,,,,,,,,,"Midnight Black, Glacier Blue",,,,FM Radio
Blackview,Blackview Link 8,https://www.gsmarena.com/blackview_link_8-14443.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-link8.jpg,No cellular connectivity,No,2025,Available. Released 2025,283 x 214.2 x 8.4 mm (11.14 x 8.43 x 0.33 in),710.0,,,No,"IPS LCD, 90Hz, 300 nits",90,12.7,2176x1600,213,81.9,Mohs level 7,"Android 15, Doke OS_P 4.2",Mediatek Helio G100 (6 nm),6,Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,6,12,256,256,UFS 3.1,16.0,1,2.2,No,1/3.42,No,"LED flash, HDR",1080p@30fps,13.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.0,Type-C,No,"GPS, GALILEO, GLONASS, BDS",Accelerometer,8400,18,,No,,,,,,,,,,,"Grey, Blue, Purple",,,,FM Radio
Blackview,Blackview Fort 2,https://www.gsmarena.com/blackview_fort_2-14444.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-fort2.jpg,GSM / HSPA / LTE,No,2025,Available. Released 2025,174.6 x 83 x 10.7 mm (6.87 x 3.27 x 0.42 in),245.3,,IP68,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 450 nits",90,6.56,720x1612,269,71.3,Mohs level 5,"Android 15, DokeOS 5.0",Mediatek Helio G81 (12 nm),12,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,8,8,128,256,,16.0,1,1.8,No,1/3.06,No,LED flash,1080p@30fps,13.0,No,,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",Yes,5.0,Type-C,No,"GPS, GLONASS, GALILEO, BDS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",5000,18,,No,,,,,,,,,,,"Obsidian Black, Lightning White",,,,FM radio
Blackview,Blackview Xplore 2,https://www.gsmarena.com/blackview_xplore_2_5g-14229.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-xplore2.jpg,GSM / CDMA / HSPA / LTE / 5G,Yes,"2025, September 25","Available. Released 2025, October",186 x 87.8 x 29 mm (7.32 x 3.46 x 1.14 in),670.0,,IP68,Nano-SIM + Nano-SIM,"LTPO AMOLED, 68B colors, 120Hz, HDR, 500 nits (typ), 1300 nits (HBM), 2600 nits (peak)",120,6.73,1440x3200,521,67.0,Gorilla Glass 5,"Android 15, up to 3 major Android upgrades, DokeOS 4.2",Mediatek Dimensity 8300 (4 nm),4,Octa-core (1x3.35 GHz Cortex-A715 & 3x3.20 GHz Cortex-A715 & 4x2.20 GHz Cortex-A510),Mali G615-MC6,12,16,256,256,UFS 4.0,50.0,2,1.9,Yes,1/1.57,Yes,"LED flash, HDR, panorama","4K@30/60fps, HDR10+",50.0,Yes,,"4K@30/60fps, HDR10+","Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band",Yes,5.4,Type-C,No,"GPS (L1+L5), GLONASS, GALILEO, BDS, QZSS","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer",20000,120,,No,,,520.0,,,,,,,,Black,,,,FM radio
Blackview,Blackview Zeno 1,https://www.gsmarena.com/blackview_zeno_1-14154.php,https://fdn2.gsmarena.com/vv/bigpic/blackview-zeno1.jpg,GSM / HSPA / LTE,No,"2025, September","Available. Released 2025, September",198.6 x 125.9 x 8.2 mm (7.82 x 4.96 x 0.32 in),336.5,,,Nano-SIM + Nano-SIM,"IPS LCD, 90Hz, 350 nits",90,8.0,800x1280,189,74.2,Mohs level 5,"Android 15, DokeOS 4.2",Unisoc T615 (12 nm),12,Octa-core (2x1.8 GHz Cortex-A75 & 6x1.6 GHz Cortex-A55),Mali-G57 MP1,4,6,64,256,eMMC 5.1 - 64GB UFS - 256GB,8.0,1,2.2,No,1/5.0,No,"LED flash, HDR, panorama",1080p@30fps,8.0,No,HDR,1080p@30fps,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",No,5.2,Type-C,Yes,"GPS, GLONASS, GALILEO, BDS",Accelerometer,6000,10,,No,,,,,,,,,,,"Rock Black, Space Orange, Jungle Green",,,,FM Radio
