Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Spice,Spice Smart Pulse (M-9010),https://www.gsmarena.com/spice_smart_pulse_(m_9010)-7005.php,https://fdn2.gsmarena.com/vv/bigpic/spice-9010.jpg,GSM,No,"2014, July. Released 2014, July",Discontinued,53.7 x 41.7 x 13.6 mm (2.11 x 1.64 x 0.54 in),52.5,,,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",,1.6,240x320,250,,,Proprietary OS,Mediatek MT6260,,360 MHz,No,,,,,,,1,,No,,No,,144p@7fps,,No,,,No,No,2.0,No,No,No,No,420,,,No,,,,,,,,,,,Black,,,0.54 W/kg (head),FM radio
Spice,Spice Fire One (Mi-FX-1),https://www.gsmarena.com/spice_fire_one_(mi_fx_1)-7004.php,https://fdn2.gsmarena.com/vv/bigpic/spice-firefox.jpg,GSM,No,"2014, August. Released 2014, August",Discontinued,115.6 x 62 x 11.2 mm (4.55 x 2.44 x 0.44 in),65.0,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,3.5,320x480,165,50.9,,Firefox OS,Spreadtrum 6821,,1.0 GHz,,,,,,,1.3,1,,No,,No,LED flash,Yes,,No,,,Wi-Fi 802.11 b/g/n,No,2.1,Micro-USB,Yes,No,Accelerometer,1400,,,No,,,,,,,,,,,"White, Black, Orange",,,0.74 W/kg (head),FM radio
Spice,Spice N-300,https://www.gsmarena.com/spice_n_300-7003.php,https://fdn2.gsmarena.com/vv/bigpic/N300.jpg,GSM,No,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",,5.0,480x854,196,61.2,,Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,4,4,,8.0,1,,No,,No,"LED flash, panorama",720p@30fps,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Blue,,,0.82 W/kg (head),FM radio
Spice,Spice Smart Flo 508 (Mi-508),https://www.gsmarena.com/spice_smart_flo_508_(mi_508)-7002.php,https://fdn2.gsmarena.com/vv/bigpic/spice-508.jpg,GSM,No,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",,5.0,480x854,196,61.2,,Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,4,4,,8.0,1,,No,,No,"LED flash, panorama",720p@30fps,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,Blue,,,0.82 W/kg (head),FM radio
Spice,Spice Smart Flo 503 (Mi-503),https://www.gsmarena.com/spice_smart_flo_503_(mi_503)-7001.php,https://fdn2.gsmarena.com/vv/bigpic/spice-503.jpg,GSM,No,"2014, August. Released 2014, August",Discontinued,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"IPS LCD, 256K colors",,5.0,480x854,196,61.2,,Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,4,4,,8.0,1,,No,,No,"LED flash, panorama",720p@30fps,2.0,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",2000,,,No,,,,,,,,,,,"White, Gray",,,0.82 W/kg (head),FM radio
Spice,Spice Smart Flo 359 (Mi-359),https://www.gsmarena.com/spice_smart_flo_359_(mi_359)-7000.php,https://fdn2.gsmarena.com/vv/bigpic/spice-359.jpg,GSM,No,"2014, August. Released 2014, August",Discontinued,117.5 x 62.9 x 12 mm (4.63 x 2.48 x 0.47 in),130.0,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,3.5,320x480,165,49.4,,Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,,,2.0,1,,No,,No,LED flash,720p@25fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,GPS,Accelerometer,1400,,,No,,,,,,,,,,,"Titanium Grey, Silver",,,0.51 W/kg (head),FM radio
Spice,Spice Smart Flo 358 (Mi-358),https://www.gsmarena.com/spice_smart_flo_358_(mi_358)-6999.php,https://fdn2.gsmarena.com/vv/bigpic/spice-358.jpg,GSM,No,"2014, October. Released 2014, October",Discontinued,118 x 60.4 x 10.8 mm (4.65 x 2.38 x 0.43 in),130.0,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,3.5,320x480,165,51.2,,Android 4.4.2 (KitKat),Mediatek MT6571 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,,,,2.0,1,,No,,No,LED flash,720p@25fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,A-GPS,Accelerometer,1450,,,No,,,,,,,,,,,"White, Gray",,,0.57 W/kg (head),FM radio
Spice,Spice Stellar 439 (Mi-439),https://www.gsmarena.com/spice_stellar_439_(mi_439)-6998.php,https://fdn2.gsmarena.com/vv/bigpic/spice-439.jpg,GSM / HSPA,No,"2014, August. Released 2014, August",Discontinued,125 x 63 x 10 mm (4.92 x 2.48 x 0.39 in),113.8,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,4.0,480x800,233,57.8,,Android 4.4.2 (KitKat),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,4,4,,3.15,1,,No,,No,,720p@25fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,3.0,Micro-USB,Yes,A-GPS,Accelerometer,1400,,,No,,,,,,,,,,,"Brown, Silver",,,0.85 W/kg (head),FM radio
Spice,Spice Stellar 361 (Mi-361),https://www.gsmarena.com/spice_stellar_361_(mi_361)-6997.php,https://fdn2.gsmarena.com/vv/bigpic/spice-361.jpg,GSM / HSPA,No,"2014, July. Released 2014, July",Discontinued,115.3 x 60.6 x 11.9 mm (4.54 x 2.39 x 0.47 in),102.0,,,Dual SIM (Mini-SIM),"TFT, 256K colors",,3.5,320x480,165,52.2,,Android 4.2.2 (Jelly Bean),Mediatek MT6572M (28 nm),28,Dual-core 1.0 GHz Cortex-A7,Mali-400,,,,,,2.0,1,,No,,No,LED flash,480p@25fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,2.0,Micro-USB,Yes,GPS,Accelerometer,1400,,,No,,,,,,,,,,,"Black, White",,,0.81 W/kg (head),FM radio
Spice,Spice Stellar 507 (Mi-507),https://www.gsmarena.com/spice_stellar_507_(mi_507)-6996.php,https://fdn2.gsmarena.com/vv/bigpic/spice-507.jpg,GSM / HSPA,No,"2014, August. Released 2014, August",Discontinued,145.2 x 72.7 x 10.7 mm (5.72 x 2.86 x 0.42 in),184.0,,,Dual SIM (Mini-SIM/ Micro-SIM),"TFT, 256K colors",,5.0,480x854,196,65.3,,Android 4.4.2 (KitKat),Mediatek MT6572 (28 nm),28,Dual-core 1.3 GHz Cortex-A7,Mali-400,,,4,4,,8.0,1,,No,,No,"LED flash, panorama",720p@30fps,1.3,No,,,"Wi-Fi 802.11 b/g/n, hotspot",No,4.0,Micro-USB,Yes,GPS,"Accelerometer, proximity",1800,,,No,,,,,,,,,,,"Red/Black, Blue/Black",,,0.94 W/kg (head),FM radio
