customer_id,province,district,cluster_id,cluster_name,age,gender,budget_min_npr,budget_max_npr,preferred_brand,brand_loyalty_score,gaming_interest,camera_interest,battery_interest,display_interest,performance_interest,software_interest,value_interest,chipset_tier
CUST-000EFD69,Sudurpashchim Province,Kailali,2,Premium Flagship Shopper,75,Male,89596,233484,Apple,1.0,47.0,50.9,75.7,59.5,53.1,57.6,61.0,Flagship
CUST-00415B2B,Bagmati Province,Bhaktapur,0,Hardcore Gamer (Flagship),58,Male,43794,59458,Samsung,0.5,82.0,52.6,55.7,78.0,80.8,60.5,64.6,Flagship
CUST-004C2405,Koshi Province,Okhaldhunga,1,Mainstream Mid-Range Shopper,51,Female,37835,71661,Apple,0.8,49.7,56.6,55.5,50.2,59.8,59.8,59.0,Mid
CUST-0061E821,Lumbini Province,Gulmi,1,Mainstream Mid-Range Shopper,56,Male,35387,69206,Xiaomi,0.67,44.6,56.9,82.5,60.8,50.9,44.8,65.4,Mid
CUST-00709A32,Gandaki Province,Tanahun,1,Mainstream Mid-Range Shopper,56,Female,22515,77983,Xiaomi,0.8,51.8,48.2,48.3,69.8,48.9,49.9,53.4,Mid
CUST-0089E7FC,Karnali Province,Salyan,1,Mainstream Mid-Range Shopper,49,Male,41815,53650,Huawei,1.0,48.5,63.6,71.3,52.9,56.3,38.2,80.8,Mid
CUST-008E3BF5,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,47,Female,26707,56263,Motorola,1.0,55.7,63.2,60.7,49.1,47.8,50.9,67.9,Mid
CUST-00A08608,Madhesh Province,Dhanusha,1,Mainstream Mid-Range Shopper,42,Male,25853,49777,Oppo,0.67,43.3,55.1,47.9,64.8,73.8,69.7,54.8,Mid
CUST-00ABE772,Bagmati Province,Dhading,1,Mainstream Mid-Range Shopper,46,Female,36460,80057,Apple,0.6,40.9,49.8,47.7,61.0,79.8,83.6,55.0,Mid
CUST-00ACA4E3,Madhesh Province,Siraha,1,Mainstream Mid-Range Shopper,66,Male,20371,89625,Xiaomi,1.0,59.6,54.2,44.5,39.0,51.1,56.2,82.4,Mid
CUST-00C6A4E4,Bagmati Province,Bhaktapur,1,Mainstream Mid-Range Shopper,75,Male,29976,51262,Oppo,0.33,52.8,59.3,55.9,55.9,59.5,49.3,53.9,Mid
CUST-00FF3971,Sudurpashchim Province,Bajhang,2,Premium Flagship Shopper,34,Male,115099,165829,Samsung,0.67,56.8,47.5,48.8,54.4,59.6,49.1,51.1,Flagship
CUST-0100C830,Gandaki Province,Nawalpur,1,Mainstream Mid-Range Shopper,57,Female,42011,47011,Apple,1.0,52.6,53.2,41.7,69.0,43.9,71.0,30.2,Mid
CUST-0104E6EA,Lumbini Province,Rupandehi,1,Mainstream Mid-Range Shopper,43,Male,21138,55650,Honor,0.33,46.6,45.6,82.5,53.9,46.0,54.9,65.7,Mid
CUST-0113D9C0,Bagmati Province,Kathmandu,2,Premium Flagship Shopper,43,Male,115166,146926,Motorola,0.0,46.3,52.2,57.2,69.1,48.1,48.3,56.6,Flagship
CUST-011F8062,Bagmati Province,Nuwakot,1,Mainstream Mid-Range Shopper,64,Male,40372,83330,Xiaomi,0.5,46.4,53.4,80.6,57.0,60.9,55.9,60.5,Mid
CUST-01223287,Bagmati Province,Lalitpur,1,Mainstream Mid-Range Shopper,68,Female,20400,58583,Realme,0.25,49.4,42.2,75.3,49.5,54.5,47.1,67.9,Mid
CUST-014332E4,Sudurpashchim Province,Baitadi,2,Premium Flagship Shopper,42,Male,91249,229206,Samsung,1.0,42.6,49.9,54.4,68.5,57.4,61.5,64.8,Flagship
CUST-01533733,Sudurpashchim Province,Darchula,2,Premium Flagship Shopper,75,Male,100279,247082,Samsung,0.0,59.5,48.3,75.1,61.6,45.9,56.3,69.0,Flagship
